strategy,regime,trades,win_rate,avg_pnl,total_roi
stochrsi_overbought_short,bull,39,0.359,-0.2849,-11.1113
stochrsi_overbought_short,neutral,11,0.3636,2.99,32.8898
stochrsi_oversold,bear,75,0.1867,-1.3414,-100.6028
stochrsi_oversold,bull,137,0.2993,0.3352,45.9255
stochrsi_oversold,neutral,16,0.25,-1.9166,-30.6657
supertrend_macd,bear,32,0.125,-4.8626,-155.6021
supertrend_macd,bull,71,0.2535,-3.1807,-225.8304
supertrend_macd,neutral,13,0.1538,-2.6298,-34.1873
tema_dema,bear,20,0.25,-4.6572,-93.1441
tema_dema,bull,26,0.3077,-2.9856,-77.6261
tema_dema,neutral,19,0.2105,-3.2481,-61.7147
three_white_soldiers,bear,18,0.3333,1.5765,28.3769
three_white_soldiers,bull,25,0.28,2.4748,61.8692
three_white_soldiers,neutral,9,0.1111,-9.0715,-81.6433
ultimate_oscillator,bear,18,0.3333,8.8649,159.5687
ultimate_oscillator,bull,72,0.3472,1.5799,113.7514
ultimate_oscillator,neutral,7,0.4286,0.2206,1.5445
williams_r_oversold,bear,34,0.2647,-0.536,-18.2252
williams_r_oversold,bull,123,0.3415,3.676,452.1437
williams_r_oversold,neutral,19,0.7368,7.1162,135.2082
williams_stoch_dual,bear,13,0.3077,4.9894,64.8617
williams_stoch_dual,bull,10,0.3,-3.1167,-31.1666
williams_stoch_dual,neutral,3,0.0,-7.4178,-22.2534
xs_low_beta_long,bear,95,0.3158,1.2377,117.5846
xs_low_beta_long,bull,109,0.4495,5.2672,574.1294
xs_low_beta_long,neutral,9,0.1111,-9.1711,-82.5402
xs_momentum_bottom_decile_short,bear,163,0.2454,-2.4942,-406.557
xs_momentum_bottom_decile_short,bull,282,0.2482,-2.9649,-836.1064
xs_momentum_bottom_decile_short,neutral,23,0.3913,-3.2238,-74.1464
xs_momentum_top_decile,bear,31,0.2258,-0.7307,-22.6523
xs_momentum_top_decile,bull,38,0.2368,-3.2612,-123.9269
xs_momentum_top_decile,neutral,5,0.2,-4.2953,-21.4767
xs_quality_top_quintile_long,bear,31,0.2903,-0.3747,-11.6142
xs_quality_top_quintile_long,bull,102,0.2647,-1.7902,-182.6019
xs_quality_top_quintile_long,neutral,7,0.4286,0.786,5.5019
