date,level,event,dd_from_peak,rolling_peak_equity,current_equity,z_score,today_dispersion,ticker,reason,exit_price,action,new_stop
2024-06-28,6.0,halt_triggered,-5.1524,100000.0,-415241.84,,,,,,,
2024-07-01,6.0,halt_resumed,-5.1705,100000.0,-417050.46,,,,,,,
2024-07-02,6.0,halt_triggered,-5.1688,100000.0,-416878.45,,,,,,,
2024-07-03,6.0,halt_resumed,-5.1564,100000.0,-415640.06,,,,,,,
2024-07-05,6.0,halt_triggered,-5.1496,100000.0,-414956.87,,,,,,,
2024-07-08,6.0,halt_resumed,-5.1535,100000.0,-415347.54000000004,,,,,,,
2024-07-09,6.0,halt_triggered,-5.2018,100000.0,-420182.84,,,,,,,
2024-07-10,6.0,halt_resumed,-5.2014,100000.0,-420139.52,,,,,,,
2024-07-11,6.0,halt_triggered,-5.2338,100000.0,-423381.91000000003,,,,,,,
2024-07-12,6.0,halt_resumed,-5.2446,100000.0,-424461.69000000006,,,,,,,
2024-07-15,6.0,halt_triggered,-5.2575,100000.0,-425751.47,,,,,,,
2024-07-16,6.0,halt_resumed,-5.1526,100000.0,-415261.33,,,,,,,
2024-07-17,6.0,halt_triggered,-5.1764,100000.0,-417639.29000000004,,,,,,,
2024-07-18,1.0,,,,,,,DPZ,overnight_gap_down_13.4pct,409.8,,
2024-07-18,6.0,halt_resumed,-5.1776,100000.0,-417755.61,,,,,,,
2024-07-19,6.0,halt_triggered,-5.1864,100000.0,-418638.85000000003,,,,,,,
2024-07-22,6.0,halt_resumed,-5.1965,100000.0,-419646.14,,,,,,,
2024-07-23,6.0,halt_triggered,-5.2065,100000.0,-420653.31,,,,,,,
2024-07-24,1.0,,,,,,,LW,overnight_gap_down_24.8pct,59.116,,
2024-07-24,6.0,halt_resumed,-5.2408,100000.0,-424079.57,,,,,,,
2024-07-25,6.0,halt_triggered,-5.241,100000.0,-424095.82,,,,,,,
2024-07-26,6.0,halt_resumed,-5.2554,100000.0,-425536.53,,,,,,,
2024-07-29,6.0,halt_triggered,-5.2477,100000.0,-424774.23,,,,,,,
2024-07-30,6.0,halt_resumed,-5.258,100000.0,-425799.95000000007,,,,,,,
2024-07-31,6.0,halt_triggered,-5.2688,100000.0,-426877.28,,,,,,,
2024-08-01,6.0,halt_resumed,-5.308,100000.0,-430802.33999999997,,,,,,,
2024-08-02,6.0,halt_triggered,-5.3286,100000.0,-432862.76,,,,,,,
2024-08-05,1.0,,,,,,,GCT,overnight_gap_down_13.2pct,22.18,,
2024-08-05,6.0,halt_resumed,-5.2346,100000.0,-423460.93,,,,,,,
2024-08-06,6.0,halt_triggered,-5.2346,100000.0,-423460.93,,,,,,,
2024-08-07,6.0,halt_resumed,-5.2391,100000.0,-423905.24,,,,,,,
2024-08-08,1.0,,,,,,,ASPN,overnight_gap_up_31.9pct,24.41,,
2024-08-08,1.0,,,,,,,APPS,overnight_gap_up_17.4pct,2.09,,
2024-08-08,1.0,,,,,,,FROG,overnight_gap_down_26.0pct,25.19,,
2024-08-08,6.0,halt_triggered,-5.2126,100000.0,-421258.71,,,,,,,
2024-08-08,,dispersion_cb_triggered_dec128,,,,3.1732,0.067426,,,,,
2024-08-09,6.0,halt_resumed,-5.2301,100000.0,-423005.76,,,,,,,
2024-08-12,6.0,halt_triggered,-5.2097,100000.0,-420971.63,,,,,,,
2024-08-13,6.0,halt_resumed,-5.2491,100000.0,-424913.47,,,,,,,
2024-08-14,6.0,halt_triggered,-5.2931,100000.0,-429309.74,,,,,,,
2024-08-15,6.0,halt_resumed,-5.3134,100000.0,-431338.04000000004,,,,,,,
2024-08-16,6.0,halt_triggered,-5.3134,100000.0,-431338.04000000004,,,,,,,
2024-08-19,6.0,halt_resumed,-5.3212,100000.0,-432121.38,,,,,,,
2024-08-20,6.0,halt_triggered,-5.3395,100000.0,-433947.62,,,,,,,
2024-08-21,6.0,halt_resumed,-5.3113,100000.0,-431125.26,,,,,,,
2024-08-22,6.0,halt_triggered,-5.3213,100000.0,-432132.32000000007,,,,,,,
2024-08-23,6.0,halt_resumed,-5.3493,100000.0,-434926.20999999996,,,,,,,
2024-08-26,6.0,halt_triggered,-5.3377,100000.0,-433771.6,,,,,,,
2024-08-27,6.0,halt_resumed,-5.3517,100000.0,-435173.57999999996,,,,,,,
2024-08-28,1.0,,,,,,,NBIX,overnight_gap_down_17.5pct,125.9,,
2024-08-28,6.0,halt_triggered,-5.361,100000.0,-436096.04000000004,,,,,,,
2024-08-29,1.0,,,,,,,OKTA,overnight_gap_down_14.0pct,83.01,,
2024-08-29,6.0,halt_resumed,-5.3693,100000.0,-436930.55000000005,,,,,,,
2024-08-30,6.0,halt_triggered,-5.3614,100000.0,-436137.27,,,,,,,
2024-09-03,1.0,,,,,,,SHLS,overnight_gap_up_28.8pct,6.94,,
2024-09-03,6.0,halt_resumed,-5.4192,100000.0,-441920.13,,,,,,,
2024-09-04,6.0,halt_triggered,-5.4105,100000.0,-441048.73,,,,,,,
2024-09-05,6.0,halt_resumed,-5.432,100000.0,-443195.27,,,,,,,
