strategy,exit_method,trades,win_rate,profit_factor,avg_pnl_pct,total_roi_pct,max_drawdown_pct,avg_hold_days,actual_fire_rate,composite_score,recommended
ichimoku_cloud_breakout,regime_flip,72,0.4583,0.6811,-3.0838,-222.0329,-345.9359,28.8,1.0,18.33,False
ichimoku_cloud_breakout,time_stop_20d,72,0.4583,0.6811,-3.0838,-222.0329,-345.9359,28.8,1.0,18.33,False
ichimoku_cloud_breakout,time_stop_10d,72,0.4306,0.534,-3.6516,-262.9177,-301.1082,14.7,1.0,17.22,False
ichimoku_cloud_breakout,earnings_blackout,72,0.4306,0.5534,-6.5963,-474.9314,-756.9777,85.7,0.8611,17.22,False
ichimoku_cloud_breakout,trailing_15pct,72,0.3611,0.8366,-1.1739,-84.5187,-218.4904,43.2,0.9861,14.44,False
ichimoku_cloud_breakout,atr_trail_2x,72,0.3472,0.815,-1.0975,-79.0234,-213.0658,20.4,1.0,13.89,False
ichimoku_cloud_breakout,multi_tier_partial,72,0.3333,0.3946,-1.9644,-141.4353,-139.2169,5.1,1.0,13.33,False
ichimoku_cloud_breakout,trailing_10pct,72,0.3194,0.6716,-1.6246,-116.9688,-162.7714,23.3,1.0,12.78,False
ichimoku_cloud_breakout,r_multiple_2r,72,0.2917,0.7687,-1.0345,-74.4826,-117.7265,8.9,1.0,11.67,False
ichimoku_cloud_breakout,ma_exit_ema9,72,0.25,0.5968,-1.2186,-87.7419,-109.6591,5.6,1.0,10.0,False
ichimoku_cloud_breakout,trailing_5pct,72,0.25,0.2397,-2.1123,-152.0831,-146.474,6.4,1.0,10.0,False
ichimoku_cloud_breakout,atr_trail_vix_conditional,72,0.2222,0.2734,-2.9775,-214.3825,-211.326,8.4,1.0,8.89,False
ichimoku_cloud_breakout,r_multiple_3r,72,0.2222,0.8307,-0.8396,-60.4521,-131.0194,11.8,1.0,8.89,False
ichimoku_cloud_breakout,mfe_lockin_trail,72,0.2083,0.2068,-2.7561,-198.4359,-194.3606,5.0,1.0,8.33,False
ichimoku_cloud_breakout,smc_mitigation_zone,72,0.2083,0.1807,-2.8468,-204.9663,-200.891,5.2,1.0,8.33,False
ichimoku_cloud_breakout,chandelier_3x,72,0.2083,0.526,-2.593,-186.6989,-227.237,16.2,1.0,8.33,False
ichimoku_cloud_breakout,reverse_signal,72,0.2083,0.1807,-2.8468,-204.9663,-200.891,5.2,1.0,8.33,False
ichimoku_cloud_breakout,atr_trail_mae_conditional,72,0.2083,0.1807,-2.8468,-204.9663,-200.891,5.2,1.0,8.33,False
ichimoku_cloud_breakout,atr_trail_1x,72,0.2083,0.1807,-2.8468,-204.9663,-200.891,5.2,1.0,8.33,False
ichimoku_cloud_breakout,break_even_at_1r,72,0.1944,0.5333,-1.539,-110.8074,-115.9514,8.6,1.0,7.78,False
stochrsi_oversold,breakeven_plus_trail,228,0.3465,1.7311,3.3889,772.6601,-188.0488,33.9,0.9737,35.79,True
stochrsi_oversold,next_pivot_target,228,0.7149,0.8055,-0.6188,-141.0826,-260.1631,8.5,0.9912,28.6,False
stochrsi_oversold,hybrid_50pct_target,228,0.5833,0.8412,-1.5702,-357.9985,-782.0559,100.0,0.8947,23.33,False
stochrsi_oversold,earnings_blackout,228,0.4868,1.1268,1.126,256.7256,-614.3052,108.6,0.8772,23.28,False
stochrsi_oversold,regime_flip,228,0.5439,1.0361,0.2343,53.4134,-306.6766,28.6,1.0,22.84,False
stochrsi_oversold,time_stop_20d,228,0.5439,1.0361,0.2343,53.4134,-306.6766,28.6,1.0,22.84,False
stochrsi_oversold,class_time_stop,228,0.4912,0.9637,-0.2538,-57.8672,-392.5314,35.6,1.0,19.65,False
stochrsi_oversold,time_stop_10d,228,0.4605,0.7491,-1.3637,-310.9244,-399.7329,14.3,1.0,18.42,False
stochrsi_oversold,ma_exit_ema9,228,0.3991,0.5071,-0.7446,-169.7756,-183.0507,2.2,1.0,15.96,False
stochrsi_oversold,multi_tier_partial,228,0.3816,0.607,-1.1696,-266.6614,-310.2497,6.1,1.0,15.26,False
stochrsi_oversold,fixed_4r_2r,228,0.3509,0.9109,-0.693,-157.9961,-402.6148,26.6,0.9781,14.04,False
stochrsi_oversold,trailing_15pct,228,0.3246,1.0326,0.2502,57.05,-431.8646,54.9,0.9649,13.96,False
stochrsi_oversold,atr_trail_2x,228,0.3202,0.7839,-1.1987,-273.2966,-430.5143,18.6,0.9868,12.81,False
stochrsi_oversold,r_multiple_2r,228,0.3158,0.9397,-0.2481,-56.5556,-200.8302,8.3,0.9956,12.63,False
stochrsi_oversold,trailing_10pct,228,0.307,0.878,-0.6542,-149.1478,-296.5679,29.9,0.9737,12.28,False
stochrsi_oversold,reverse_signal,228,0.3026,0.6655,-1.0328,-235.4755,-308.8176,6.2,0.9912,12.1,False
stochrsi_oversold,mfe_lockin_trail,228,0.3026,0.6814,-0.9837,-224.2778,-289.352,5.8,0.9956,12.1,False
stochrsi_oversold,smc_mitigation_zone,228,0.3026,0.6655,-1.0328,-235.4755,-308.8176,6.2,0.9912,12.1,False
stochrsi_oversold,atr_trail_1x,228,0.3026,0.6655,-1.0328,-235.4755,-308.8176,6.2,0.9912,12.1,False
stochrsi_oversold,atr_trail_mae_conditional,228,0.3026,0.6655,-1.0328,-235.4755,-308.8176,6.2,0.9912,12.1,False
stochrsi_oversold,trailing_5pct,228,0.2939,0.6361,-0.9338,-212.9047,-211.0859,10.9,0.9956,11.76,False
stochrsi_oversold,atr_trail_vix_conditional,228,0.2763,0.663,-1.1659,-265.8291,-317.0112,8.7,0.9868,11.05,False
stochrsi_oversold,r_multiple_3r,228,0.2281,0.8741,-0.588,-134.0669,-241.726,11.7,0.9956,9.12,False
stochrsi_oversold,break_even_at_1r,228,0.1667,0.921,-0.2631,-59.9899,-210.7609,14.2,0.9912,6.67,False
stochrsi_oversold,chandelier_3x,228,0.0439,0.4394,-0.5048,-115.0865,-120.8395,3.2,1.0,1.76,False
awesome_oscillator,breakeven_plus_trail,39,0.3846,1.4458,1.8765,73.1837,-75.3746,23.5,0.8974,28.76,True
awesome_oscillator,hybrid_50pct_target,39,0.4615,1.0993,0.5348,20.8584,-79.5044,25.1,0.9487,21.44,False
awesome_oscillator,next_pivot_target,39,0.5128,0.5964,-1.8735,-73.0674,-126.6657,7.9,0.9744,20.51,False
awesome_oscillator,time_stop_10d,39,0.4615,0.8858,-0.6146,-23.9686,-98.0778,14.4,1.0,18.46,False
awesome_oscillator,time_stop_20d,39,0.4615,0.8467,-1.0884,-42.4459,-126.879,28.2,1.0,18.46,False
awesome_oscillator,regime_flip,39,0.4615,0.8467,-1.0884,-42.4459,-126.879,28.2,1.0,18.46,False
awesome_oscillator,earnings_blackout,39,0.4103,0.6362,-2.9254,-114.0922,-160.7093,94.3,0.8462,16.41,False
awesome_oscillator,atr_trail_2x,39,0.4103,0.9731,-0.131,-5.1085,-87.791,16.7,0.9487,16.41,False
awesome_oscillator,trailing_10pct,39,0.359,0.9949,-0.0273,-1.065,-129.8922,24.6,0.9231,14.36,False
awesome_oscillator,class_time_stop,39,0.359,0.8418,-1.4078,-54.9028,-154.7154,34.9,1.0,14.36,False
awesome_oscillator,ma_exit_ema9,39,0.3333,0.8573,-0.5725,-22.3264,-91.4489,9.4,0.9744,13.33,False
awesome_oscillator,chandelier_3x,39,0.3333,0.8515,-0.782,-30.4998,-112.0472,18.3,0.9231,13.33,False
awesome_oscillator,fixed_4r_2r,39,0.3077,1.0029,0.0198,0.772,-117.575,18.5,0.9744,12.39,False
awesome_oscillator,multi_tier_partial,39,0.3077,0.4234,-1.8191,-70.9435,-73.8557,4.4,1.0,12.31,False
awesome_oscillator,trailing_15pct,39,0.3077,0.6748,-2.4543,-95.7179,-183.8108,35.3,0.9231,12.31,False
awesome_oscillator,r_multiple_2r,39,0.2564,0.658,-1.2806,-49.9427,-68.0872,5.7,1.0,10.26,False
awesome_oscillator,trailing_5pct,39,0.2308,0.531,-1.4611,-56.9838,-87.3043,7.2,0.9744,9.23,False
awesome_oscillator,r_multiple_3r,39,0.2308,0.807,-0.7526,-29.3509,-67.1524,6.9,0.9744,9.23,False
awesome_oscillator,mfe_lockin_trail,39,0.2051,0.3394,-2.213,-86.3066,-88.2678,4.4,1.0,8.2,False
awesome_oscillator,smc_mitigation_zone,39,0.2051,0.4266,-1.9208,-74.9102,-87.2111,4.8,0.9744,8.2,False
awesome_oscillator,atr_trail_vix_conditional,39,0.2051,0.5868,-1.3383,-52.1956,-93.2058,6.5,0.9487,8.2,False
awesome_oscillator,reverse_signal,39,0.2051,0.4266,-1.9208,-74.9102,-87.2111,4.8,0.9744,8.2,False
awesome_oscillator,atr_trail_mae_conditional,39,0.2051,0.4266,-1.9208,-74.9102,-87.2111,4.8,0.9744,8.2,False
awesome_oscillator,atr_trail_1x,39,0.2051,0.4266,-1.9208,-74.9102,-87.2111,4.8,0.9744,8.2,False
awesome_oscillator,break_even_at_1r,39,0.1026,0.7684,-0.8045,-31.3774,-91.4196,8.5,0.9744,4.1,False
tema_dema,hybrid_50pct_target,65,0.5692,1.4176,2.2289,144.8796,-81.1365,44.1,0.9385,35.3,True
tema_dema,next_pivot_target,65,0.7077,1.215,0.6791,44.1411,-64.6451,9.8,1.0,34.76,False
tema_dema,class_time_stop,65,0.5692,1.2198,1.889,122.7881,-148.1187,70.7,1.0,29.36,False
tema_dema,breakeven_plus_trail,65,0.4,1.3725,1.621,105.3652,-62.5836,28.4,0.9846,27.18,False
tema_dema,earnings_blackout,65,0.5385,0.6833,-4.8333,-314.1674,-563.9375,139.0,0.8,21.54,False
tema_dema,r_multiple_2r,65,0.4,1.126,0.4856,31.5667,-68.7544,8.7,1.0,19.78,False
tema_dema,time_stop_20d,65,0.4769,0.8446,-1.0066,-65.4263,-84.6787,28.8,1.0,19.08,False
tema_dema,time_stop_10d,65,0.4769,0.846,-0.7469,-48.5462,-54.1263,14.6,1.0,19.08,False
tema_dema,regime_flip,65,0.4769,0.8446,-1.0066,-65.4263,-84.6787,28.8,1.0,19.08,False
tema_dema,fixed_4r_2r,65,0.3692,1.1339,0.9683,62.9416,-135.1991,38.0,0.9538,18.78,False
tema_dema,multi_tier_partial,65,0.4462,0.6305,-1.0913,-70.9335,-97.3441,5.8,1.0,17.85,False
tema_dema,atr_trail_2x,65,0.3692,0.9131,-0.4445,-28.8935,-80.9872,19.5,0.9846,14.77,False
tema_dema,ma_exit_ema9,65,0.3385,0.7822,-0.6041,-39.2638,-71.5569,7.7,1.0,13.54,False
