date,event,z_score,today_dispersion,ticker,level,reason,exit_price,action,new_stop
2025-04-04,,,,STLA,5.0,vix_crisis_45.3,,tighten_stop,10.720500000000001
2025-04-04,,,,WEC,5.0,vix_crisis_45.3,,tighten_stop,103.531
2025-04-04,,,,PCAR,5.0,vix_crisis_45.3,,tighten_stop,96.11149999999999
2025-04-04,,,,CWEN,5.0,vix_crisis_45.3,,tighten_stop,29.2505
2025-04-04,,,,JNJ,5.0,vix_crisis_45.3,,tighten_stop,151.82899999999998
2025-04-04,,,,SM,5.0,vix_crisis_45.3,,tighten_stop,22.807125
2025-04-04,,,,SBUX,5.0,vix_crisis_45.3,,tighten_stop,80.78895
2025-04-04,,,,TSEM,5.0,vix_crisis_45.3,,tighten_stop,29.291825
2025-04-04,,,,HPQ,5.0,vix_crisis_45.3,,tighten_stop,22.230095
2025-04-04,,,,HAL,5.0,vix_crisis_45.3,,tighten_stop,20.373795
2025-04-07,,,,STLA,5.0,vix_crisis_47.0,,tighten_stop,10.206000000000001
2025-04-07,,,,JNJ,5.0,vix_crisis_47.0,,tighten_stop,151.82899999999998
2025-04-07,,,,SBUX,5.0,vix_crisis_47.0,,tighten_stop,80.78895
2025-04-08,,,,STLA,5.0,vix_crisis_52.3,,tighten_stop,9.723
2025-04-08,,,,RITM,5.0,vix_crisis_52.3,,tighten_stop,10.923150000000001
2025-04-08,,,,ALKT,5.0,vix_crisis_52.3,,tighten_stop,22.94079
2025-04-08,,,,RPD,5.0,vix_crisis_52.3,,tighten_stop,23.03617
2025-04-08,,,,TRNO,5.0,vix_crisis_52.3,,tighten_stop,52.494625
2025-04-08,,,,LYB,5.0,vix_crisis_52.3,,tighten_stop,56.407199999999996
2025-04-09,dispersion_cb_triggered_dec128,3.0605,0.054884,,,,,,
2025-04-10,,,,INFA,5.0,vix_crisis_40.7,,tighten_stop,17.005
2025-04-10,,,,VAL,5.0,vix_crisis_40.7,,tighten_stop,31.616
2025-04-10,,,,AR,5.0,vix_crisis_40.7,,tighten_stop,33.1455
2025-04-30,,,,WNC,1.0,overnight_gap_down_26.9pct,7.28,,
2025-06-26,dispersion_cb_triggered_dec128,3.661,0.047486,,,,,,
2025-08-19,,,,VKTX,1.0,overnight_gap_down_38.2pct,26.0,,
2025-10-29,dispersion_cb_triggered_dec128,3.1008,0.051634,,,,,,
2026-02-27,dispersion_cb_triggered_dec128,3.7723,0.061627,,,,,,
