strategy,exit_method,smart_money_signal_present,n,win_rate,avg_pnl_pct,total_pnl_pct
cmf_flip,atr_trail_2x,no,9,0.5555555555555556,11.445977777777777,103.0138
cmf_flip,break_even_at_1r,no,9,0.1111111111111111,-4.501944444444444,-40.5175
cmf_flip,breakeven_plus_trail,no,9,0.5555555555555556,13.6229,122.6061
cmf_flip,class_time_stop,no,9,0.7777777777777778,15.205611111111109,136.85049999999998
cmf_flip,earnings_blackout,no,9,0.6666666666666666,43.15158888888889,388.3643
cmf_flip,fixed_4r_2r,no,9,0.6666666666666666,21.00741111111111,189.0667
cmf_flip,hybrid_50pct_target,no,9,0.3333333333333333,3.6552888888888884,32.8976
cmf_flip,ma_exit_ema9,no,9,0.3333333333333333,-1.521811111111111,-13.696299999999999
cmf_flip,next_pivot_target,no,9,0.5555555555555556,2.1401555555555554,19.2614
cmf_flip,r_multiple_2r,no,9,0.1111111111111111,-2.3086777777777776,-20.7781
cmf_flip,r_multiple_3r,no,9,0.1111111111111111,-0.4026333333333338,-3.623700000000004
cmf_flip,regime_flip,no,9,0.6666666666666666,11.119344444444444,100.0741
cmf_flip,time_stop_10d,no,9,0.5555555555555556,7.204699999999999,64.8423
cmf_flip,time_stop_20d,no,9,0.6666666666666666,11.119344444444444,100.0741
cmf_flip,trailing_10pct,no,9,0.2222222222222222,-0.6201222222222224,-5.581100000000001
cmf_flip,trailing_15pct,no,9,0.5555555555555556,13.0686,117.6174
cmf_flip,trailing_5pct,no,9,0.0,-3.4051333333333336,-30.6462
cpr_narrow_bullish,atr_trail_1x,no,21,0.23809523809523808,-0.9993523809523811,-20.986400000000003
cpr_narrow_bullish,atr_trail_2x,no,21,0.42857142857142855,-2.117090476190476,-44.4589
cpr_narrow_bullish,break_even_at_1r,no,21,0.19047619047619047,-1.8398523809523808,-38.6369
cpr_narrow_bullish,breakeven_plus_trail,no,21,0.3333333333333333,0.3095666666666668,6.500900000000003
cpr_narrow_bullish,class_time_stop,no,21,0.5714285714285714,-0.4287190476190477,-9.003100000000002
cpr_narrow_bullish,earnings_blackout,no,21,0.7619047619047619,29.55117619047619,620.5747
cpr_narrow_bullish,fixed_4r_2r,no,21,0.42857142857142855,0.18130000000000016,3.8073000000000032
cpr_narrow_bullish,hybrid_50pct_target,no,21,0.6666666666666666,0.8198999999999999,17.217899999999997
cpr_narrow_bullish,ma_exit_ema9,no,21,0.2857142857142857,-2.0781238095238095,-43.6406
cpr_narrow_bullish,next_pivot_target,no,21,0.9047619047619048,2.2800904761904763,47.8819
cpr_narrow_bullish,r_multiple_2r,no,21,0.3333333333333333,-0.39303333333333323,-8.253699999999998
cpr_narrow_bullish,r_multiple_3r,no,21,0.2857142857142857,-0.6793190476190476,-14.265699999999999
cpr_narrow_bullish,regime_flip,no,21,0.42857142857142855,0.23365238095238103,4.906700000000002
cpr_narrow_bullish,time_stop_10d,no,21,0.42857142857142855,-1.3693428571428568,-28.756199999999993
cpr_narrow_bullish,time_stop_20d,no,21,0.42857142857142855,0.23365238095238103,4.906700000000002
cpr_narrow_bullish,trailing_10pct,no,21,0.3333333333333333,-2.295638095238095,-48.2084
cpr_narrow_bullish,trailing_15pct,no,21,0.38095238095238093,-3.148504761904762,-66.1186
cpr_narrow_bullish,trailing_5pct,no,21,0.47619047619047616,-0.29235238095238103,-6.139400000000001
hull_rsi,atr_trail_1x,no,6,0.0,-2.2590333333333334,-13.554200000000002
hull_rsi,atr_trail_2x,no,6,0.16666666666666666,-0.7280833333333333,-4.3685
hull_rsi,break_even_at_1r,no,6,0.0,-2.7224333333333335,-16.334600000000002
hull_rsi,breakeven_plus_trail,no,6,0.16666666666666666,-0.2414500000000004,-1.4487000000000023
hull_rsi,class_time_stop,no,6,0.5,5.748666666666666,34.492
hull_rsi,earnings_blackout,no,6,0.8333333333333334,208.76356666666666,1252.5814
hull_rsi,fixed_4r_2r,no,6,0.16666666666666666,-5.963449999999999,-35.780699999999996
hull_rsi,hybrid_50pct_target,no,6,0.6666666666666666,4.0225,24.134999999999998
hull_rsi,ma_exit_ema9,no,6,0.3333333333333333,-1.6672,-10.0032
hull_rsi,next_pivot_target,no,6,0.5,-4.249716666666667,-25.4983
hull_rsi,r_multiple_2r,no,6,0.3333333333333333,0.8109333333333334,4.865600000000001
hull_rsi,r_multiple_3r,no,6,0.16666666666666666,-1.9801333333333335,-11.8808
hull_rsi,regime_flip,no,6,0.8333333333333334,6.758483333333333,40.5509
hull_rsi,time_stop_10d,no,6,0.5,2.7657833333333333,16.5947
