strategy,exit_method,trades,win_rate,profit_factor,avg_pnl_pct,total_roi_pct,max_drawdown_pct,avg_hold_days,composite_score,recommended
cmf_flip,r_multiple_3r,13,0.0769,0.1674,-5.536,-71.9678,-71.7174,18.8,3.08,False
cmf_flip,break_even_at_1r,13,0.0,0.0,-4.3764,-56.8938,-51.496,6.3,0.0,False
ultimate_oscillator,earnings_blackout,10,0.7,8.5549,91.8551,918.5507,-87.4656,642.5,58.0,True
ultimate_oscillator,ma_exit_ema9,10,0.5,1.004,0.0035,0.0347,-8.6339,1.2,37.17,False
ultimate_oscillator,regime_flip,10,0.5,0.3887,-5.041,-50.4096,-71.8184,29.5,20.0,False
ultimate_oscillator,time_stop_20d,10,0.5,0.3887,-5.041,-50.4096,-71.8184,29.5,20.0,False
ultimate_oscillator,trailing_5pct,10,0.4,0.5602,-1.0316,-10.3158,-19.2598,17.5,17.11,False
ultimate_oscillator,time_stop_10d,10,0.4,0.2457,-7.3246,-73.2462,-90.021,14.7,16.0,False
ultimate_oscillator,next_pivot_target,10,0.4,0.2282,-4.6308,-46.308,-54.5892,11.0,16.0,False
ultimate_oscillator,trailing_10pct,10,0.3,0.9467,-0.3086,-3.0856,-36.1816,54.7,12.0,False
ultimate_oscillator,atr_trail_2x,10,0.3,0.1241,-7.6799,-76.7992,-84.3942,18.5,12.0,False
ultimate_oscillator,fixed_4r_2r,10,0.3,0.2686,-8.3603,-83.6026,-104.2805,29.4,12.0,False
ultimate_oscillator,r_multiple_2r,10,0.3,0.2496,-4.6156,-46.1562,-56.4951,17.0,12.0,False
ultimate_oscillator,r_multiple_3r,10,0.3,0.3743,-3.8481,-38.4814,-53.9898,17.8,12.0,False
ultimate_oscillator,hybrid_50pct_target,10,0.3,0.2102,-5.5287,-55.2874,-66.2421,40.4,12.0,False
ultimate_oscillator,breakeven_plus_trail,10,0.3,0.5225,-5.0131,-50.1307,-59.2375,57.3,12.0,False
ultimate_oscillator,class_time_stop,10,0.3,0.1183,-11.9508,-119.5075,-130.4922,37.3,12.0,False
ultimate_oscillator,atr_trail_1x,10,0.2,0.084,-3.8745,-38.7452,-40.9203,6.3,8.0,False
