strategy,exit_method,mae_bucket,n,win_rate,avg_pnl_pct,total_pnl_pct
po3_bullish,time_stop_10d,q4_ge_10pct,12,0.5,0.3695750000000002,4.4349000000000025
po3_bullish,time_stop_20d,q4_ge_10pct,12,0.5833333333333334,1.0022666666666664,12.027199999999997
po3_bullish,trailing_10pct,q4_ge_10pct,12,0.3333333333333333,2.0600416666666663,24.720499999999998
po3_bullish,trailing_15pct,q4_ge_10pct,12,0.3333333333333333,-0.9918166666666665,-11.901799999999998
po3_bullish,trailing_5pct,q4_ge_10pct,12,0.3333333333333333,1.1290583333333333,13.5487
smc_inverse_fvg,atr_trail_1x,q4_ge_10pct,93,0.17204301075268819,-2.024041935483871,-188.2359
smc_inverse_fvg,atr_trail_2x,q4_ge_10pct,93,0.21505376344086022,-2.8712225806451617,-267.0237
smc_inverse_fvg,atr_trail_mae_conditional,q4_ge_10pct,93,0.17204301075268819,-2.024041935483871,-188.2359
smc_inverse_fvg,atr_trail_vix_conditional,q4_ge_10pct,93,0.17204301075268819,-2.585804301075269,-240.4798
smc_inverse_fvg,break_even_at_1r,q4_ge_10pct,93,0.10752688172043011,-1.7472849462365592,-162.4975
smc_inverse_fvg,breakeven_plus_trail,q4_ge_10pct,93,0.22580645161290322,-2.0296505376344087,-188.7575
smc_inverse_fvg,chandelier_3x,q4_ge_10pct,93,0.20430107526881722,-3.1583795698924733,-293.7293
smc_inverse_fvg,class_time_stop,q4_ge_10pct,93,0.45161290322580644,-1.1979903225806452,-111.4131
smc_inverse_fvg,earnings_blackout,q4_ge_10pct,93,0.41935483870967744,-20.9411311827957,-1947.5252
smc_inverse_fvg,fixed_4r_2r,q4_ge_10pct,93,0.1935483870967742,-3.7246774193548386,-346.395
smc_inverse_fvg,hybrid_50pct_target,q4_ge_10pct,93,0.6666666666666666,-6.663123655913978,-619.6705
smc_inverse_fvg,ma_exit_ema9,q4_ge_10pct,93,0.21505376344086022,-1.8017161290322579,-167.5596
smc_inverse_fvg,mfe_lockin_trail,q4_ge_10pct,93,0.17204301075268819,-2.0201311827956987,-187.8722
smc_inverse_fvg,multi_tier_partial,q4_ge_10pct,93,0.26881720430107525,-1.5712516129032257,-146.1264
smc_inverse_fvg,next_pivot_target,q4_ge_10pct,93,0.6129032258064516,-2.221377419354839,-206.5881
smc_inverse_fvg,r_multiple_2r,q4_ge_10pct,93,0.17204301075268819,-1.961467741935484,-182.4165
smc_inverse_fvg,r_multiple_3r,q4_ge_10pct,93,0.11827956989247312,-2.365862365591398,-220.0252
smc_inverse_fvg,regime_flip,q4_ge_10pct,93,0.3870967741935484,-1.5311225806451612,-142.3944
smc_inverse_fvg,reverse_signal,q4_ge_10pct,93,0.17204301075268819,-2.024041935483871,-188.2359
smc_inverse_fvg,smc_mitigation_zone,q4_ge_10pct,93,0.17204301075268819,-2.0029376344086023,-186.2732
smc_inverse_fvg,time_stop_10d,q4_ge_10pct,93,0.34408602150537637,-2.1804655913978492,-202.7833
smc_inverse_fvg,time_stop_20d,q4_ge_10pct,93,0.3870967741935484,-1.5311225806451612,-142.3944
smc_inverse_fvg,trailing_10pct,q4_ge_10pct,93,0.24731182795698925,-3.713401075268817,-345.3463
smc_inverse_fvg,trailing_15pct,q4_ge_10pct,93,0.20430107526881722,-4.636525806451613,-431.1969
smc_inverse_fvg,trailing_5pct,q4_ge_10pct,93,0.16129032258064516,-2.4457344086021506,-227.4533
ultimate_oscillator,atr_trail_1x,q1_lt_2pct,2,0.5,-0.6489,-1.2978
