strategy,exit_method,hold_duration_band,n,win_rate,avg_pnl_pct,total_pnl_pct
cpr_narrow_bullish,class_time_stop,short_le_3d,2,0.0,-11.9413,-23.8826
cpr_narrow_bullish,earnings_blackout,long_ge_11d,37,0.6486486486486487,-56.54071621621622,-2092.0065
cpr_narrow_bullish,earnings_blackout,medium_4_10d,6,0.5,5.453283333333332,32.719699999999996
cpr_narrow_bullish,earnings_blackout,short_le_3d,2,0.5,-172.1534,-344.3068
cpr_narrow_bullish,fixed_4r_2r,long_ge_11d,37,0.5675675675675675,4.421886486486486,163.6098
cpr_narrow_bullish,fixed_4r_2r,medium_4_10d,6,0.0,-10.0065,-60.039
cpr_narrow_bullish,fixed_4r_2r,short_le_3d,2,0.0,-10.30185,-20.6037
cpr_narrow_bullish,hybrid_50pct_target,long_ge_11d,37,0.6756756756756757,-15.470743243243243,-572.4175
cpr_narrow_bullish,hybrid_50pct_target,medium_4_10d,6,0.3333333333333333,-43.11426666666666,-258.68559999999997
cpr_narrow_bullish,hybrid_50pct_target,short_le_3d,2,0.0,-222.7567,-445.5134
cpr_narrow_bullish,ma_exit_ema9,long_ge_11d,37,0.4594594594594595,-30.07568378378378,-1112.8002999999999
cpr_narrow_bullish,ma_exit_ema9,medium_4_10d,6,0.0,-2.8476,-17.0856
cpr_narrow_bullish,ma_exit_ema9,short_le_3d,2,0.0,-9.79975,-19.5995
cpr_narrow_bullish,next_pivot_target,long_ge_11d,37,0.8918918918918919,1.1137243243243242,41.2078
cpr_narrow_bullish,next_pivot_target,medium_4_10d,6,0.8333333333333334,0.03555000000000019,0.21330000000000116
cpr_narrow_bullish,next_pivot_target,short_le_3d,2,0.0,-10.792,-21.584
cpr_narrow_bullish,r_multiple_2r,long_ge_11d,37,0.6216216216216216,3.2620864864864862,120.6972
cpr_narrow_bullish,r_multiple_2r,medium_4_10d,6,0.16666666666666666,-3.1054666666666666,-18.6328
cpr_narrow_bullish,r_multiple_2r,short_le_3d,2,0.0,-4.91935,-9.8387
cpr_narrow_bullish,r_multiple_3r,long_ge_11d,37,0.5405405405405406,4.093321621621621,151.4529
