strategy,exit_method,trades,win_rate,profit_factor,avg_pnl_pct,total_roi_pct,max_drawdown_pct,avg_hold_days,composite_score,recommended
stochrsi_oversold,time_stop_20d,13,0.5385,1.2399,1.0653,13.8493,-50.1733,28.8,28.74,False
stochrsi_oversold,regime_flip,13,0.5385,1.2399,1.0653,13.8493,-50.1733,28.8,28.74,False
stochrsi_oversold,trailing_5pct,13,0.3077,1.1381,0.357,4.6405,-12.6904,11.7,27.42,False
stochrsi_oversold,atr_trail_1x,13,0.2308,0.7105,-0.6862,-8.9206,-10.586,6.5,23.35,False
stochrsi_oversold,fixed_4r_2r,13,0.3846,1.238,1.2642,16.4344,-48.1077,25.6,22.52,False
stochrsi_oversold,time_stop_10d,13,0.4615,0.6045,-1.8704,-24.3156,-40.3387,14.3,18.46,False
stochrsi_oversold,r_multiple_2r,13,0.3077,0.8325,-0.5148,-6.6923,-17.9518,6.5,15.38,False
stochrsi_oversold,r_multiple_3r,13,0.2308,0.9588,-0.1358,-1.7649,-17.9518,9.7,12.3,False
bollinger_lower,earnings_blackout,7,1.0,999.0,72.6343,508.4399,0.0,516.0,100.0,True
bollinger_lower,ma_exit_ema9,7,0.7143,3.9273,0.709,4.9632,-1.5701,1.6,86.22,False
bollinger_lower,class_time_stop,7,0.7143,3.9598,5.6208,39.3456,-10.2111,36.1,73.26,False
bollinger_lower,time_stop_20d,7,0.7143,3.1242,4.0484,28.3389,-12.8201,29.0,69.34,False
bollinger_lower,regime_flip,7,0.7143,3.1242,4.0484,28.3389,-12.8201,29.0,69.34,False
bollinger_lower,time_stop_10d,7,0.7143,1.8705,1.8939,13.257,-11.5226,14.1,67.4,False
bollinger_lower,trailing_15pct,7,0.5714,6.8985,27.9609,195.726,-13.3792,223.7,62.79,False
bollinger_lower,breakeven_plus_trail,7,0.4286,3.8653,7.1071,49.7498,-9.8449,88.7,62.38,False
bollinger_lower,trailing_5pct,7,0.2857,2.6978,4.1393,28.975,-8.1341,38.6,59.23,False
bollinger_lower,trailing_10pct,7,0.4286,2.0139,4.8269,33.7884,-12.0925,103.4,59.01,False
bollinger_lower,break_even_at_1r,7,0.1429,2.5938,2.8042,19.6292,-5.0751,27.0,58.1,False
bollinger_lower,hybrid_50pct_target,7,0.5714,1.5791,2.482,17.3739,-10.0,100.4,55.23,False
bollinger_lower,r_multiple_2r,7,0.4286,0.797,-0.4443,-3.1103,-7.7698,4.6,35.49,False
bollinger_lower,atr_trail_1x,7,0.2857,0.7739,-0.3185,-2.2293,-4.9224,6.6,34.04,False
bollinger_lower,atr_trail_2x,7,0.4286,0.8838,-0.51,-3.5702,-12.0925,25.3,29.01,False
bollinger_lower,r_multiple_3r,7,0.2857,0.6649,-0.8376,-5.8632,-9.0927,9.9,27.79,False
bollinger_lower,fixed_4r_2r,7,0.4286,0.8186,-0.8914,-6.2397,-15.1745,26.9,24.38,False
bollinger_lower,next_pivot_target,7,0.5714,0.3872,-2.8969,-20.2786,-19.0173,15.6,24.33,False
break_retest_confluence,break_even_at_1r,5,0.2,3.2704,1.4534,7.2672,-3.2009,10.8,63.2,True
