strategy,exit_method,smart_money_signal_present,n,win_rate,avg_pnl_pct,total_pnl_pct
po3_htf_aligned_short,class_time_stop,yes,46,0.5217391304347826,1.3482804347826087,62.020900000000005
po3_htf_aligned_short,earnings_blackout,yes,46,0.5434782608695652,-3.2650000000000006,-150.19000000000003
po3_htf_aligned_short,fixed_4r_2r,yes,46,0.45652173913043476,5.842936956521739,268.7751
po3_htf_aligned_short,hybrid_50pct_target,yes,46,0.8478260869565217,10.59098695652174,487.1854
po3_htf_aligned_short,ma_exit_ema9,yes,46,0.3695652173913043,-1.4655413043478263,-67.4149
po3_htf_aligned_short,mfe_lockin_trail,yes,46,0.2391304347826087,-2.980136956521739,-137.0863
po3_htf_aligned_short,multi_tier_partial,yes,46,0.2826086956521739,-2.801360869565217,-128.8626
po3_htf_aligned_short,next_pivot_target,yes,46,0.6086956521739131,-1.9803826086956522,-91.0976
po3_htf_aligned_short,r_multiple_2r,yes,46,0.30434782608695654,-1.3985717391304349,-64.3343
po3_htf_aligned_short,r_multiple_3r,yes,46,0.21739130434782608,-2.0383804347826087,-93.7655
po3_htf_aligned_short,regime_flip,yes,46,0.5652173913043478,1.2204108695652176,56.13890000000001
po3_htf_aligned_short,reverse_signal,yes,46,0.2391304347826087,-2.9574304347826086,-136.0418
po3_htf_aligned_short,smc_mitigation_zone,yes,46,0.2391304347826087,-2.9574304347826086,-136.0418
po3_htf_aligned_short,time_stop_10d,yes,46,0.5652173913043478,1.2343847826086958,56.7817
po3_htf_aligned_short,time_stop_20d,yes,46,0.5652173913043478,1.2204108695652176,56.13890000000001
po3_htf_aligned_short,trailing_10pct,yes,46,0.2826086956521739,-3.054586956521739,-140.511
po3_htf_aligned_short,trailing_15pct,yes,46,0.34782608695652173,-3.136160869565217,-144.2634
po3_htf_aligned_short,trailing_5pct,yes,46,0.21739130434782608,-2.0116217391304345,-92.5346
ppo_crossover,atr_trail_1x,yes,66,0.25757575757575757,-2.26364696969697,-149.4007
ppo_crossover,atr_trail_2x,yes,66,0.3333333333333333,-1.8297363636363637,-120.7626
ppo_crossover,atr_trail_mae_conditional,yes,66,0.25757575757575757,-2.26364696969697,-149.4007
ppo_crossover,atr_trail_vix_conditional,yes,66,0.24242424242424243,-1.9897348484848483,-131.3225
ppo_crossover,break_even_at_1r,yes,66,0.15151515151515152,-1.7302409090909092,-114.19590000000001
ppo_crossover,breakeven_plus_trail,yes,66,0.4090909090909091,2.7055151515151517,178.56400000000002
