ticker,date,strategy,scaler,multiplier
HBAN,2023-01-23,pivot_r1_breakout,portfolio_vol_target,1.5
HBAN,2023-01-23,pivot_r1_breakout,per_position_vol_target,0.5285
GNRC,2023-01-23,cpr_narrow_bullish,dd_band,0.8
GNRC,2023-01-23,cpr_narrow_bullish,portfolio_vol_target,1.5
GNRC,2023-01-23,cpr_narrow_bullish,per_position_vol_target,0.2711
COGT,2023-01-23,cpr_narrow_bullish,dd_band,0.8
COGT,2023-01-23,cpr_narrow_bullish,portfolio_vol_target,1.5
COGT,2023-01-23,cpr_narrow_bullish,per_position_vol_target,0.25
CG,2023-01-23,cpr_narrow_bullish,dd_band,0.8
CG,2023-01-23,cpr_narrow_bullish,portfolio_vol_target,1.5
CG,2023-01-23,cpr_narrow_bullish,per_position_vol_target,0.4428
BHVN,2023-01-23,cpr_narrow_bullish,dd_band,0.8
BHVN,2023-01-23,cpr_narrow_bullish,portfolio_vol_target,1.5
BHVN,2023-01-23,cpr_narrow_bullish,per_position_vol_target,0.25
SGH,2023-01-23,cpr_narrow_bullish,dd_band,0.8
SGH,2023-01-23,cpr_narrow_bullish,portfolio_vol_target,1.5
SGH,2023-01-23,cpr_narrow_bullish,per_position_vol_target,0.2988
BAM,2023-01-23,hull_rsi,dd_band,0.8
BAM,2023-01-23,hull_rsi,portfolio_vol_target,1.5
BAM,2023-01-23,hull_rsi,per_position_vol_target,0.328
VIVO,2023-01-23,cpr_narrow_bullish,dd_band,0.8
VIVO,2023-01-23,cpr_narrow_bullish,portfolio_vol_target,1.5
VIVO,2023-01-23,cpr_narrow_bullish,per_position_vol_target,1.9668
IFF,2023-03-27,cpr_narrow_bullish,dd_band,0.8
IFF,2023-03-27,cpr_narrow_bullish,portfolio_vol_target,1.5
IFF,2023-03-27,cpr_narrow_bullish,per_position_vol_target,0.4236
CCEP,2023-03-27,cpr_narrow_bullish,dd_band,0.8
CCEP,2023-03-27,cpr_narrow_bullish,portfolio_vol_target,1.5
CCEP,2023-03-27,cpr_narrow_bullish,per_position_vol_target,0.6731
BDX,2023-03-27,cpr_narrow_bullish,dd_band,0.8
BDX,2023-03-27,cpr_narrow_bullish,portfolio_vol_target,1.5
BDX,2023-03-27,cpr_narrow_bullish,per_position_vol_target,0.72
COGT,2023-03-27,prev_day_high_break,dd_band,0.8
COGT,2023-03-27,prev_day_high_break,portfolio_vol_target,1.5
COGT,2023-03-27,prev_day_high_break,per_position_vol_target,0.25
NVDA,2023-03-27,ichimoku_cloud_breakout,dd_band,0.8
NVDA,2023-03-27,ichimoku_cloud_breakout,portfolio_vol_target,1.5
NVDA,2023-03-27,ichimoku_cloud_breakout,per_position_vol_target,0.335
HOLX,2023-03-27,avwap_50_reclaim,dd_band,0.8
HOLX,2023-03-27,avwap_50_reclaim,portfolio_vol_target,1.5
HOLX,2023-03-27,avwap_50_reclaim,per_position_vol_target,0.6933
UUUU,2023-03-27,macd_fast_crossover,dd_band,0.8
UUUU,2023-03-27,macd_fast_crossover,portfolio_vol_target,1.5
UUUU,2023-03-27,macd_fast_crossover,per_position_vol_target,0.25
BHVN,2023-03-27,supertrend_macd,dd_band,0.8
BHVN,2023-03-27,supertrend_macd,portfolio_vol_target,1.5
BHVN,2023-03-27,supertrend_macd,per_position_vol_target,0.25
WMB,2023-03-27,macd_crossover,dd_band,0.8
WMB,2023-03-27,macd_crossover,portfolio_vol_target,1.5
WMB,2023-03-27,macd_crossover,per_position_vol_target,0.4866
SGH,2023-05-29,pivot_r1_breakout,dd_band,0.8
SGH,2023-05-29,pivot_r1_breakout,portfolio_vol_target,1.5
SGH,2023-05-29,pivot_r1_breakout,per_position_vol_target,0.3368
RF,2023-05-29,cpr_narrow_bullish,dd_band,0.8
RF,2023-05-29,cpr_narrow_bullish,portfolio_vol_target,1.5
RF,2023-05-29,cpr_narrow_bullish,per_position_vol_target,0.3635
IFF,2023-05-29,avwap_50_reclaim,dd_band,0.8
IFF,2023-05-29,avwap_50_reclaim,portfolio_vol_target,1.5
IFF,2023-05-29,avwap_50_reclaim,per_position_vol_target,0.4276
FOX,2023-05-29,hull_rsi,dd_band,0.8
FOX,2023-05-29,hull_rsi,portfolio_vol_target,1.5
FOX,2023-05-29,hull_rsi,per_position_vol_target,0.5503
AOS,2023-05-29,stochrsi_oversold,dd_band,0.8
AOS,2023-05-29,stochrsi_oversold,portfolio_vol_target,1.5
AOS,2023-05-29,stochrsi_oversold,per_position_vol_target,0.6128
PSX,2023-07-31,cpr_narrow_bullish,portfolio_vol_target,1.5
PSX,2023-07-31,cpr_narrow_bullish,per_position_vol_target,0.618
HBAN,2023-07-31,cpr_narrow_bullish,portfolio_vol_target,1.5
HBAN,2023-07-31,cpr_narrow_bullish,per_position_vol_target,0.4921
UUUU,2023-07-31,pivot_r1_breakout,portfolio_vol_target,1.5
UUUU,2023-07-31,pivot_r1_breakout,per_position_vol_target,0.3334
BHVN,2023-07-31,hull_rsi,portfolio_vol_target,1.5
BHVN,2023-07-31,hull_rsi,per_position_vol_target,0.25
VET,2023-07-31,cpr_narrow_bullish,portfolio_vol_target,1.5
VET,2023-07-31,cpr_narrow_bullish,per_position_vol_target,0.3865
RF,2023-07-31,cpr_narrow_bullish,portfolio_vol_target,1.5
RF,2023-07-31,cpr_narrow_bullish,per_position_vol_target,0.4998
COGT,2023-07-31,cpr_narrow_bullish,portfolio_vol_target,1.5
COGT,2023-07-31,cpr_narrow_bullish,per_position_vol_target,0.3313
GNRC,2023-08-09,williams_stoch_dual,portfolio_vol_target,1.5
GNRC,2023-08-09,williams_stoch_dual,per_position_vol_target,0.25
CSX,2023-08-09,williams_stoch_dual,portfolio_vol_target,1.5
CSX,2023-08-09,williams_stoch_dual,per_position_vol_target,0.6253
JCI,2023-08-09,cpr_narrow_bullish,portfolio_vol_target,1.5
JCI,2023-08-09,cpr_narrow_bullish,per_position_vol_target,0.5284
SGH,2023-08-09,ultimate_oscillator,portfolio_vol_target,1.5
SGH,2023-08-09,ultimate_oscillator,per_position_vol_target,0.3619
IFF,2023-08-09,avwap_50_reclaim,portfolio_vol_target,1.5
IFF,2023-08-09,avwap_50_reclaim,per_position_vol_target,0.2602
REZI,2023-08-09,cmf_flip,portfolio_vol_target,1.5
REZI,2023-08-09,cmf_flip,per_position_vol_target,0.3468
LCID,2023-10-09,avwap_50_reclaim,dd_band,0.8
LCID,2023-10-09,avwap_50_reclaim,portfolio_vol_target,1.5
LCID,2023-10-09,avwap_50_reclaim,per_position_vol_target,0.25
BDX,2023-10-09,cpr_narrow_bullish,dd_band,0.8
BDX,2023-10-09,cpr_narrow_bullish,portfolio_vol_target,1.5
BDX,2023-10-09,cpr_narrow_bullish,per_position_vol_target,0.7674
CCEP,2023-10-09,avwap_50_reclaim,dd_band,0.8
CCEP,2023-10-09,avwap_50_reclaim,portfolio_vol_target,1.5
CCEP,2023-10-09,avwap_50_reclaim,per_position_vol_target,0.5287
UUUU,2023-10-09,stochrsi_oversold,dd_band,0.8
UUUU,2023-10-09,stochrsi_oversold,portfolio_vol_target,1.5
UUUU,2023-10-09,stochrsi_oversold,per_position_vol_target,0.25
BHVN,2023-10-09,cpr_narrow_bullish,dd_band,0.8
BHVN,2023-10-09,cpr_narrow_bullish,portfolio_vol_target,1.5
BHVN,2023-10-09,cpr_narrow_bullish,per_position_vol_target,0.25
FOX,2023-10-09,macd_crossover,dd_band,0.8
FOX,2023-10-09,macd_crossover,portfolio_vol_target,1.5
FOX,2023-10-09,macd_crossover,per_position_vol_target,0.5699
HBAN,2023-10-09,macd_crossover,dd_band,0.8
HBAN,2023-10-09,macd_crossover,portfolio_vol_target,1.5
HBAN,2023-10-09,macd_crossover,per_position_vol_target,0.4709
RF,2023-10-09,ichimoku_cloud_breakout,dd_band,0.8
RF,2023-10-09,ichimoku_cloud_breakout,portfolio_vol_target,1.5
RF,2023-10-09,ichimoku_cloud_breakout,per_position_vol_target,0.4645
IDYA,2024-01-19,cpr_narrow_bullish,dd_band,0.8
IDYA,2024-01-19,cpr_narrow_bullish,portfolio_vol_target,1.5
IDYA,2024-01-19,cpr_narrow_bullish,per_position_vol_target,0.3454
NVDA,2024-01-19,cpr_narrow_bullish,dd_band,0.8
NVDA,2024-01-19,cpr_narrow_bullish,portfolio_vol_target,1.5
NVDA,2024-01-19,cpr_narrow_bullish,per_position_vol_target,0.4799
AWK,2024-01-19,williams_stoch_dual,dd_band,0.8
AWK,2024-01-19,williams_stoch_dual,portfolio_vol_target,1.5
AWK,2024-01-19,williams_stoch_dual,per_position_vol_target,0.6575
VET,2024-01-19,avwap_50_reclaim,dd_band,0.8
VET,2024-01-19,avwap_50_reclaim,portfolio_vol_target,1.5
VET,2024-01-19,avwap_50_reclaim,per_position_vol_target,0.3578
RKLB,2024-01-19,cpr_narrow_bullish,dd_band,0.8
RKLB,2024-01-19,cpr_narrow_bullish,portfolio_vol_target,1.5
RKLB,2024-01-19,cpr_narrow_bullish,per_position_vol_target,0.25
FLR,2024-01-19,stochrsi_oversold,dd_band,0.8
FLR,2024-01-19,stochrsi_oversold,portfolio_vol_target,1.5
FLR,2024-01-19,stochrsi_oversold,per_position_vol_target,0.5089
SGH,2024-01-19,hull_rsi,dd_band,0.8
SGH,2024-01-19,hull_rsi,portfolio_vol_target,1.5
SGH,2024-01-19,hull_rsi,per_position_vol_target,0.3586
FOX,2024-01-19,cpr_narrow_bullish,dd_band,0.8
FOX,2024-01-19,cpr_narrow_bullish,portfolio_vol_target,1.5
FOX,2024-01-19,cpr_narrow_bullish,per_position_vol_target,0.6846
HBAN,2024-01-19,cpr_narrow_bullish,dd_band,0.8
HBAN,2024-01-19,cpr_narrow_bullish,portfolio_vol_target,1.5
HBAN,2024-01-19,cpr_narrow_bullish,per_position_vol_target,0.5027
PSX,2024-03-22,cpr_narrow_bullish,dd_band,0.8
PSX,2024-03-22,cpr_narrow_bullish,portfolio_vol_target,1.5
PSX,2024-03-22,cpr_narrow_bullish,per_position_vol_target,0.634
XLE,2024-03-22,cpr_narrow_bullish,dd_band,0.8
XLE,2024-03-22,cpr_narrow_bullish,portfolio_vol_target,1.5
XLE,2024-03-22,cpr_narrow_bullish,per_position_vol_target,0.9821
COGT,2024-03-22,adx_initiation,dd_band,0.8
COGT,2024-03-22,adx_initiation,portfolio_vol_target,1.5
COGT,2024-03-22,adx_initiation,per_position_vol_target,0.25
MORF,2024-03-22,cpr_narrow_bullish,dd_band,0.8
MORF,2024-03-22,cpr_narrow_bullish,portfolio_vol_target,1.5
MORF,2024-03-22,cpr_narrow_bullish,per_position_vol_target,0.25
BDX,2024-03-22,pivot_r1_breakout,dd_band,0.8
BDX,2024-03-22,pivot_r1_breakout,portfolio_vol_target,1.5
BDX,2024-03-22,pivot_r1_breakout,per_position_vol_target,0.7503
AOS,2024-03-22,hull_rsi,dd_band,0.8
AOS,2024-03-22,hull_rsi,portfolio_vol_target,1.5
AOS,2024-03-22,hull_rsi,per_position_vol_target,0.768
WMB,2024-03-22,hull_rsi,dd_band,0.8
WMB,2024-03-22,hull_rsi,portfolio_vol_target,1.5
WMB,2024-03-22,hull_rsi,per_position_vol_target,0.8269
JCI,2024-03-22,ichimoku_cloud_breakout,dd_band,0.8
JCI,2024-03-22,ichimoku_cloud_breakout,portfolio_vol_target,1.5
JCI,2024-03-22,ichimoku_cloud_breakout,per_position_vol_target,0.8518
MORF,2024-05-24,pivot_r1_breakout,dd_band,0.8
MORF,2024-05-24,pivot_r1_breakout,portfolio_vol_target,1.5
MORF,2024-05-24,pivot_r1_breakout,per_position_vol_target,0.25
VFS,2024-05-24,cpr_narrow_bullish,dd_band,0.8
VFS,2024-05-24,cpr_narrow_bullish,portfolio_vol_target,1.5
VFS,2024-05-24,cpr_narrow_bullish,per_position_vol_target,0.25
COGT,2024-05-24,cpr_narrow_bullish,dd_band,0.8
COGT,2024-05-24,cpr_narrow_bullish,portfolio_vol_target,1.5
COGT,2024-05-24,cpr_narrow_bullish,per_position_vol_target,0.25
FLR,2024-05-24,cpr_narrow_bullish,dd_band,0.8
FLR,2024-05-24,cpr_narrow_bullish,portfolio_vol_target,1.5
FLR,2024-05-24,cpr_narrow_bullish,per_position_vol_target,0.4977
IDYA,2024-05-24,bollinger_tight,dd_band,0.8
IDYA,2024-05-24,bollinger_tight,portfolio_vol_target,1.5
IDYA,2024-05-24,bollinger_tight,per_position_vol_target,0.258
HOLX,2024-05-24,williams_stoch_dual,dd_band,0.8
HOLX,2024-05-24,williams_stoch_dual,portfolio_vol_target,1.5
HOLX,2024-05-24,williams_stoch_dual,per_position_vol_target,0.8108
HBAN,2024-07-26,cpr_narrow_bullish,dd_band,0.8
HBAN,2024-07-26,cpr_narrow_bullish,portfolio_vol_target,1.5
HBAN,2024-07-26,cpr_narrow_bullish,per_position_vol_target,0.5661
RF,2024-07-26,cpr_narrow_bullish,dd_band,0.8
RF,2024-07-26,cpr_narrow_bullish,portfolio_vol_target,1.5
RF,2024-07-26,cpr_narrow_bullish,per_position_vol_target,0.4924
REZI,2024-07-26,cpr_narrow_bullish,dd_band,0.8
REZI,2024-07-26,cpr_narrow_bullish,portfolio_vol_target,1.5
REZI,2024-07-26,cpr_narrow_bullish,per_position_vol_target,0.4251
GNRC,2024-07-26,cpr_narrow_bullish,dd_band,0.8
GNRC,2024-07-26,cpr_narrow_bullish,portfolio_vol_target,1.5
GNRC,2024-07-26,cpr_narrow_bullish,per_position_vol_target,0.3845
COGT,2024-07-26,cpr_narrow_bullish,dd_band,0.8
COGT,2024-07-26,cpr_narrow_bullish,portfolio_vol_target,1.5
COGT,2024-07-26,cpr_narrow_bullish,per_position_vol_target,0.25
FOX,2024-07-26,cpr_narrow_bullish,dd_band,0.8
FOX,2024-07-26,cpr_narrow_bullish,portfolio_vol_target,1.5
FOX,2024-07-26,cpr_narrow_bullish,per_position_vol_target,0.7785
IFF,2024-07-26,cpr_narrow_bullish,dd_band,0.8
