strategy,feature_a,bucket_a,feature_b,bucket_b,n_joint,n_single_a,n_single_b,n_baseline,wr_baseline,wr_joint,pnl_baseline,pnl_joint,sharpe_baseline,sharpe_single_a,sharpe_single_b,sharpe_joint,lift_vs_baseline,lift_vs_single_a,lift_vs_single_b,incremental_lift,wr_lift_pp
xs_momentum_top_decile,macro_score,macro_neutral,confidence_tier,tier_HIGH,69,70,373,383,0.2559,0.3188,-0.3234,2.1079,-0.2796,1.3807,-0.1128,1.4869,1.7665,0.1062,1.5998,0.1062,6.3
cmf_flip,sentiment_score,sentiment_neutral,regime,regime_neutral,41,245,62,636,0.294,0.2927,1.1931,3.4281,0.8259,-0.3451,1.2925,1.3967,0.5708,1.7418,0.1042,0.1042,-0.13
bollinger_tight,smart_money_score,sm_score_gt_0,sentiment_score,sentiment_neutral,121,305,154,380,0.3105,0.314,-0.0662,1.2202,-0.0606,-0.1448,0.8064,0.9036,0.9642,1.0484,0.0972,0.0972,0.35
xs_momentum_top_decile,smart_money_score,sm_score_le_0,confidence_tier,tier_HIGH,74,75,373,383,0.2559,0.2838,-0.3234,1.5483,-0.2796,1.1857,-0.1128,1.2811,1.5607,0.0953,1.3939,0.0953,2.79
xs_quality_top_quintile_long,sentiment_score,sentiment_negative,regime,regime_bull,107,109,439,607,0.2735,0.2336,0.2875,0.391,0.2083,0.0871,0.0183,0.1799,-0.0284,0.0928,0.1616,0.0928,-3.98
pead_long,sentiment_score,sentiment_positive,regime,regime_bear,106,184,173,528,0.2595,0.2453,1.8846,3.1955,1.1326,1.3037,0.7202,1.3939,0.2613,0.0902,0.6737,0.0902,-1.42
cmf_flip,smart_money_score,sm_score_gt_0,sentiment_score,sentiment_positive,273,536,317,636,0.294,0.3004,1.1931,2.8362,0.8259,1.2779,1.6655,1.7536,0.9277,0.4757,0.088,0.088,0.63
xs_quality_top_quintile_long,smart_money_score,sm_score_gt_0,confidence_tier,tier_HIGH,440,467,580,607,0.2735,0.2795,0.2875,0.6266,0.2083,0.3384,0.2717,0.423,0.2147,0.0846,0.1513,0.0846,0.61
xs_low_beta_long,sentiment_score,sentiment_negative,regime,regime_bull,159,165,591,1079,0.2984,0.3962,0.3781,3.4654,0.3351,2.7438,0.9334,2.8231,2.4881,0.0793,1.8898,0.0793,9.78
monthly_bias_momentum_long,sentiment_score,sentiment_positive,confidence_tier,tier_HIGH,487,510,1263,1335,0.2884,0.2649,1.0988,1.5467,0.7997,0.9178,0.946,1.0228,0.223,0.105,0.0768,0.0768,-2.35
pead_long,smart_money_score,sm_score_gt_0,regime,regime_bull,219,430,289,528,0.2595,0.2922,1.8846,3.6246,1.1326,0.8916,2.3029,2.3766,1.244,1.485,0.0737,0.0737,3.28
bollinger_tight,smart_money_score,sm_score_gt_0,confidence_tier,tier_LOW,44,305,46,380,0.3105,0.4091,-0.0662,-0.0767,-0.0606,-0.1448,-0.5811,-0.0815,-0.021,0.0633,0.4995,0.0633,9.86
pead_long,macro_score,macro_negative,regime,regime_bear,87,149,173,528,0.2595,0.2529,1.8846,1.6925,1.1326,0.6417,0.7202,0.7817,-0.3508,0.1401,0.0615,0.0615,-0.66
pead_long,macro_score,macro_positive,sentiment_score,sentiment_neutral,174,321,240,528,0.2595,0.2471,1.8846,2.4496,1.1326,1.0232,1.3181,1.3766,0.2441,0.3535,0.0585,0.0585,-1.23
cmf_flip,smart_money_score,sm_score_gt_0,regime,regime_bear,247,536,281,636,0.294,0.3158,1.1931,3.3307,0.8259,1.2779,2.1182,2.1732,1.3473,0.8953,0.055,0.055,2.18
pead_long,confidence_tier,tier_HIGH,regime,regime_bull,184,310,289,528,0.2595,0.2826,1.8846,3.6412,1.1326,1.0787,2.3029,2.3537,1.2211,1.2749,0.0508,0.0508,2.31
xs_quality_top_quintile_long,smart_money_score,sm_score_gt_0,macro_score,macro_neutral,63,467,76,607,0.2735,0.3333,0.2875,9.0445,0.2083,0.3384,3.0684,3.1107,2.9024,2.7723,0.0424,0.0424,5.99
pairs_mean_reversion_long,smart_money_score,sm_score_gt_0,confidence_tier,tier_LOW,108,970,126,1145,0.2978,0.3148,0.6724,0.7628,0.5593,0.3111,0.6967,0.7349,0.1756,0.4237,0.0381,0.0381,1.7
xs_quality_top_quintile_long,smart_money_score,sm_score_gt_0,sentiment_score,sentiment_negative,73,467,109,607,0.2735,0.1781,0.2875,0.9621,0.2083,0.3384,0.0871,0.3707,0.1624,0.0323,0.2836,0.0323,-9.54
adx_initiation,smart_money_score,sm_score_gt_0,confidence_tier,tier_HIGH,176,834,198,955,0.2534,0.2159,-0.5607,-0.1618,-0.3972,-0.0973,-0.2921,-0.069,0.3282,0.0283,0.2231,0.0283,-3.75
bollinger_tight,sentiment_score,sentiment_positive,regime,regime_bull,74,186,218,380,0.3105,0.3243,-0.0662,2.0584,-0.0606,-0.898,1.6182,1.6423,1.7029,2.5403,0.0241,0.0241,1.38
xs_quality_top_quintile_long,confidence_tier,tier_HIGH,regime,regime_bear,139,580,144,607,0.2735,0.2806,0.2875,0.5893,0.2083,0.2717,0.4927,0.5128,0.3045,0.2411,0.0201,0.0201,0.71
xs_quality_top_quintile_long,sentiment_score,sentiment_neutral,confidence_tier,tier_HIGH,248,256,580,607,0.2735,0.25,0.2875,0.3568,0.2083,0.2207,0.2717,0.2905,0.0822,0.0698,0.0188,0.0188,-2.35
monthly_bias_momentum_long,smart_money_score,sm_score_gt_0,sentiment_score,sentiment_neutral,456,1024,599,1335,0.2884,0.2917,1.0988,1.0148,0.7997,0.487,0.7002,0.7178,-0.0819,0.2308,0.0177,0.0177,0.33
cmf_flip,sentiment_score,sentiment_neutral,confidence_tier,tier_HIGH,66,245,184,636,0.294,0.2879,1.1931,-0.3604,0.8259,-0.3451,-0.7565,-0.3322,-1.1581,0.0129,0.4243,0.0129,-0.61
monthly_bias_momentum_long,macro_score,macro_neutral,confidence_tier,tier_HIGH,89,96,1263,1335,0.2884,0.3034,1.0988,1.3307,0.7997,0.7513,0.946,0.9548,0.1551,0.2035,0.0088,0.0088,1.5
xs_low_beta_long,confidence_tier,tier_HIGH,regime,regime_bear,215,566,442,1079,0.2984,0.2791,0.3781,0.2984,0.3351,0.2598,0.2218,0.2595,-0.0756,-0.0003,0.0377,-0.0003,-1.94
xs_low_beta_long,smart_money_score,sm_score_gt_0,confidence_tier,tier_HIGH,472,919,566,1079,0.2984,0.3178,0.3781,0.598,0.3351,0.5331,0.2598,0.53,0.1949,-0.0031,0.2701,-0.0031,1.94
xs_quality_top_quintile_long,sentiment_score,sentiment_negative,confidence_tier,tier_HIGH,105,109,580,607,0.2735,0.2381,0.2875,0.5808,0.2083,0.0871,0.2717,0.2649,0.0567,0.1778,-0.0068,-0.0068,-3.54
pead_long,smart_money_score,sm_score_gt_0,confidence_tier,tier_LOW,49,430,57,528,0.2595,0.3469,1.8846,6.4946,1.1326,0.8916,2.4136,2.3917,1.2591,1.5001,-0.022,-0.022,8.75
xs_quality_top_quintile_long,sentiment_score,sentiment_positive,confidence_tier,tier_HIGH,227,242,580,607,0.2735,0.3172,0.2875,0.3125,0.2083,0.3291,0.2717,0.2912,0.0829,-0.0379,0.0195,-0.0379,4.37
monthly_bias_momentum_long,sentiment_score,sentiment_neutral,regime,regime_bull,462,599,1022,1335,0.2884,0.3009,1.0988,0.9064,0.7997,0.7002,0.5407,0.661,-0.1387,-0.0391,0.1203,-0.0391,1.25
adx_initiation,sentiment_score,sentiment_neutral,regime,regime_bear,120,370,371,955,0.2534,0.25,-0.5607,1.3151,-0.3972,-0.1268,0.5433,0.5011,0.8983,0.6279,-0.0422,-0.0422,-0.34
xs_low_beta_long,smart_money_score,sm_score_gt_0,macro_score,macro_negative,321,919,363,1079,0.2984,0.2492,0.3781,1.1225,0.3351,0.5331,0.9154,0.8718,0.5367,0.3387,-0.0437,-0.0437,-4.92
monthly_bias_momentum_long,sentiment_score,sentiment_negative,confidence_tier,tier_HIGH,214,226,1263,1335,0.2884,0.3131,1.0988,1.0865,0.7997,0.7773,0.946,0.8986,0.0989,0.1213,-0.0474,-0.0474,2.47
pead_long,macro_score,macro_positive,regime,regime_bull,202,321,289,528,0.2595,0.2921,1.8846,3.3964,1.1326,1.0232,2.3029,2.251,1.1185,1.2278,-0.0518,-0.0518,3.26
monthly_bias_momentum_long,sentiment_score,sentiment_neutral,confidence_tier,tier_HIGH,562,599,1263,1335,0.2884,0.3114,1.0988,1.2316,0.7997,0.7002,0.946,0.8935,0.0938,0.1933,-0.0525,-0.0525,2.3
bollinger_tight,smart_money_score,sm_score_gt_0,confidence_tier,tier_HIGH,205,305,264,380,0.3105,0.3024,-0.0662,-0.2343,-0.0606,-0.1448,-0.1632,-0.2037,-0.1431,-0.0589,-0.0405,-0.0589,-0.81
xs_low_beta_long,confidence_tier,tier_HIGH,regime,regime_bull,320,566,591,1079,0.2984,0.3594,0.3781,0.9192,0.3351,0.2598,0.9334,0.8628,0.5277,0.603,-0.0706,-0.0706,6.1
adx_initiation,confidence_tier,tier_LOW,regime,regime_bull,117,261,482,955,0.2534,0.3504,-0.5607,0.5408,-0.3972,0.6452,-0.9019,0.5654,0.9626,-0.0798,1.4673,-0.0798,9.7
adx_initiation,macro_score,macro_negative,regime,regime_bull,99,278,482,955,0.2534,0.2222,-0.5607,-0.8358,-0.3972,-0.4696,-0.9019,-0.5527,-0.1555,-0.0831,0.3492,-0.0831,-3.12
xs_quality_top_quintile_long,smart_money_score,sm_score_gt_0,sentiment_score,sentiment_neutral,201,467,256,607,0.2735,0.2587,0.2875,0.2982,0.2083,0.3384,0.2207,0.2507,0.0424,-0.0877,0.03,-0.0877,-1.48
xs_low_beta_long,macro_score,macro_positive,sentiment_score,sentiment_neutral,244,574,418,1079,0.2984,0.3279,0.3781,0.3005,0.3351,0.3983,-0.1207,0.3068,-0.0283,-0.0915,0.4275,-0.0915,2.94
cmf_flip,macro_score,macro_positive,confidence_tier,tier_MEDIUM,112,345,189,636,0.294,0.2768,1.1931,0.9005,0.8259,0.6708,0.5951,0.579,-0.2469,-0.0919,-0.0161,-0.0919,-1.72
xs_momentum_top_decile,sentiment_score,sentiment_neutral,regime,regime_bull,105,169,215,383,0.2559,0.2952,-0.3234,-0.7724,-0.2796,-1.9622,-0.6471,-0.7433,-0.4637,1.2189,-0.0962,-0.0962,3.94
xs_quality_top_quintile_long,smart_money_score,sm_score_le_0,sentiment_score,sentiment_neutral,55,140,256,607,0.2735,0.2182,0.2875,0.1563,0.2083,-0.3585,0.2207,0.1197,-0.0886,0.4782,-0.101,-0.101,-5.53
monthly_bias_momentum_long,macro_score,macro_positive,sentiment_score,sentiment_neutral,414,966,599,1335,0.2884,0.3164,1.0988,1.2516,0.7997,0.9849,0.7002,0.8816,0.0819,-0.1033,0.1815,-0.1033,2.8
pairs_mean_reversion_long,macro_score,macro_neutral,sentiment_score,sentiment_neutral,50,150,418,1145,0.2978,0.36,0.6724,1.5349,0.5593,1.6679,-0.5866,1.5576,0.9984,-0.1103,2.1442,-0.1103,6.22
bollinger_tight,macro_score,macro_positive,sentiment_score,sentiment_neutral,114,254,154,380,0.3105,0.2895,-0.0662,0.9435,-0.0606,-0.9207,0.8064,0.6954,0.7559,1.6161,-0.111,-0.111,-2.11
adx_initiation,sentiment_score,sentiment_neutral,regime,regime_bull,210,370,482,955,0.2534,0.2762,-0.5607,-0.2616,-0.3972,-0.1268,-0.9019,-0.2381,0.1591,-0.1112,0.6638,-0.1112,2.28
xs_quality_top_quintile_long,macro_score,macro_neutral,confidence_tier,tier_HIGH,73,76,580,607,0.2735,0.3151,0.2875,8.1278,0.2083,3.0684,0.2717,2.9427,2.7344,-0.1257,2.671,-0.1257,4.16
xs_quality_top_quintile_long,confidence_tier,tier_HIGH,regime,regime_bull,420,580,439,607,0.2735,0.2667,0.2875,0.2088,0.2083,0.2717,0.0183,0.1395,-0.0688,-0.1322,0.1212,-0.1322,-0.68
adx_initiation,macro_score,macro_positive,regime,regime_bear,134,539,371,955,0.2534,0.2239,-0.5607,1.0595,-0.3972,-0.8254,0.5433,0.4059,0.8031,1.2314,-0.1373,-0.1373,-2.95
xs_low_beta_long,sentiment_score,sentiment_positive,confidence_tier,tier_MEDIUM,90,496,195,1079,0.2984,0.2556,0.3781,0.756,0.3351,-0.2067,0.6596,0.517,0.1819,0.7237,-0.1425,-0.1425,-4.29
adx_initiation,smart_money_score,sm_score_gt_0,macro_score,macro_negative,243,834,278,955,0.2534,0.2881,-0.5607,-0.2989,-0.3972,-0.0973,-0.4696,-0.2468,0.1504,-0.1494,0.2229,-0.1494,3.47
xs_low_beta_long,smart_money_score,sm_score_gt_0,confidence_tier,tier_LOW,63,919,70,1079,0.2984,0.2063,0.3781,0.5393,0.3351,0.5331,0.2218,0.3819,0.0468,-0.1512,0.1601,-0.1512,-9.21
cmf_flip,macro_score,macro_neutral,regime,regime_bull,43,68,293,636,0.294,0.2558,1.1931,0.2879,0.8259,0.3778,-0.8913,0.221,-0.6049,-0.1568,1.1123,-0.1568,-3.82
xs_low_beta_long,sentiment_score,sentiment_neutral,regime,regime_bull,275,418,591,1079,0.2984,0.3382,0.3781,0.8319,0.3351,-0.1207,0.9334,0.7703,0.4352,0.891,-0.1631,-0.1631,3.98
bollinger_tight,macro_score,macro_positive,regime,regime_bull,154,254,218,380,0.3105,0.3247,-0.0662,1.8537,-0.0606,-0.9207,1.6182,1.4492,1.5098,2.3699,-0.169,-0.169,1.41
pairs_mean_reversion_long,sentiment_score,sentiment_neutral,regime,regime_bull,237,418,638,1145,0.2978,0.2954,0.6724,-0.5449,0.5593,-0.5866,-0.3665,-0.5373,-1.0965,0.0493,-0.1708,-0.1708,-0.25
monthly_bias_momentum_long,smart_money_score,sm_score_gt_0,macro_score,macro_positive,730,1024,966,1335,0.2884,0.2959,1.0988,1.1341,0.7997,0.487,0.9849,0.8126,0.0129,0.3256,-0.1723,-0.1723,0.75
monthly_bias_momentum_long,smart_money_score,sm_score_le_0,macro_score,macro_positive,236,311,966,1335,0.2884,0.3008,1.0988,2.1306,0.7997,1.6877,0.9849,1.511,0.7113,-0.1767,0.5261,-0.1767,1.25
xs_low_beta_long,smart_money_score,sm_score_gt_0,confidence_tier,tier_MEDIUM,167,919,195,1079,0.2984,0.2814,0.3781,0.6188,0.3351,0.5331,0.6596,0.4813,0.1462,-0.0518,-0.1782,-0.1782,-1.7
xs_quality_top_quintile_long,smart_money_score,sm_score_gt_0,regime,regime_bull,327,467,439,607,0.2735,0.2661,0.2875,0.2522,0.2083,0.3384,0.0183,0.1594,-0.0489,-0.179,0.141,-0.179,-0.74
monthly_bias_momentum_long,macro_score,macro_positive,sentiment_score,sentiment_positive,384,966,510,1335,0.2884,0.2578,1.0988,1.159,0.7997,0.9849,0.9178,0.8056,0.0058,-0.1794,-0.1122,-0.1794,-3.06
bollinger_tight,smart_money_score,sm_score_le_0,sentiment_score,sentiment_positive,32,75,186,380,0.3105,0.2812,-0.0662,0.1094,-0.0606,0.2602,-0.898,0.08,0.1406,-0.1802,0.9781,-0.1802,-2.93
xs_low_beta_long,macro_score,macro_negative,regime,regime_bear,238,363,442,1079,0.2984,0.2395,0.3781,0.9125,0.3351,0.9154,0.2218,0.7348,0.3997,-0.1806,0.513,-0.1806,-5.89
pead_long,smart_money_score,sm_score_gt_0,sentiment_score,sentiment_neutral,201,430,240,528,0.2595,0.2388,1.8846,1.9097,1.1326,0.8916,1.3181,1.1272,-0.0054,0.2356,-0.1909,-0.1909,-2.07
pead_long,smart_money_score,sm_score_gt_0,macro_score,macro_positive,257,430,321,528,0.2595,0.2296,1.8846,1.396,1.1326,0.8916,1.0232,0.8278,-0.3048,-0.0638,-0.1954,-0.1954,-2.99
pead_long,smart_money_score,sm_score_gt_0,macro_score,macro_negative,125,430,149,528,0.2595,0.248,1.8846,1.3156,1.1326,0.8916,0.6417,0.6955,-0.4371,-0.1961,0.0538,-0.1961,-1.15
pairs_mean_reversion_long,macro_score,macro_positive,regime,regime_bull,412,613,638,1145,0.2978,0.3058,0.6724,-0.061,0.5593,0.1401,-0.3665,-0.0569,-0.6162,-0.197,0.3096,-0.197,0.8
monthly_bias_momentum_long,sentiment_score,sentiment_positive,regime,regime_neutral,56,510,82,1335,0.2884,0.4107,1.0988,7.4335,0.7997,0.9178,3.8975,3.6997,2.9,2.782,-0.1977,-0.1977,12.23
xs_momentum_top_decile,smart_money_score,sm_score_gt_0,sentiment_score,sentiment_positive,126,308,154,383,0.2559,0.2857,-0.3234,1.664,-0.2796,-0.6541,1.3874,1.1712,1.4508,1.8253,-0.2162,-0.2162,2.98
xs_momentum_top_decile,macro_score,macro_positive,confidence_tier,tier_HIGH,191,195,373,383,0.2559,0.267,-0.3234,-0.348,-0.2796,-0.4445,-0.1128,-0.3308,-0.0512,0.1136,-0.218,-0.218,1.11
pairs_mean_reversion_long,macro_score,macro_positive,confidence_tier,tier_LOW,54,613,126,1145,0.2978,0.3148,0.6724,0.4676,0.5593,0.1401,0.6967,0.4698,-0.0895,0.3297,-0.227,-0.227,1.7
pairs_mean_reversion_long,sentiment_score,sentiment_negative,regime,regime_bull,171,176,638,1145,0.2978,0.269,0.6724,-0.5097,0.5593,-0.1789,-0.3665,-0.4094,-0.9686,-0.2304,-0.0429,-0.2304,-2.88
monthly_bias_momentum_long,confidence_tier,tier_HIGH,regime,regime_bull,978,1263,1022,1335,0.2884,0.2883,1.0988,0.954,0.7997,0.946,0.5407,0.7096,-0.0902,-0.2364,0.1689,-0.2364,-0.0
bollinger_tight,confidence_tier,tier_HIGH,regime,regime_bear,67,264,108,380,0.3105,0.3433,-0.0662,-0.3987,-0.0606,-0.1632,-2.6379,-0.4116,-0.351,-0.2483,2.2263,-0.2483,3.28
xs_low_beta_long,confidence_tier,tier_MEDIUM,regime,regime_bull,102,195,591,1079,0.2984,0.3431,0.3781,0.6722,0.3351,0.6596,0.9334,0.6836,0.3486,0.0241,-0.2498,-0.2498,4.47
pairs_mean_reversion_long,smart_money_score,sm_score_gt_0,sentiment_score,sentiment_positive,464,970,551,1145,0.2978,0.3254,0.6724,1.5744,0.5593,0.3111,1.4804,1.2268,0.6675,0.9156,-0.2536,-0.2536,2.76
cmf_flip,macro_score,macro_negative,regime,regime_bear,157,223,281,636,0.294,0.3439,1.1931,2.3943,0.8259,1.2986,2.1182,1.8629,1.037,0.5643,-0.2553,-0.2553,4.99
xs_low_beta_long,smart_money_score,sm_score_gt_0,regime,regime_bear,383,919,442,1079,0.2984,0.2454,0.3781,0.3454,0.3351,0.5331,0.2218,0.269,-0.066,-0.2641,0.0472,-0.2641,-5.3
monthly_bias_momentum_long,smart_money_score,sm_score_le_0,regime,regime_bull,256,311,1022,1335,0.2884,0.3008,1.0988,1.9769,0.7997,1.6877,0.5407,1.4116,0.6119,-0.2761,0.8709,-0.2761,1.24
monthly_bias_momentum_long,macro_score,macro_positive,regime,regime_bull,807,966,1022,1335,0.2884,0.2838,1.0988,0.973,0.7997,0.9849,0.5407,0.7051,-0.0946,-0.2798,0.1644,-0.2798,-0.46
bollinger_tight,smart_money_score,sm_score_le_0,confidence_tier,tier_HIGH,59,75,264,380,0.3105,0.2712,-0.0662,-0.0274,-0.0606,0.2602,-0.1632,-0.0234,0.0371,-0.2837,0.1398,-0.2837,-3.93
xs_low_beta_long,smart_money_score,sm_score_gt_0,sentiment_score,sentiment_positive,424,919,496,1079,0.2984,0.2736,0.3781,0.2765,0.3351,0.5331,-0.2067,0.2445,-0.0906,-0.2886,0.4512,-0.2886,-2.48
monthly_bias_momentum_long,macro_score,macro_negative,sentiment_score,sentiment_neutral,143,273,599,1335,0.2884,0.2657,1.0988,0.4635,0.7997,0.1099,0.7002,0.3947,-0.405,0.2848,-0.3054,-0.3054,-2.27
xs_momentum_top_decile,confidence_tier,tier_HIGH,regime,regime_bull,209,373,215,383,0.2559,0.2823,-0.3234,-0.4364,-0.2796,-0.1128,-0.6471,-0.4196,-0.14,-0.3068,0.2274,-0.3068,2.64
monthly_bias_momentum_long,macro_score,macro_negative,sentiment_score,sentiment_positive,87,273,510,1335,0.2884,0.2529,1.0988,0.9787,0.7997,0.1099,0.9178,0.6078,-0.1919,0.4979,-0.31,-0.31,-3.55
monthly_bias_momentum_long,smart_money_score,sm_score_gt_0,regime,regime_bull,766,1024,1022,1335,0.2884,0.2768,1.0988,0.2922,0.7997,0.487,0.5407,0.226,-0.5737,-0.261,-0.3147,-0.3147,-1.16
pairs_mean_reversion_long,smart_money_score,sm_score_gt_0,macro_score,macro_positive,506,970,613,1145,0.2978,0.2727,0.6724,-0.0119,0.5593,0.3111,0.1401,-0.0095,-0.5687,-0.3206,-0.1496,-0.3206,-2.51
monthly_bias_momentum_long,smart_money_score,sm_score_gt_0,confidence_tier,tier_HIGH,961,1024,1263,1335,0.2884,0.2893,1.0988,0.8434,0.7997,0.487,0.946,0.6243,-0.1754,0.1373,-0.3217,-0.3217,0.09
xs_low_beta_long,macro_score,macro_positive,regime,regime_bull,398,574,591,1079,0.2984,0.3668,0.3781,0.5719,0.3351,0.3983,0.9334,0.6104,0.2753,0.212,-0.323,-0.323,6.84
xs_quality_top_quintile_long,sentiment_score,sentiment_neutral,regime,regime_bull,191,256,439,607,0.2735,0.2618,0.2875,-0.1248,0.2083,0.2207,0.0183,-0.1033,-0.3116,-0.324,-0.1217,-0.324,-1.17
bollinger_tight,smart_money_score,sm_score_le_0,regime,regime_bull,55,75,218,380,0.3105,0.2727,-0.0662,1.6716,-0.0606,0.2602,1.6182,1.2918,1.3524,1.0316,-0.3264,-0.3264,-3.78
xs_low_beta_long,macro_score,macro_negative,confidence_tier,tier_MEDIUM,73,363,195,1079,0.2984,0.2192,0.3781,0.9112,0.3351,0.9154,0.6596,0.584,0.2489,-0.3315,-0.0756,-0.3315,-7.92
cmf_flip,smart_money_score,sm_score_gt_0,macro_score,macro_positive,277,536,345,636,0.294,0.2708,1.1931,1.6249,0.8259,1.2779,0.6708,0.9436,0.1178,-0.3342,0.2728,-0.3342,-2.33
pead_long,smart_money_score,sm_score_gt_0,sentiment_score,sentiment_positive,153,430,184,528,0.2595,0.2353,1.8846,1.9364,1.1326,0.8916,1.3037,0.9605,-0.172,0.069,-0.3432,-0.3432,-2.42
cmf_flip,macro_score,macro_positive,sentiment_score,sentiment_positive,151,345,317,636,0.294,0.2583,1.1931,2.4336,0.8259,0.6708,1.6655,1.3157,0.4898,0.6449,-0.3498,-0.3498,-3.57
pead_long,sentiment_score,sentiment_negative,confidence_tier,tier_HIGH,65,104,310,528,0.2595,0.2615,1.8846,0.845,1.1326,0.0817,1.0787,0.7245,-0.408,0.6429,-0.3542,-0.3542,0.21
xs_momentum_top_decile,smart_money_score,sm_score_gt_0,confidence_tier,tier_HIGH,299,308,373,383,0.2559,0.2575,-0.3234,-0.5477,-0.2796,-0.6541,-0.1128,-0.4724,-0.1928,0.1816,-0.3596,-0.3596,0.17
pairs_mean_reversion_long,macro_score,macro_positive,regime,regime_bear,137,613,422,1145,0.2978,0.2482,0.6724,3.1115,0.5593,0.1401,2.1187,1.754,1.1947,1.6139,-0.3647,-0.3647,-4.96
xs_quality_top_quintile_long,sentiment_score,sentiment_positive,regime,regime_bull,141,242,439,607,0.2735,0.2908,0.2875,-0.0435,0.2083,0.3291,0.0183,-0.0391,-0.2474,-0.3682,-0.0574,-0.3682,1.73
adx_initiation,sentiment_score,sentiment_positive,regime,regime_bull,159,463,482,955,0.2534,0.2516,-0.5607,-0.5137,-0.3972,-0.0311,-0.9019,-0.4064,-0.0092,-0.3753,0.4955,-0.3753,-0.18
cmf_flip,macro_score,macro_positive,regime,regime_neutral,59,345,62,636,0.294,0.2881,1.1931,1.9421,0.8259,0.6708,1.2925,0.9157,0.0898,0.2448,-0.3769,-0.3769,-0.59
monthly_bias_momentum_long,macro_score,macro_neutral,regime,regime_bear,33,96,231,1335,0.2884,0.2727,1.0988,0.5309,0.7997,0.7513,0.3844,0.3712,-0.4285,-0.3801,-0.0133,-0.3801,-1.57
pairs_mean_reversion_long,sentiment_score,sentiment_positive,confidence_tier,tier_LOW,47,551,126,1145,0.2978,0.2979,0.6724,1.2406,0.5593,1.4804,0.6967,1.0885,0.5292,-0.3919,0.3917,-0.3919,0.01
xs_low_beta_long,macro_score,macro_neutral,sentiment_score,sentiment_neutral,45,142,418,1079,0.2984,0.2222,0.3781,-1.0218,0.3351,-1.2549,-0.1207,-0.5275,-0.8626,0.7274,-0.4068,-0.4068,-7.62
pead_long,smart_money_score,sm_score_le_0,regime,regime_bull,70,98,289,528,0.2595,0.3,1.8846,2.4985,1.1326,2.4593,2.3029,2.0471,0.9145,-0.4123,-0.2558,-0.4123,4.05
adx_initiation,smart_money_score,sm_score_gt_0,macro_score,macro_positive,469,834,539,955,0.2534,0.2388,-0.5607,-0.8446,-0.3972,-0.0973,-0.8254,-0.514,-0.1168,-0.4166,0.3115,-0.4166,-1.46
adx_initiation,smart_money_score,sm_score_gt_0,regime,regime_bull,408,834,482,955,0.2534,0.2574,-0.5607,-0.6165,-0.3972,-0.0973,-0.9019,-0.5172,-0.12,-0.4199,0.3847,-0.4199,0.39
monthly_bias_momentum_long,smart_money_score,sm_score_gt_0,regime,regime_neutral,69,1024,82,1335,0.2884,0.3768,1.0988,7.016,0.7997,0.487,3.8975,3.472,2.6723,2.985,-0.4254,-0.4254,8.84
xs_momentum_top_decile,macro_score,macro_positive,regime,regime_bull,138,195,215,383,0.2559,0.2826,-0.3234,-0.8303,-0.2796,-0.4445,-0.6471,-0.8965,-0.6168,-0.452,-0.2494,-0.452,2.67
xs_momentum_top_decile,smart_money_score,sm_score_gt_0,macro_score,macro_negative,100,308,118,383,0.2559,0.21,-0.3234,-1.3522,-0.2796,-0.6541,-1.2271,-1.1117,-0.8321,-0.4576,0.1154,-0.4576,-4.59
xs_momentum_top_decile,macro_score,macro_neutral,regime,regime_bear,37,70,153,383,0.2559,0.3243,-0.3234,1.2475,-0.2796,1.3807,0.267,0.9199,1.1995,-0.4608,0.6529,-0.4608,6.84
cmf_flip,smart_money_score,sm_score_le_0,regime,regime_bear,34,100,281,636,0.294,0.3529,1.1931,2.2484,0.8259,-2.5136,2.1182,1.6544,0.8286,4.168,-0.4638,-0.4638,5.89
xs_quality_top_quintile_long,smart_money_score,sm_score_gt_0,macro_score,macro_negative,114,467,149,607,0.2735,0.2807,0.2875,-0.0229,0.2083,0.3384,0.447,-0.0187,-0.227,-0.3571,-0.4657,-0.4657,0.72
pairs_mean_reversion_long,sentiment_score,sentiment_neutral,confidence_tier,tier_HIGH,200,418,626,1145,0.2978,0.29,0.6724,0.2266,0.5593,-0.5866,0.6758,0.2048,-0.3544,0.7914,-0.471,-0.471,-0.78
xs_low_beta_long,smart_money_score,sm_score_le_0,regime,regime_bear,59,160,442,1079,0.2984,0.2712,0.3781,-0.1996,0.3351,-1.3795,0.2218,-0.2513,-0.5864,1.1282,-0.4731,-0.4731,-2.72
xs_quality_top_quintile_long,macro_score,macro_positive,sentiment_score,sentiment_positive,139,382,242,607,0.2735,0.295,0.2875,-0.1478,0.2083,-1.4735,0.3291,-0.1459,-0.3541,1.3277,-0.475,-0.475,2.15
pairs_mean_reversion_long,smart_money_score,sm_score_gt_0,confidence_tier,tier_HIGH,508,970,626,1145,0.2978,0.2972,0.6724,0.2196,0.5593,0.3111,0.6758,0.2007,-0.3586,-0.1104,-0.4751,-0.4751,-0.06
bollinger_tight,smart_money_score,sm_score_le_0,sentiment_score,sentiment_neutral,33,75,154,380,0.3105,0.303,-0.0662,0.297,-0.0606,0.2602,0.8064,0.3233,0.3839,0.0631,-0.4831,-0.4831,-0.75
