strategy,exit_method,regime_at_entry,n,win_rate,avg_pnl_pct,total_pnl_pct
avwap_50_reclaim,time_stop_20d,bear,126,0.4444444444444444,-3.2589126984126984,-410.623
avwap_50_reclaim,time_stop_20d,bull,134,0.582089552238806,2.299794029850746,308.1724
avwap_50_reclaim,time_stop_20d,neutral,17,0.5294117647058824,-3.4606294117647054,-58.83069999999999
avwap_50_reclaim,trailing_10pct,bear,126,0.3333333333333333,-2.7491801587301588,-346.3967
avwap_50_reclaim,trailing_10pct,bull,134,0.3656716417910448,-0.34811343283582086,-46.6472
avwap_50_reclaim,trailing_10pct,neutral,17,0.5294117647058824,1.1009058823529414,18.715400000000002
avwap_50_reclaim,trailing_15pct,bear,126,0.3253968253968254,-4.319360317460318,-544.2394
avwap_50_reclaim,trailing_15pct,bull,134,0.40298507462686567,-0.05853955223880596,-7.844299999999999
avwap_50_reclaim,trailing_15pct,neutral,17,0.47058823529411764,-0.29029411764705876,-4.934999999999999
avwap_50_reclaim,trailing_5pct,bear,126,0.1984126984126984,-2.3258960317460318,-293.0629
avwap_50_reclaim,trailing_5pct,bull,134,0.34328358208955223,-0.27157388059701487,-36.390899999999995
avwap_50_reclaim,trailing_5pct,neutral,17,0.35294117647058826,-0.8431058823529411,-14.332799999999999
awesome_oscillator,atr_trail_1x,bear,14,0.21428571428571427,-2.2018142857142857,-30.8254
awesome_oscillator,atr_trail_1x,bull,37,0.24324324324324326,-1.2683243243243245,-46.928000000000004
awesome_oscillator,atr_trail_1x,neutral,5,0.4,-1.71934,-8.5967
awesome_oscillator,atr_trail_2x,bear,14,0.2857142857142857,-2.9465142857142856,-41.2512
awesome_oscillator,atr_trail_2x,bull,37,0.35135135135135137,-0.507818918918919,-18.7893
awesome_oscillator,atr_trail_2x,neutral,5,0.6,-0.07246000000000023,-0.3623000000000012
awesome_oscillator,atr_trail_mae_conditional,bear,14,0.21428571428571427,-2.2018142857142857,-30.8254
awesome_oscillator,atr_trail_mae_conditional,bull,37,0.24324324324324326,-1.2683243243243245,-46.928000000000004
awesome_oscillator,atr_trail_mae_conditional,neutral,5,0.4,-1.71934,-8.5967
awesome_oscillator,atr_trail_vix_conditional,bear,14,0.21428571428571427,-0.9804071428571428,-13.7257
awesome_oscillator,atr_trail_vix_conditional,bull,37,0.1891891891891892,-1.85802972972973,-68.7471
awesome_oscillator,atr_trail_vix_conditional,neutral,5,0.4,0.19011999999999976,0.9505999999999988
awesome_oscillator,break_even_at_1r,bear,14,0.07142857142857142,-1.5029142857142859,-21.0408
awesome_oscillator,break_even_at_1r,bull,37,0.13513513513513514,-1.7713135135135136,-65.5386
awesome_oscillator,break_even_at_1r,neutral,5,0.2,0.17271999999999982,0.863599999999999
