strategy,exit_method,days_from_quarter_end_at_entry,n,win_rate,avg_pnl_pct,total_pnl_pct
force_index_breakout,atr_trail_2x,78,3,0.3333333333333333,-5.922666666666667,-17.768
force_index_breakout,atr_trail_2x,80,1,0.0,-11.1574,-11.1574
force_index_breakout,atr_trail_2x,81,8,0.125,-7.009074999999999,-56.072599999999994
force_index_breakout,atr_trail_2x,82,1,0.0,-6.1705,-6.1705
force_index_breakout,atr_trail_2x,84,3,0.3333333333333333,-2.592966666666667,-7.7789
force_index_breakout,atr_trail_2x,85,2,1.0,23.90115,47.8023
force_index_breakout,atr_trail_2x,86,2,0.0,-3.3095999999999997,-6.619199999999999
force_index_breakout,atr_trail_2x,87,15,0.4,-1.7205800000000002,-25.8087
force_index_breakout,atr_trail_2x,88,3,0.3333333333333333,-5.920133333333333,-17.7604
force_index_breakout,atr_trail_2x,90,2,1.0,5.97655,11.9531
force_index_breakout,atr_trail_mae_conditional,0,1,0.0,-4.0398,-4.0398
force_index_breakout,atr_trail_mae_conditional,2,4,0.5,-1.2108749999999997,-4.843499999999999
force_index_breakout,atr_trail_mae_conditional,3,1,1.0,1.1357,1.1357
force_index_breakout,atr_trail_mae_conditional,4,1,0.0,-2.1276,-2.1276
force_index_breakout,atr_trail_mae_conditional,6,1,0.0,-5.5126,-5.5126
force_index_breakout,atr_trail_mae_conditional,7,3,0.3333333333333333,0.931166666666666,2.793499999999998
force_index_breakout,atr_trail_mae_conditional,9,1,0.0,-1.7205,-1.7205
force_index_breakout,atr_trail_mae_conditional,10,1,0.0,-7.6571,-7.6571
force_index_breakout,atr_trail_mae_conditional,14,1,0.0,-1.0009,-1.0009
force_index_breakout,atr_trail_mae_conditional,15,1,0.0,-0.6394,-0.6394
force_index_breakout,atr_trail_mae_conditional,16,1,1.0,3.3633,3.3633
force_index_breakout,atr_trail_mae_conditional,17,1,0.0,-4.3684,-4.3684
force_index_breakout,atr_trail_mae_conditional,18,1,0.0,-4.1401,-4.1401
force_index_breakout,atr_trail_mae_conditional,20,2,0.5,0.1883,0.3766
force_index_breakout,atr_trail_mae_conditional,21,6,0.0,-2.0492500000000002,-12.2955
force_index_breakout,atr_trail_mae_conditional,22,5,0.2,-0.5393999999999999,-2.6969999999999996
force_index_breakout,atr_trail_mae_conditional,23,1,0.0,-1.5307,-1.5307
force_index_breakout,atr_trail_mae_conditional,24,2,0.0,-4.6319,-9.2638
force_index_breakout,atr_trail_mae_conditional,25,1,0.0,-3.0614,-3.0614
force_index_breakout,atr_trail_mae_conditional,26,1,0.0,-1.0465,-1.0465
force_index_breakout,atr_trail_mae_conditional,27,1,0.0,-0.7309,-0.7309
force_index_breakout,atr_trail_mae_conditional,29,2,0.0,-5.590400000000001,-11.180800000000001
force_index_breakout,atr_trail_mae_conditional,31,1,0.0,-3.2327,-3.2327
force_index_breakout,atr_trail_mae_conditional,33,1,0.0,-6.0327,-6.0327
force_index_breakout,atr_trail_mae_conditional,36,1,0.0,-1.0158,-1.0158
force_index_breakout,atr_trail_mae_conditional,38,2,0.0,-0.76115,-1.5223
force_index_breakout,atr_trail_mae_conditional,39,1,1.0,0.0233,0.0233
force_index_breakout,atr_trail_mae_conditional,40,2,0.5,-1.64155,-3.2831
force_index_breakout,atr_trail_mae_conditional,43,1,0.0,-10.0142,-10.0142
force_index_breakout,atr_trail_mae_conditional,44,3,0.3333333333333333,1.4246333333333334,4.2739
force_index_breakout,atr_trail_mae_conditional,45,3,0.6666666666666666,3.3799666666666663,10.139899999999999
force_index_breakout,atr_trail_mae_conditional,46,1,1.0,2.8736,2.8736
force_index_breakout,atr_trail_mae_conditional,47,1,0.0,-2.3918,-2.3918
force_index_breakout,atr_trail_mae_conditional,48,2,0.0,-5.3065999999999995,-10.613199999999999
force_index_breakout,atr_trail_mae_conditional,50,1,0.0,-3.3632,-3.3632
force_index_breakout,atr_trail_mae_conditional,51,1,1.0,4.7997,4.7997
force_index_breakout,atr_trail_mae_conditional,52,1,1.0,2.4954,2.4954
force_index_breakout,atr_trail_mae_conditional,53,1,0.0,-6.9138,-6.9138
force_index_breakout,atr_trail_mae_conditional,54,3,0.0,-3.2961000000000005,-9.888300000000001
force_index_breakout,atr_trail_mae_conditional,56,2,0.5,-2.1746,-4.3492
force_index_breakout,atr_trail_mae_conditional,57,1,0.0,-4.1577,-4.1577
force_index_breakout,atr_trail_mae_conditional,58,3,0.0,-4.412433333333333,-13.2373
force_index_breakout,atr_trail_mae_conditional,59,3,0.3333333333333333,-0.5461666666666668,-1.6385000000000005
force_index_breakout,atr_trail_mae_conditional,60,1,0.0,-3.9547,-3.9547
force_index_breakout,atr_trail_mae_conditional,61,2,0.5,-0.07489999999999997,-0.14979999999999993
force_index_breakout,atr_trail_mae_conditional,62,1,0.0,-7.384,-7.384
force_index_breakout,atr_trail_mae_conditional,64,1,0.0,-1.6135,-1.6135
force_index_breakout,atr_trail_mae_conditional,65,2,0.5,5.3968,10.7936
force_index_breakout,atr_trail_mae_conditional,66,2,0.5,4.1294,8.2588
force_index_breakout,atr_trail_mae_conditional,67,2,0.5,2.2308499999999998,4.4616999999999996
force_index_breakout,atr_trail_mae_conditional,68,3,0.3333333333333333,-3.1321999999999997,-9.3966
force_index_breakout,atr_trail_mae_conditional,69,1,0.0,-1.4273,-1.4273
force_index_breakout,atr_trail_mae_conditional,70,2,0.0,-4.84725,-9.6945
force_index_breakout,atr_trail_mae_conditional,71,1,0.0,-2.5566,-2.5566
force_index_breakout,atr_trail_mae_conditional,74,2,0.5,0.61215,1.2243
force_index_breakout,atr_trail_mae_conditional,77,1,0.0,-0.8487,-0.8487
force_index_breakout,atr_trail_mae_conditional,78,3,0.0,-2.9774666666666665,-8.9324
force_index_breakout,atr_trail_mae_conditional,80,1,0.0,-5.5787,-5.5787
force_index_breakout,atr_trail_mae_conditional,81,8,0.25,-3.4998125,-27.9985
force_index_breakout,atr_trail_mae_conditional,82,1,0.0,-3.0853,-3.0853
force_index_breakout,atr_trail_mae_conditional,84,3,0.3333333333333333,-0.19916666666666671,-0.5975000000000001
force_index_breakout,atr_trail_mae_conditional,85,2,0.0,-3.8945000000000003,-7.789000000000001
force_index_breakout,atr_trail_mae_conditional,86,2,0.0,-1.7452,-3.4904
force_index_breakout,atr_trail_mae_conditional,87,15,0.4,-0.6658533333333335,-9.987800000000004
force_index_breakout,atr_trail_mae_conditional,88,3,0.0,-4.1719333333333335,-12.5158
force_index_breakout,atr_trail_mae_conditional,90,2,1.0,6.95625,13.9125
force_index_breakout,atr_trail_vix_conditional,0,1,0.0,-4.0398,-4.0398
force_index_breakout,atr_trail_vix_conditional,2,4,0.5,-2.222625,-8.8905
force_index_breakout,atr_trail_vix_conditional,3,1,1.0,1.1357,1.1357
force_index_breakout,atr_trail_vix_conditional,4,1,0.0,-5.5163,-5.5163
force_index_breakout,atr_trail_vix_conditional,6,1,0.0,-8.2689,-8.2689
force_index_breakout,atr_trail_vix_conditional,7,3,0.3333333333333333,-0.3590666666666671,-1.0772000000000013
force_index_breakout,atr_trail_vix_conditional,9,1,0.0,-1.7205,-1.7205
