date,event,z_score,today_dispersion,level,dd_from_peak,rolling_peak_equity,current_equity,ticker,reason,exit_price,action,new_stop
2026-02-11,halt_triggered,,,6.0,-0.3609,100000.0,63913.98,,,,,
2026-03-02,,,,1.0,,,,AES,overnight_gap_down_17.0pct,14.345,,
2026-03-06,halt_resumed,,,6.0,-0.3205,100000.0,67945.76999999999,,,,,
2026-03-09,halt_triggered,,,6.0,-0.3206,100000.0,67937.76999999999,,,,,
2026-04-16,halt_resumed,,,6.0,-0.2662,100000.0,73383.98,,,,,
2026-04-17,halt_triggered,,,6.0,-0.2662,100000.0,73383.98,,,,,
2022-05-05,dispersion_cb_triggered_dec128,5.1916,0.044861,,,,,,,,,
2022-05-10,dispersion_cb_triggered_dec128,3.9707,0.056228,,,,,,,,,
2022-07-05,dispersion_cb_triggered_dec128,4.5455,0.05809,,,,,,,,,
2022-08-03,dispersion_cb_triggered_dec128,4.6649,0.048563,,,,,,,,,
2022-08-08,dispersion_cb_triggered_dec128,5.5308,0.063358,,,,,,,,,
2022-08-17,halt_triggered,,,6.0,-0.2046,100000.0,79543.70999999999,,,,,
2022-10-18,halt_triggered,,,6.0,-0.2693,100000.0,73069.53,,,,,
2022-12-20,halt_triggered,,,6.0,-0.3109,100000.0,68905.38,,,,,
2023-02-22,halt_triggered,,,6.0,-0.3542,100000.0,64578.59,,,,,
2023-04-25,halt_triggered,,,6.0,-0.3631,100000.0,63685.28,,,,,
2023-06-27,halt_triggered,,,6.0,-0.4419,100000.0,55806.43,,,,,
2023-08-29,halt_triggered,,,6.0,-0.477,100000.0,52295.32,,,,,
2023-10-03,halt_resumed,,,6.0,-0.451,100000.0,54903.02,,,,,
2023-10-04,halt_triggered,,,6.0,-0.451,100000.0,54903.02,,,,,
2023-11-29,,,,1.0,,,,GME,overnight_gap_up_14.8pct,15.49,,
2023-12-05,halt_triggered,,,6.0,-0.5223,100000.0,47771.72,,,,,
2023-12-06,,,,1.0,,,,YEXT,overnight_gap_down_18.2pct,5.735,,
2024-02-06,halt_triggered,,,6.0,-0.5548,100000.0,44524.81,,,,,
2024-03-21,,,,1.0,,,,ASO,overnight_gap_down_13.2pct,61.86,,
2024-04-09,halt_triggered,,,6.0,-0.5621,100000.0,43786.83,,,,,
2024-04-25,halt_resumed,,,6.0,-0.5379,100000.0,46212.26,,,,,
2024-04-26,halt_triggered,,,6.0,-0.5442,100000.0,45576.16,,,,,
