strategy,exit_reason,is_n,is_wr_pct,is_mean_pct,is_sum_pp,oos_n,oos_wr_pct,oos_mean_pct,oos_sum_pp
smc_bos_continuation,trailing_stop,18.0,22.22,-2.46,-44.32,40.0,20.0,-2.9,-116.03
smc_bos_retest_entry,end_of_backtest,1.0,100.0,0.64,0.64,0.0,0.0,0.0,0.0
smc_bos_retest_entry,time_stop_20d_mfe<0.5pct_batch213,2.0,0.0,-5.99,-11.98,0.0,0.0,0.0,0.0
smc_bos_retest_entry,trailing_stop,7.0,28.57,6.43,45.03,4.0,50.0,11.57,46.27
smc_breaker_block_long,circuit_breaker_1,0.0,0.0,0.0,0.0,1.0,0.0,-9.03,-9.03
smc_breaker_block_long,end_of_backtest,0.0,0.0,0.0,0.0,1.0,100.0,7.38,7.38
smc_breaker_block_long,trailing_stop,0.0,0.0,0.0,0.0,1.0,100.0,0.46,0.46
smc_breaker_block_short,circuit_breaker_1,1.0,100.0,0.34,0.34,0.0,0.0,0.0,0.0
smc_breaker_block_short,end_of_backtest,0.0,0.0,0.0,0.0,1.0,0.0,-4.41,-4.41
smc_breaker_block_short,trailing_stop,12.0,16.67,-4.77,-57.27,10.0,20.0,-5.57,-55.71
smc_choch_reversal,circuit_breaker_1,3.0,0.0,-18.35,-55.06,6.0,33.33,12.81,76.86
smc_choch_reversal,end_of_backtest,0.0,0.0,0.0,0.0,18.0,77.78,10.84,195.11
smc_choch_reversal,time_stop_20d_mfe<0.5pct_batch213,7.0,0.0,-4.95,-34.65,3.0,0.0,-2.99,-8.96
smc_choch_reversal,trailing_stop,120.0,30.0,0.56,66.98,117.0,20.51,-1.99,-232.85
smc_discount_long,trailing_stop,0.0,0.0,0.0,0.0,4.0,0.0,-8.95,-35.8
smc_fvg_retest_long,trailing_stop,2.0,0.0,-12.28,-24.56,0.0,0.0,0.0,0.0
smc_fvg_retest_short,time_stop_20d_mfe<0.5pct_batch213,1.0,0.0,-5.56,-5.56,0.0,0.0,0.0,0.0
smc_fvg_retest_short,trailing_stop,4.0,0.0,-8.96,-35.85,0.0,0.0,0.0,0.0
smc_inverse_fvg,circuit_breaker_1,7.0,14.29,-13.23,-92.64,3.0,0.0,-16.12,-48.36
smc_inverse_fvg,end_of_backtest,4.0,75.0,0.63,2.51,5.0,40.0,0.04,0.19
smc_inverse_fvg,time_stop_20d_mfe<0.5pct_batch213,5.0,0.0,-1.98,-9.88,3.0,0.0,-3.02,-9.05
smc_inverse_fvg,trailing_stop,175.0,29.14,-1.63,-285.59,73.0,28.77,-1.45,-105.87
smc_liquidity_sweep_reversal,circuit_breaker_1,2.0,50.0,-11.89,-23.78,0.0,0.0,0.0,0.0
smc_liquidity_sweep_reversal,end_of_backtest,0.0,0.0,0.0,0.0,5.0,60.0,5.3,26.48
smc_liquidity_sweep_reversal,time_stop_20d_mfe<0.5pct_batch213,2.0,0.0,-1.78,-3.56,0.0,0.0,0.0,0.0
smc_liquidity_sweep_reversal,trailing_stop,13.0,23.08,-3.36,-43.7,30.0,13.33,-5.04,-151.22
smc_order_block_bounce,circuit_breaker_1,0.0,0.0,0.0,0.0,1.0,100.0,7.57,7.57
smc_order_block_bounce,end_of_backtest,0.0,0.0,0.0,0.0,10.0,80.0,15.61,156.13
smc_order_block_bounce,time_stop_20d_mfe<0.5pct_batch213,1.0,0.0,-0.77,-0.77,0.0,0.0,0.0,0.0
smc_order_block_bounce,trailing_stop,30.0,30.0,-1.87,-56.08,27.0,25.93,-3.12,-84.11
smc_ote_long,trailing_stop,2.0,50.0,-4.81,-9.63,0.0,0.0,0.0,0.0
smc_ote_short,trailing_stop,6.0,50.0,0.68,4.1,1.0,0.0,-7.14,-7.14
smc_premium_short,trailing_stop,11.0,18.18,-5.88,-64.66,2.0,0.0,-10.82,-21.64
stoch_oversold,trailing_stop,0.0,0.0,0.0,0.0,1.0,100.0,0.91,0.91
stochrsi_overbought_short,circuit_breaker_1,5.0,20.0,-12.85,-64.23,0.0,0.0,0.0,0.0
stochrsi_overbought_short,end_of_backtest,1.0,0.0,-7.74,-7.74,0.0,0.0,0.0,0.0
stochrsi_overbought_short,time_stop_30d_mfe<0.5pct_batch213,4.0,0.0,-5.42,-21.69,3.0,0.0,-4.83,-14.49
stochrsi_overbought_short,trailing_stop,252.0,38.49,-0.65,-163.18,23.0,21.74,-5.52,-126.95
stochrsi_oversold,end_of_backtest,0.0,0.0,0.0,0.0,1.0,0.0,-0.83,-0.83
stochrsi_oversold,strategy_time_stop_10d_batch282,4.0,100.0,5.13,20.54,27.0,74.07,3.97,107.12
stochrsi_oversold,trailing_stop,9.0,0.0,-3.5,-31.47,24.0,8.33,-3.15,-75.55
supertrend_macd,trailing_stop,2.0,50.0,12.42,24.84,0.0,0.0,0.0,0.0
ultimate_oscillator,circuit_breaker_1,2.0,50.0,-1.49,-2.99,5.0,20.0,1.79,8.93
ultimate_oscillator,end_of_backtest,0.0,0.0,0.0,0.0,9.0,55.56,5.84,52.58
ultimate_oscillator,time_stop_30d_mfe<0.5pct_batch213,1.0,0.0,-4.03,-4.03,2.0,0.0,-2.65,-5.3
ultimate_oscillator,trailing_stop,47.0,31.91,-1.13,-52.91,91.0,32.97,-1.3,-118.32
volume_spike_breakout,circuit_breaker_1,1.0,0.0,-15.03,-15.03,0.0,0.0,0.0,0.0
williams_r_oversold,circuit_breaker_1,3.0,0.0,-10.24,-30.72,1.0,100.0,23.72,23.72
williams_r_oversold,end_of_backtest,0.0,0.0,0.0,0.0,32.0,90.62,16.0,512.06
williams_r_oversold,time_stop_30d_mfe<0.5pct_batch213,1.0,0.0,-5.25,-5.25,2.0,0.0,-4.47,-8.93
williams_r_oversold,trailing_stop,56.0,33.93,1.56,87.21,82.0,25.61,-2.24,-183.86
xs_combined_momentum_low_ivol,circuit_breaker_1,2.0,0.0,-53.14,-106.28,0.0,0.0,0.0,0.0
