strategy,exit_method,hy_oas_band_at_entry,n,win_rate,avg_pnl_pct,total_pnl_pct
cpr_narrow_bullish,atr_trail_2x,normal_3_5,10,0.5,0.005779999999999963,0.05779999999999963
cpr_narrow_bullish,atr_trail_mae_conditional,no_data,9,0.3333333333333333,0.40561111111111114,3.6505
cpr_narrow_bullish,atr_trail_mae_conditional,normal_3_5,10,0.3,-1.12108,-11.2108
cpr_narrow_bullish,atr_trail_vix_conditional,no_data,9,0.1111111111111111,-0.8784888888888889,-7.9064
cpr_narrow_bullish,atr_trail_vix_conditional,normal_3_5,10,0.2,-0.9404199999999999,-9.4042
cpr_narrow_bullish,break_even_at_1r,no_data,9,0.1111111111111111,2.4068555555555555,21.6617
cpr_narrow_bullish,break_even_at_1r,normal_3_5,10,0.3,-0.5157700000000001,-5.1577
cpr_narrow_bullish,breakeven_plus_trail,no_data,9,0.1111111111111111,1.7331666666666667,15.598500000000001
cpr_narrow_bullish,breakeven_plus_trail,normal_3_5,10,0.4,-0.6792800000000001,-6.792800000000001
cpr_narrow_bullish,chandelier_3x,no_data,9,0.4444444444444444,-0.8405555555555556,-7.565
cpr_narrow_bullish,chandelier_3x,normal_3_5,10,0.4,-0.27838,-2.7838000000000003
cpr_narrow_bullish,class_time_stop,no_data,9,0.5555555555555556,1.6847666666666667,15.1629
cpr_narrow_bullish,class_time_stop,normal_3_5,10,0.7,0.79035,7.9035
cpr_narrow_bullish,earnings_blackout,no_data,9,0.4444444444444444,-3.8456111111111104,-34.610499999999995
cpr_narrow_bullish,earnings_blackout,normal_3_5,10,0.7,1.12696,11.269599999999999
cpr_narrow_bullish,fixed_4r_2r,no_data,9,0.3333333333333333,0.47579999999999995,4.2822
cpr_narrow_bullish,fixed_4r_2r,normal_3_5,10,0.4,-0.88009,-8.8009
cpr_narrow_bullish,hybrid_50pct_target,no_data,9,0.4444444444444444,-2.498622222222222,-22.4876
cpr_narrow_bullish,hybrid_50pct_target,normal_3_5,10,0.8,0.14890999999999993,1.4890999999999994
cpr_narrow_bullish,ma_exit_ema9,no_data,9,0.5555555555555556,1.3270000000000002,11.943000000000001
cpr_narrow_bullish,ma_exit_ema9,normal_3_5,10,0.3,0.6039800000000001,6.0398000000000005
cpr_narrow_bullish,mfe_lockin_trail,no_data,9,0.3333333333333333,0.1416555555555556,1.2749000000000004
cpr_narrow_bullish,mfe_lockin_trail,normal_3_5,10,0.3,-1.12108,-11.2108
cpr_narrow_bullish,multi_tier_partial,no_data,9,0.5555555555555556,0.48186666666666667,4.3368
cpr_narrow_bullish,multi_tier_partial,normal_3_5,10,0.5,-0.8860100000000001,-8.860100000000001
cpr_narrow_bullish,next_pivot_target,no_data,9,0.6666666666666666,0.12575555555555556,1.1318000000000001
cpr_narrow_bullish,next_pivot_target,normal_3_5,10,0.7,-1.86166,-18.616600000000002
cpr_narrow_bullish,r_multiple_2r,no_data,9,0.5555555555555556,1.6060222222222222,14.4542
cpr_narrow_bullish,r_multiple_2r,normal_3_5,10,0.4,0.08452999999999988,0.8452999999999988
cpr_narrow_bullish,r_multiple_3r,no_data,9,0.4444444444444444,1.8639111111111113,16.7752
cpr_narrow_bullish,r_multiple_3r,normal_3_5,10,0.4,0.2666099999999999,2.6660999999999992
cpr_narrow_bullish,regime_flip,no_data,9,0.4444444444444444,0.48586666666666667,4.3728
cpr_narrow_bullish,regime_flip,normal_3_5,10,0.7,0.9308099999999998,9.308099999999998
cpr_narrow_bullish,reverse_signal,no_data,9,0.3333333333333333,0.40561111111111114,3.6505
cpr_narrow_bullish,reverse_signal,normal_3_5,10,0.3,-1.12108,-11.2108
cpr_narrow_bullish,smc_mitigation_zone,no_data,9,0.3333333333333333,0.17618888888888884,1.5856999999999997
cpr_narrow_bullish,smc_mitigation_zone,normal_3_5,10,0.4,-0.8981600000000001,-8.9816
cpr_narrow_bullish,time_stop_10d,no_data,9,0.4444444444444444,0.22946666666666682,2.0652000000000013
cpr_narrow_bullish,time_stop_10d,normal_3_5,10,0.4,-0.9148399999999999,-9.148399999999999
cpr_narrow_bullish,time_stop_20d,no_data,9,0.4444444444444444,0.48586666666666667,4.3728
cpr_narrow_bullish,time_stop_20d,normal_3_5,10,0.7,0.9308099999999998,9.308099999999998
cpr_narrow_bullish,trailing_10pct,no_data,9,0.1111111111111111,-2.7945444444444445,-25.1509
cpr_narrow_bullish,trailing_10pct,normal_3_5,10,0.7,3.6891799999999995,36.891799999999996
cpr_narrow_bullish,trailing_15pct,no_data,9,0.2222222222222222,-4.414966666666667,-39.734700000000004
