# T3 Tier 3 Universe_Momentum Top-100_Jun 2022 to May 2026.csv — DEC-496 Pass 53 SCREENER-FIRST output
# Built: 2026-05-05 via Polygon /v2/aggs/grouped/locale/us/market/stocks/{date}
# Methodology: J-T 12-1 (lookback 252d, skip 21d, risk-adj OFF, tie-breakers vol-asc → ADV-desc)
# Window: 2020-01-01 to 2026-05-05 (77 monthly snapshots)
# Liquidity floor: $5M min daily dollar volume on D-21
# T1 exclusion: T1a + T1c PIT membership at each snapshot
# SCHEMA: Symbol, Company, Sector, added_date (first month rank ≤100), removed_date (first month rank >100), MomentumScore, MarketCapB (blank — not from grouped endpoint), LastPrice
# PIT FILTER: (added_date IS NULL OR added_date <= as_of) AND (removed_date IS NULL OR removed_date > as_of)
Symbol,Company,Sector,added_date,removed_date,MomentumScore,MarketCapB,LastPrice
AMAM,,Unknown,2024-03-01,2024-05-01,2.014024,,27.94
AMLX,,Health Care,2023-02-01,2023-03-01,2.713178,,14.37
AMLX,,Health Care,2023-04-03,2023-07-03,2.713178,,14.37
AMLX,,Health Care,2025-08-01,2026-05-01,2.713178,,14.37
AMPG,,Information Technology,2025-02-03,2025-03-03,1.241304,,5.16
AMPH,,Health Care,2022-06-01,2022-12-01,1.033693,,62.17
AMPH,,Health Care,2023-09-01,2023-10-02,1.033693,,62.17
AMPH,,Health Care,2023-12-01,2024-03-01,1.033693,,62.17
AMPX,,Industrials,2026-01-01,2026-02-02,2.749153,,11.06
AMPX,,Industrials,2026-03-02,2026-05-01,2.749153,,11.06
AMPY,,Energy,2022-06-01,2022-10-03,0.765172,,6.69
AMR,,Energy,2022-08-01,2023-04-03,1.497404,,341.47
AMR,,Energy,2024-02-01,2024-07-01,1.497404,,341.47
AMRX,,Health Care,2024-02-01,2024-03-01,1.031646,,6.42
AMRX,,Health Care,2024-04-01,2024-09-02,1.031646,,6.42
AMSC,,Industrials,2023-10-02,2023-11-01,1.526578,,60.84
AMSC,,Industrials,2024-02-01,2024-06-03,1.526578,,60.84
AMSC,,Industrials,2024-07-01,2025-02-03,1.526578,,60.84
AMSC,,Industrials,2025-09-01,2025-12-01,1.526578,,60.84
AMTX,,Materials,2024-05-01,2024-06-03,1.787037,,6.02
ANAB,,Health Care,2026-01-01,2026-03-02,1.772947,,57.4
ANAB,,Health Care,2026-05-01,,1.772947,,57.4
ANDE,,Industrials,2022-06-01,2022-07-01,0.681393,,52.14
ANF,,Consumer Discretionary,2023-08-01,2024-12-02,1.460831,,144.5
ANIP,,Health Care,2023-10-02,2023-11-01,1.017685,,62.75
ANNX,,Health Care,2024-09-02,2024-10-01,1.945525,,7.57
ANNX,,Health Care,2024-11-01,2025-01-01,1.945525,,7.57
ANRO,,Health Care,2025-12-01,2026-01-01,3.348946,,18.57
ANRO,,Health Care,2026-02-02,2026-03-02,3.348946,,18.57
AOSL,,Information Technology,2022-07-01,2022-08-01,0.597777,,46.0
APEI,,Consumer Discretionary,2024-08-01,2024-09-02,1.60974,,39.12
APEI,,Consumer Discretionary,2025-11-03,2025-12-01,1.60974,,39.12
APEN,,Unknown,2023-03-01,2023-05-01,0.56378,,9.93
APG,,Industrials,2023-10-02,2023-11-01,1.040684,,18.39
APGE,,Health Care,2024-08-01,2025-01-01,2.179502,,54.91
APLD,,Information Technology,2023-08-01,2023-12-01,4.055319,,23.76
APLD,,Information Technology,2024-02-01,2024-04-01,4.055319,,23.76
APLD,,Information Technology,2025-05-01,2025-06-02,4.055319,,23.76
APLD,,Information Technology,2025-08-01,2025-10-01,4.055319,,23.76
APLD,,Information Technology,2025-11-03,,4.055319,,23.76
APLS,,Health Care,2022-10-03,2022-12-01,0.959667,,86.97
APLS,,Health Care,2023-06-01,2023-08-01,0.959667,,86.97
APLT,,Unknown,2024-11-01,2025-02-03,1.764516,,8.57
APP,,Information Technology,2023-10-02,2024-09-02,2.527057,,127.75
APP,,Information Technology,2024-10-01,2024-12-02,2.527057,,127.75
APPF,,Information Technology,2023-12-01,2024-02-01,0.907364,,194.78
APPS,,Financials,2025-08-01,2025-09-01,3.739437,,6.73
APPS,,Financials,2025-12-01,2026-01-01,3.739437,,6.73
APTS,,Unknown,2022-06-01,2022-08-01,1.48654,,24.94
AQST,,Health Care,2024-12-02,2025-02-03,1.58,,5.16
AR,,Energy,2022-06-01,2023-03-01,0.66109,,30.78
ARCH,,Unknown,2022-06-01,2022-11-01,0.662321,,153.0
ARCH,,Unknown,2022-12-01,2023-02-01,0.662321,,153.0
ARCT,,Health Care,2023-09-01,2023-10-02,1.64129,,40.94
ARCT,,Health Care,2024-03-01,2024-05-01,1.64129,,40.94
ARDX,,Health Care,2024-02-01,2024-05-01,1.008929,,6.75
ARDX,,Health Care,2024-06-03,2024-08-01,1.008929,,6.75
ARHS,,Consumer Discretionary,2023-03-01,2023-05-01,0.948571,,10.23
ARHS,,Consumer Discretionary,2023-08-01,2023-09-01,0.948571,,10.23
ARIS,,Materials,2025-01-01,2025-04-01,1.232951,,33.07
ARIS,,Materials,2025-05-01,2025-06-02,1.232951,,33.07
ARLO,,Consumer Discretionary,2023-10-02,2023-11-01,1.333333,,8.96
ARLO,,Consumer Discretionary,2023-12-01,2024-04-01,1.333333,,8.96
ARLP,,Energy,2022-06-01,2023-01-02,1.308357,,24.03
ARMN,,Unknown,2026-01-01,2026-04-01,4.422872,,20.39
AROC,,Utilities,2023-10-02,2023-12-01,1.2,,20.13
AROC,,Utilities,2024-06-03,2024-07-01,1.2,,20.13
ARQQ,,Information Technology,2025-02-03,2025-03-03,1.747664,,47.04
ARQQ,,Information Technology,2025-07-01,2026-01-01,1.747664,,47.04
ARQT,,Health Care,2024-11-01,2025-03-03,0.899646,,16.09
ARQT,,Health Care,2025-05-01,2025-06-02,0.899646,,16.09
ARRY,,Consumer Discretionary,2023-02-01,2023-08-01,0.963342,,23.03
ARWR,,Health Care,2026-01-01,,3.360755,,57.78
AS,,Consumer Discretionary,2025-07-01,2025-11-03,1.585013,,41.05
ASC,,Industrials,2022-07-01,2023-07-03,0.923899,,14.41
ASM,,Materials,2025-11-03,2025-12-01,1.801887,,5.94
ASM,,Materials,2026-01-01,2026-03-02,1.801887,,5.94
ASM,,Materials,2026-04-01,,1.801887,,5.94
ASO,,Consumer Discretionary,2023-03-01,2023-07-03,0.85789,,63.93
