# T3 momentum_watchlist.csv — DEC-496 Pass 53 SCREENER-FIRST output
# Built: 2026-05-05 via Polygon /v2/aggs/grouped/locale/us/market/stocks/{date}
# Methodology: J-T 12-1 (lookback 252d, skip 21d, risk-adj OFF, tie-breakers vol-asc → ADV-desc)
# Window: 2020-01-01 to 2026-05-05 (77 monthly snapshots)
# Liquidity floor: $5M min daily dollar volume on D-21
# T1 exclusion: T1a + T1c PIT membership at each snapshot
# SCHEMA: Symbol, Company, Sector, added_date (first month rank ≤100), removed_date (first month rank >100), MomentumScore, MarketCapB (blank — not from grouped endpoint), LastPrice
# PIT FILTER: (added_date IS NULL OR added_date <= as_of) AND (removed_date IS NULL OR removed_date > as_of)
Symbol,Company,Sector,added_date,removed_date,MomentumScore,MarketCapB,LastPrice
AROC,,,2024-06-03,2024-07-01,1.2,,20.13
ARQQ,,,2025-02-03,2025-03-03,1.747664,,47.04
ARQQ,,,2025-07-01,2026-01-01,1.747664,,47.04
ARQT,,,2024-11-01,2025-03-03,1.41908,,14.2
ARRY,,,2023-02-01,2023-08-01,0.963342,,23.03
ARWR,,,2026-01-01,,3.360755,,57.78
AS,,,2025-07-01,2025-11-03,1.585013,,41.05
ASC,,,2022-08-01,2023-07-03,0.923899,,14.41
ASM,,,2025-11-03,2025-12-01,3.535714,,8.89
ASM,,,2026-01-01,2026-03-02,3.535714,,8.89
ASM,,,2026-04-01,2026-05-01,3.535714,,8.89
ASMG,,,2026-04-01,2026-05-01,2.427067,,43.94
ASO,,,2023-03-01,2023-04-03,0.85789,,63.93
ASO,,,2023-06-01,2023-07-03,0.85789,,63.93
ASPC,,,2026-02-02,2026-03-02,1.763527,,27.58
ASPI,,,2024-12-02,2025-02-03,2.452055,,10.08
ASPI,,,2025-07-01,2025-11-03,2.452055,,10.08
ASPN,,,2024-04-01,2024-12-02,2.795213,,28.54
ASRT,,,2023-03-01,2023-06-01,1.151515,,85.2
ASRT,,,2023-07-03,2023-08-01,1.151515,,85.2
ASRT,,,2023-09-01,2023-10-02,1.151515,,85.2
ASST,,,2025-07-01,2025-09-01,1.928571,,32.8
ASST,,,2025-10-01,2025-11-03,1.928571,,32.8
ASST,,,2025-12-01,2026-01-01,1.928571,,32.8
ASTI,,,2026-04-01,2026-05-01,2.642458,,6.52
ASTS,,,2024-08-01,2024-10-01,2.311027,,78.67
ASTS,,,2024-12-02,2025-02-03,2.311027,,78.67
ASTS,,,2025-03-03,2025-04-01,2.311027,,78.67
