strategy,sector,sector_criteria,direction_mix,total_trades,win_rate,win_rate_ci_low,win_rate_ci_high,statistically_random,profit_factor,expected_value,win_loss_ratio,avg_win_pct,avg_loss_pct,max_drawdown_pct,total_roi_pct,sharpe_ratio,calmar_ratio,kelly,avg_hold_days,best_trade_pct,worst_trade_pct,smart_money_lift,macro_correlation,regimes_profitable,passes_all,audit_flags,category
pivot_s1_bounce,Health Care,high_volatility,6L/0S,6,0.1667,0.0301,0.5635,True,0.1083,-2.9815,0.5416,2.173,-4.0124,-14.4527,-17.8891,-4.244,-2.785,"{'full_kelly_pct': -137.21, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",18.7,2.173,-4.9249,,,0,False,['ci_lower_3.0pct_may_be_random'],pivot
cpr_narrow_bullish,Industrials,medium_volatility,31L/0S,31,0.1613,0.0709,0.3263,True,0.4306,-1.8976,2.2392,8.8977,-3.9736,-61.3327,-58.826,-1.186,-0.417,"{'full_kelly_pct': -21.33, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",18.7,23.4645,-5.3397,,,0,False,['ci_lower_7.1pct_may_be_random'],pivot
cpr_narrow_momentum,Industrials,medium_volatility,19L/0S,19,0.1579,0.0552,0.3757,True,0.3489,-2.4072,1.861,8.1711,-4.3906,-46.3494,-45.7362,-1.558,-0.931,"{'full_kelly_pct': -29.46, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",14.1,23.4645,-5.3397,,,0,False,['ci_lower_5.5pct_may_be_random'],confluence
ichimoku_cloud_breakout,Information Technology,high_volatility,13L/0S,13,0.1538,0.0433,0.4224,True,0.5548,-1.6239,3.0513,13.1535,-4.3107,-23.9874,-21.1111,-0.836,-1.212,"{'full_kelly_pct': -12.35, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",14.1,25.1129,-5.2357,,,0,False,['ci_lower_4.3pct_may_be_random'],trend
inside_bar_breakout,Health Care,high_volatility,13L/0S,13,0.1538,0.0433,0.4224,True,0.5261,-1.5027,2.8935,10.8426,-3.7473,-18.1827,-19.5347,-0.822,-1.123,"{'full_kelly_pct': -13.86, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",18.5,19.8116,-5.2139,,,0,False,['ci_lower_4.3pct_may_be_random'],breakout
force_index_breakout,Industrials,medium_volatility,26L/0S,26,0.1538,0.0615,0.3353,True,0.4994,-1.7798,2.7466,11.5401,-4.2016,-42.3152,-46.2741,-1.02,-0.586,"{'full_kelly_pct': -15.42, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",18.1,23.4645,-5.3397,,,0,False,['ci_lower_6.2pct_may_be_random'],breakout
williams_r_oversold,Industrials,medium_volatility,7L/0S,7,0.1429,0.0257,0.5131,True,1.0775,0.2428,6.4648,23.6362,-3.6561,-17.7786,1.6994,0.078,0.152,"{'full_kelly_pct': 1.03, 'quarter_kelly_pct': 0.26, 'note': 'tiny_edge'}",22.6,23.6362,-4.6194,,,0,False,['ci_lower_2.6pct_may_be_random'],momentum
supertrend_macd,Information Technology,high_volatility,28L/0S,28,0.1429,0.057,0.3149,True,0.2738,-2.4888,1.6428,6.5686,-3.9984,-64.4812,-69.6871,-1.94,-0.774,"{'full_kelly_pct': -37.89, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",12.6,25.1129,-5.3556,,,0,False,['ci_lower_5.7pct_may_be_random'],trend
mfi_oversold,Health Care,high_volatility,15L/0S,15,0.1333,0.0374,0.3788,True,0.5029,-1.6657,3.2689,12.6388,-3.8664,-32.6816,-24.985,-0.89,-0.768,"{'full_kelly_pct': -13.18, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",16.7,23.6362,-5.2397,,,0,False,['ci_lower_3.7pct_may_be_random'],mean_reversion
pivot_r2_continuation,Information Technology,high_volatility,9L/0S,9,0.1111,0.0199,0.435,True,0.0534,-3.4302,0.4272,1.7417,-4.0767,-27.4093,-30.8716,-6.126,-2.49,"{'full_kelly_pct': -196.94, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",12.7,1.7417,-5.3357,,,0,False,['ci_lower_2.0pct_may_be_random'],pivot
