strategy,sector,sector_criteria,direction_mix,total_trades,win_rate,win_rate_ci_low,win_rate_ci_high,statistically_random,profit_factor,expected_value,win_loss_ratio,avg_win_pct,avg_loss_pct,max_drawdown_pct,total_roi_pct,sharpe_ratio,calmar_ratio,kelly,avg_hold_days,best_trade_pct,worst_trade_pct,smart_money_lift,macro_correlation,regimes_profitable,regime_verdicts,best_regimes,passes_all,audit_flags,category,spy_benchmark_return,vs_benchmark,beats_benchmark,regime_bear_correction_2022,regime_rate_rising_2022_2023,regime_strong_bull_2023,regime_rate_falling_2024,regime_ai_sector_bull_2024,regime_tariff_shock_2025,regime_ai_divergence_2025_2026,regime_covid_crisis_2020
rsi_oversold,Fixed Income,low_volatility,48L/7S,55,0.4909,0.3638,0.6192,True,1.8204,1.4644,1.8878,6.6194,-3.5064,-32.024,80.5446,0.416,0.195,"{'full_kelly_pct': 22.12, 'quarter_kelly_pct': 5.53, 'note': 'reasonable'}",59.1,24.884,-10.3665,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['profit_factor_1.82_exceeds_audit_threshold', 'ci_lower_36.4pct_may_be_random']",mean_reversion,75.15,5.3946,True,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
pivot_s1_bounce,Energy,high_volatility,28L/5S,33,0.4848,0.325,0.6478,True,1.2704,0.5974,1.3497,5.7899,-4.2896,-21.0045,19.7151,0.166,0.1,"{'full_kelly_pct': 10.32, 'quarter_kelly_pct': 2.58, 'note': 'reasonable'}",71.9,21.7626,-8.3433,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_32.5pct_may_be_random'],pivot,75.15,-55.4349,False,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
supertrend_ichimoku_adx,Communication Services,high_volatility,38L/0S,38,0.4737,0.3248,0.6274,True,2.2809,2.2483,2.5343,8.4521,-3.335,-15.9254,85.4373,0.649,0.623,"{'full_kelly_pct': 26.6, 'quarter_kelly_pct': 6.65, 'note': 'reasonable'}",57.1,23.0773,-6.4689,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['profit_factor_2.28_exceeds_audit_threshold', 'ci_lower_32.5pct_may_be_random']",confluence,75.15,10.2873,True,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
morning_star,Consumer Staples,low_volatility,70L/12S,82,0.4634,0.3595,0.5706,True,1.6162,1.1687,1.8713,6.6149,-3.5349,-50.1974,95.8332,0.327,0.102,"{'full_kelly_pct': 17.67, 'quarter_kelly_pct': 4.42, 'note': 'reasonable'}",57.6,33.7567,-5.398,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['profit_factor_1.62_exceeds_audit_threshold', 'ci_lower_35.9pct_may_be_random']",candle,75.15,20.6832,True,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
roc_burst,Fixed Income,low_volatility,6L/7S,13,0.4615,0.2321,0.7086,True,0.9666,-0.1192,1.1277,7.4708,-6.6248,-26.7946,-1.5493,-0.024,-0.013,"{'full_kelly_pct': -1.6, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",84.2,15.6768,-10.545,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_23.2pct_may_be_random'],momentum,75.15,-76.6993,False,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
camarilla_r3_breakout,Communication Services,high_volatility,37L/0S,37,0.4324,0.2867,0.5909,True,1.153,0.3528,1.5133,6.1482,-4.0627,-39.4372,13.055,0.109,0.034,"{'full_kelly_pct': 5.74, 'quarter_kelly_pct': 1.43, 'note': 'reasonable'}",67.0,18.4787,-10.1678,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_28.7pct_may_be_random'],pivot,75.15,-62.095,False,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
supertrend_macd,Financials,medium_volatility,177L/1S,178,0.4213,0.3512,0.4948,True,1.4219,0.8992,1.9527,7.1927,-3.6834,-49.2577,160.0574,0.277,0.095,"{'full_kelly_pct': 12.5, 'quarter_kelly_pct': 3.13, 'note': 'reasonable'}",48.6,29.2237,-10.6286,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_35.1pct_may_be_random'],trend,75.15,84.9074,True,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
three_white_soldiers,Energy,high_volatility,19L/0S,19,0.4211,0.2314,0.6372,True,0.879,-0.2713,1.2086,4.6809,-3.873,-18.4875,-5.1552,-0.096,-0.056,"{'full_kelly_pct': -5.8, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",66.2,10.3842,-10.8624,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_23.1pct_may_be_random'],candle,75.15,-80.3052,False,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
williams_r_oversold,Energy,high_volatility,133L/21S,154,0.4156,0.3407,0.4946,True,1.3276,0.7383,1.867,7.1984,-3.8556,-68.2341,113.693,0.24,0.058,"{'full_kelly_pct': 10.26, 'quarter_kelly_pct': 2.56, 'note': 'reasonable'}",47.1,29.3731,-10.3488,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_34.1pct_may_be_random'],momentum,75.15,38.543,True,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
ultimate_oscillator,Energy,high_volatility,26L/7S,33,0.3939,0.2468,0.5632,True,0.977,-0.0511,1.503,5.4993,-3.6589,-30.9609,-1.6867,-0.02,-0.01,"{'full_kelly_pct': -0.93, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",43.3,17.512,-7.8528,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_24.7pct_may_be_random'],momentum,75.15,-76.8367,False,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
macd_ichimoku,Unknown,medium_volatility,22L/6S,28,0.3929,0.2357,0.5759,True,1.3943,0.9133,2.1548,8.2212,-3.8154,-16.5602,25.5723,0.207,0.152,"{'full_kelly_pct': 11.11, 'quarter_kelly_pct': 2.78, 'note': 'reasonable'}",91.6,20.7998,-10.0552,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_23.6pct_may_be_random'],confluence,75.15,-49.5777,False,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
stochrsi_oversold,Consumer Discretionary,medium_volatility,145L/83S,228,0.3904,0.3293,0.455,True,0.9138,-0.2194,1.4271,5.957,-4.174,-102.9899,-50.0213,-0.082,-0.013,"{'full_kelly_pct': -3.68, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",40.3,32.0185,-12.2288,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_32.9pct_may_be_random'],momentum,75.15,-125.1713,False,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
golden_cross_9_21,Broad Market,medium_volatility,16L/10S,26,0.3846,0.2243,0.5747,True,0.9389,-0.1603,1.5023,6.4117,-4.2678,-39.3347,-4.1689,-0.037,-0.011,"{'full_kelly_pct': -2.5, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",96.1,23.4012,-7.3124,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_22.4pct_may_be_random'],trend,75.15,-79.3189,False,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
prev_day_high_break,Volatility,medium_volatility,35L/12S,47,0.383,0.2579,0.5257,True,1.093,0.2094,1.7609,6.4294,-3.6512,-40.9355,9.8436,0.072,0.021,"{'full_kelly_pct': 3.26, 'quarter_kelly_pct': 0.81, 'note': 'reasonable'}",62.0,16.9102,-10.1996,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_25.8pct_may_be_random'],pivot,75.15,-65.3064,False,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
