ticker,strategy,entry_date,direction,entry_price,exit_method,pnl_pct,win,hold_days,exit_price,exit_date,exit_reason,regime_at_entry,sector,confidence_tier,cap_band,vol_band,hold_duration_band,win_loss_outcome,universe_tier,smart_money_signal_present,vix_at_entry,entry_atr_ratio,mae_bucket,mfe_bucket,regime_changed_during_hold,earnings_during_hold,circuit_breaker_active_during_hold,news_sentiment_shift_during_hold,8K_filed_during_hold,day_of_week_at_entry,days_from_quarter_end_at_entry,vix_term_structure,hy_oas_band_at_entry,adv_bucket,volume_rank_within_sector,sector_momentum_vs_spy_at_entry
CE,macd_fast_crossover,2024-01-01,short,153.2802,trailing_10pct,-2.4862,False,66,157.091,2024-03-07,trailing_stop,bull,Materials,MEDIUM_HIGH,unknown,low_lt_15,long_ge_11d,loss,T1a,yes,12.45,0.01932278272079499,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,mon,90,unknown,normal_3_5,100_500M,unknown,spy_mild_up_0_5pct
AEE,macd_fast_crossover,2024-01-01,long,72.2086,trailing_10pct,-6.9446,False,43,67.194,2024-02-13,trailing_stop,bull,Utilities,MEDIUM_HIGH,unknown,low_lt_15,long_ge_11d,win,T1a,yes,12.45,0.022810302373955454,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,mon,90,unknown,normal_3_5,100_500M,unknown,spy_mild_up_0_5pct
CLS,macd_fast_crossover,2024-03-26,short,46.6595,trailing_10pct,1.6277,True,6,45.9,2024-04-01,end_of_data,bull,Information Technology,LOW,unknown,low_lt_15,medium_4_10d,win,T3,yes,13.24,0.04052979564718867,q4_ge_10pct,q4_ge_10pct,no,no,no_data,none,no,tue,5,unknown,normal_3_5,25_100M,unknown,spy_mild_up_0_5pct
APLD,macd_fast_crossover,2024-01-01,short,6.8106,trailing_5pct,-5.0,False,3,7.1511,2024-01-04,trailing_stop,bull,Information Technology,HIGH,unknown,low_lt_15,medium_4_10d,loss,unknown,yes,12.45,0.07432531641852407,q4_ge_10pct,q4_ge_10pct,no,no,no_data,low_1_5,no,mon,90,unknown,normal_3_5,5_25M,unknown,spy_mild_up_0_5pct
EAT,macd_fast_crossover,2024-01-01,short,42.8159,trailing_5pct,6.3198,True,21,40.11,2024-01-22,trailing_stop,bull,Consumer Discretionary,HIGH,unknown,low_lt_15,long_ge_11d,loss,unknown,yes,12.45,0.027520150224566105,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,mon,90,unknown,normal_3_5,25_100M,unknown,spy_mild_up_0_5pct
CAT,macd_fast_crossover,2024-01-01,short,292.973,trailing_5pct,0.1405,True,22,292.5615,2024-01-23,trailing_stop,bull,Industrials,MEDIUM_HIGH,unknown,low_lt_15,long_ge_11d,loss,T1a,yes,12.45,0.019106197499428275,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,yes,mon,90,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
CE,macd_fast_crossover,2024-01-01,short,153.2802,trailing_5pct,2.1723,True,29,149.9505,2024-01-30,trailing_stop,bull,Materials,MEDIUM_HIGH,unknown,low_lt_15,long_ge_11d,loss,T1a,yes,12.45,0.01932278272079499,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,mon,90,unknown,normal_3_5,100_500M,unknown,spy_mild_up_0_5pct
AEE,macd_fast_crossover,2024-01-01,long,72.2086,trailing_5pct,-1.7749,False,15,70.927,2024-01-16,trailing_stop,bull,Utilities,MEDIUM_HIGH,unknown,low_lt_15,long_ge_11d,win,T1a,yes,12.45,0.022810302373955454,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,mon,90,unknown,normal_3_5,100_500M,unknown,spy_mild_up_0_5pct
CLS,macd_fast_crossover,2024-03-26,short,46.6595,trailing_5pct,1.6277,True,6,45.9,2024-04-01,end_of_data,bull,Information Technology,LOW,unknown,low_lt_15,medium_4_10d,win,T3,yes,13.24,0.04052979564718867,q4_ge_10pct,q4_ge_10pct,no,no,no_data,none,no,tue,5,unknown,normal_3_5,25_100M,unknown,spy_mild_up_0_5pct
APLD,macd_fast_crossover,2024-01-01,short,6.8106,trailing_15pct,-15.0,False,8,7.8322,2024-01-09,trailing_stop,bull,Information Technology,HIGH,unknown,low_lt_15,medium_4_10d,loss,unknown,yes,12.45,0.07432531641852407,q4_ge_10pct,q4_ge_10pct,no,no,no_data,low_1_5,no,mon,90,unknown,normal_3_5,5_25M,unknown,spy_mild_up_0_5pct
