strategy,exit_method,days_from_quarter_end_at_entry,n,win_rate,avg_pnl_pct,total_pnl_pct
bollinger_lower,regime_flip,60,1,1.0,4.6647,4.6647
bollinger_lower,regime_flip,61,4,0.75,-0.7747250000000003,-3.0989000000000013
bollinger_lower,regime_flip,62,1,1.0,1.9666,1.9666
bollinger_lower,regime_flip,63,3,0.6666666666666666,-7.7767333333333335,-23.3302
bollinger_lower,regime_flip,64,2,0.5,-0.48375,-0.9675
bollinger_lower,regime_flip,68,1,1.0,8.8984,8.8984
bollinger_lower,regime_flip,70,2,0.5,16.618650000000002,33.237300000000005
bollinger_lower,regime_flip,72,2,1.0,4.22625,8.4525
bollinger_lower,regime_flip,73,2,1.0,8.90045,17.8009
bollinger_lower,regime_flip,74,2,1.0,7.253550000000001,14.507100000000001
bollinger_lower,regime_flip,75,1,1.0,5.8237,5.8237
bollinger_lower,regime_flip,76,4,0.25,-4.792224999999999,-19.168899999999997
bollinger_lower,regime_flip,77,1,0.0,-11.322,-11.322
bollinger_lower,regime_flip,78,3,1.0,12.932566666666666,38.7977
bollinger_lower,regime_flip,80,2,1.0,10.1222,20.2444
bollinger_lower,regime_flip,81,3,0.3333333333333333,-25.698866666666664,-77.0966
bollinger_lower,regime_flip,82,2,0.5,-0.66865,-1.3373
bollinger_lower,regime_flip,83,6,1.0,19.767833333333332,118.607
bollinger_lower,regime_flip,84,2,0.0,-2.52775,-5.0555
bollinger_lower,regime_flip,85,1,0.0,-5.815,-5.815
bollinger_lower,regime_flip,88,1,1.0,38.2574,38.2574
bollinger_lower,regime_flip,89,1,1.0,8.3159,8.3159
bollinger_lower,regime_flip,90,1,0.0,-7.8967,-7.8967
bollinger_lower,regime_flip,91,1,0.0,-8.1632,-8.1632
bollinger_lower,time_stop_10d,0,3,0.3333333333333333,-6.749199999999999,-20.2476
bollinger_lower,time_stop_10d,1,4,0.5,1.0120249999999995,4.048099999999998
bollinger_lower,time_stop_10d,2,1,0.0,-12.8448,-12.8448
bollinger_lower,time_stop_10d,3,2,1.0,2.9656000000000002,5.9312000000000005
bollinger_lower,time_stop_10d,4,4,0.5,-12.318325,-49.2733
bollinger_lower,time_stop_10d,7,4,0.5,-0.015925000000000453,-0.06370000000000181
bollinger_lower,time_stop_10d,8,4,0.75,4.47555,17.9022
bollinger_lower,time_stop_10d,9,1,1.0,9.4674,9.4674
bollinger_lower,time_stop_10d,11,1,1.0,5.3267,5.3267
bollinger_lower,time_stop_10d,12,3,1.0,6.329666666666667,18.989
bollinger_lower,time_stop_10d,13,1,1.0,3.8483,3.8483
bollinger_lower,time_stop_10d,14,10,0.6,2.92807,29.2807
bollinger_lower,time_stop_10d,16,3,0.3333333333333333,-10.301366666666667,-30.9041
bollinger_lower,time_stop_10d,17,7,0.8571428571428571,4.6331428571428575,32.432
bollinger_lower,time_stop_10d,18,2,0.0,-13.120000000000001,-26.240000000000002
bollinger_lower,time_stop_10d,19,2,0.5,0.06325000000000003,0.12650000000000006
bollinger_lower,time_stop_10d,21,3,0.3333333333333333,-4.940166666666666,-14.8205
bollinger_lower,time_stop_10d,25,2,1.0,17.39735,34.7947
bollinger_lower,time_stop_10d,26,1,1.0,4.6748,4.6748
bollinger_lower,time_stop_10d,27,3,0.3333333333333333,-6.2679333333333345,-18.803800000000003
bollinger_lower,time_stop_10d,28,3,0.0,-11.431533333333332,-34.294599999999996
bollinger_lower,time_stop_10d,29,3,0.0,-4.2693666666666665,-12.8081
bollinger_lower,time_stop_10d,30,4,0.5,0.5666249999999999,2.2664999999999997
bollinger_lower,time_stop_10d,31,1,0.0,-16.1195,-16.1195
bollinger_lower,time_stop_10d,32,4,0.75,3.94915,15.7966
bollinger_lower,time_stop_10d,33,1,0.0,-3.3798,-3.3798
bollinger_lower,time_stop_10d,35,2,0.0,-13.89,-27.78
bollinger_lower,time_stop_10d,36,2,1.0,12.27535,24.5507
bollinger_lower,time_stop_10d,37,2,0.5,8.479999999999999,16.959999999999997
bollinger_lower,time_stop_10d,38,2,0.5,-1.86165,-3.7233
bollinger_lower,time_stop_10d,39,2,0.0,-3.54455,-7.0891
bollinger_lower,time_stop_10d,40,1,0.0,-12.7795,-12.7795
bollinger_lower,time_stop_10d,41,2,1.0,20.2111,40.4222
bollinger_lower,time_stop_10d,43,3,1.0,14.918766666666665,44.756299999999996
bollinger_lower,time_stop_10d,44,3,0.6666666666666666,1.8303,5.4909
bollinger_lower,time_stop_10d,45,2,0.0,-0.9508000000000001,-1.9016000000000002
bollinger_lower,time_stop_10d,46,1,0.0,-0.8011,-0.8011
bollinger_lower,time_stop_10d,47,3,0.6666666666666666,0.24209999999999976,0.7262999999999993
bollinger_lower,time_stop_10d,49,4,0.75,1.2871250000000003,5.148500000000001
bollinger_lower,time_stop_10d,50,1,0.0,-28.2445,-28.2445
bollinger_lower,time_stop_10d,51,1,0.0,-7.0409,-7.0409
bollinger_lower,time_stop_10d,52,1,0.0,-4.2135,-4.2135
bollinger_lower,time_stop_10d,53,2,0.5,1.8690499999999999,3.7380999999999998
bollinger_lower,time_stop_10d,54,3,1.0,6.5888,19.7664
bollinger_lower,time_stop_10d,55,3,0.3333333333333333,2.1759666666666666,6.5279
bollinger_lower,time_stop_10d,56,7,0.5714285714285714,-1.2141857142857144,-8.499300000000002
bollinger_lower,time_stop_10d,57,2,1.0,4.94295,9.8859
bollinger_lower,time_stop_10d,59,2,0.0,-1.13495,-2.2699
bollinger_lower,time_stop_10d,60,1,1.0,4.4617,4.4617
bollinger_lower,time_stop_10d,61,4,0.5,-1.3157749999999997,-5.263099999999999
bollinger_lower,time_stop_10d,62,1,1.0,1.9666,1.9666
bollinger_lower,time_stop_10d,63,3,1.0,3.7909666666666673,11.372900000000001
bollinger_lower,time_stop_10d,64,2,1.0,1.1821,2.3642
bollinger_lower,time_stop_10d,68,1,1.0,8.5201,8.5201
bollinger_lower,time_stop_10d,70,2,0.5,7.328200000000001,14.656400000000001
bollinger_lower,time_stop_10d,72,2,0.5,-2.3226500000000003,-4.645300000000001
bollinger_lower,time_stop_10d,73,2,0.5,-1.0829999999999997,-2.1659999999999995
bollinger_lower,time_stop_10d,74,2,0.5,7.07485,14.1497
bollinger_lower,time_stop_10d,75,1,1.0,1.0526,1.0526
bollinger_lower,time_stop_10d,76,4,0.75,0.23262500000000008,0.9305000000000003
bollinger_lower,time_stop_10d,77,1,1.0,3.765,3.765
bollinger_lower,time_stop_10d,78,3,1.0,4.974900000000001,14.924700000000001
bollinger_lower,time_stop_10d,80,2,1.0,13.7089,27.4178
bollinger_lower,time_stop_10d,81,3,0.3333333333333333,-10.010266666666666,-30.0308
bollinger_lower,time_stop_10d,82,2,1.0,6.8566,13.7132
bollinger_lower,time_stop_10d,83,6,1.0,11.034366666666665,66.2062
bollinger_lower,time_stop_10d,84,2,0.5,-3.7876999999999996,-7.575399999999999
bollinger_lower,time_stop_10d,85,1,0.0,-3.6977,-3.6977
bollinger_lower,time_stop_10d,88,1,1.0,12.9691,12.9691
bollinger_lower,time_stop_10d,89,1,1.0,16.0517,16.0517
bollinger_lower,time_stop_10d,90,1,1.0,3.8497,3.8497
bollinger_lower,time_stop_10d,91,1,0.0,-4.8426,-4.8426
bollinger_lower,time_stop_20d,0,3,0.3333333333333333,-7.465033333333333,-22.3951
bollinger_lower,time_stop_20d,1,4,0.5,7.63345,30.5338
bollinger_lower,time_stop_20d,2,1,0.0,-18.6743,-18.6743
bollinger_lower,time_stop_20d,3,2,0.0,-0.32005,-0.6401
bollinger_lower,time_stop_20d,4,4,0.5,-17.964100000000002,-71.85640000000001
bollinger_lower,time_stop_20d,7,4,0.5,1.8714750000000002,7.485900000000001
bollinger_lower,time_stop_20d,8,4,0.5,-2.3251250000000003,-9.300500000000001
bollinger_lower,time_stop_20d,9,1,1.0,21.7112,21.7112
bollinger_lower,time_stop_20d,11,1,1.0,3.4707,3.4707
bollinger_lower,time_stop_20d,12,3,1.0,4.6889,14.0667
bollinger_lower,time_stop_20d,13,1,1.0,4.4427,4.4427
bollinger_lower,time_stop_20d,14,10,0.7,4.27212,42.7212
bollinger_lower,time_stop_20d,16,3,0.3333333333333333,-0.7597666666666664,-2.279299999999999
bollinger_lower,time_stop_20d,17,7,0.7142857142857143,2.926814285714286,20.4877
bollinger_lower,time_stop_20d,18,2,0.5,12.44395,24.8879
bollinger_lower,time_stop_20d,19,2,1.0,7.94205,15.8841
bollinger_lower,time_stop_20d,21,3,0.3333333333333333,-5.695799999999999,-17.0874
bollinger_lower,time_stop_20d,25,2,0.5,2.9949500000000002,5.9899000000000004
bollinger_lower,time_stop_20d,26,1,1.0,8.4395,8.4395
bollinger_lower,time_stop_20d,27,3,0.3333333333333333,-10.622533333333335,-31.867600000000003
bollinger_lower,time_stop_20d,28,3,0.3333333333333333,1.5929333333333335,4.7788
bollinger_lower,time_stop_20d,29,3,0.6666666666666666,-3.5052999999999996,-10.515899999999998
bollinger_lower,time_stop_20d,30,4,0.0,-7.52475,-30.099
bollinger_lower,time_stop_20d,31,1,0.0,-16.8205,-16.8205
bollinger_lower,time_stop_20d,32,4,0.25,-10.65505,-42.6202
bollinger_lower,time_stop_20d,33,1,0.0,-7.642,-7.642
bollinger_lower,time_stop_20d,35,2,0.0,-26.39145,-52.7829
bollinger_lower,time_stop_20d,36,2,1.0,10.6913,21.3826
bollinger_lower,time_stop_20d,37,2,1.0,17.927500000000002,35.855000000000004
bollinger_lower,time_stop_20d,38,2,0.5,-5.0122,-10.0244
bollinger_lower,time_stop_20d,39,2,1.0,6.7544,13.5088
bollinger_lower,time_stop_20d,40,1,0.0,-36.4937,-36.4937
bollinger_lower,time_stop_20d,41,2,0.5,26.0824,52.1648
bollinger_lower,time_stop_20d,43,3,0.6666666666666666,14.867200000000002,44.601600000000005
bollinger_lower,time_stop_20d,44,3,0.6666666666666666,-1.786233333333333,-5.358699999999999
bollinger_lower,time_stop_20d,45,2,0.0,-10.97885,-21.9577
bollinger_lower,time_stop_20d,46,1,1.0,5.4745,5.4745
bollinger_lower,time_stop_20d,47,3,0.3333333333333333,-1.9685333333333335,-5.905600000000001
bollinger_lower,time_stop_20d,49,4,0.5,-1.711175,-6.8447
bollinger_lower,time_stop_20d,50,1,0.0,-34.709,-34.709
bollinger_lower,time_stop_20d,51,1,0.0,-16.0111,-16.0111
bollinger_lower,time_stop_20d,52,1,1.0,18.9259,18.9259
bollinger_lower,time_stop_20d,53,2,1.0,11.27335,22.5467
bollinger_lower,time_stop_20d,54,3,0.6666666666666666,2.8565000000000005,8.569500000000001
bollinger_lower,time_stop_20d,55,3,1.0,12.908533333333333,38.7256
bollinger_lower,time_stop_20d,56,7,0.5714285714285714,-0.4551000000000001,-3.1857000000000006
bollinger_lower,time_stop_20d,57,2,0.5,-0.9611999999999999,-1.9223999999999999
bollinger_lower,time_stop_20d,59,2,0.5,-6.18525,-12.3705
bollinger_lower,time_stop_20d,60,1,1.0,4.6647,4.6647
bollinger_lower,time_stop_20d,61,4,0.75,-0.7747250000000003,-3.0989000000000013
bollinger_lower,time_stop_20d,62,1,1.0,1.9666,1.9666
bollinger_lower,time_stop_20d,63,3,0.6666666666666666,-7.7767333333333335,-23.3302
bollinger_lower,time_stop_20d,64,2,0.5,-0.48375,-0.9675
bollinger_lower,time_stop_20d,68,1,1.0,8.8984,8.8984
bollinger_lower,time_stop_20d,70,2,0.5,16.618650000000002,33.237300000000005
bollinger_lower,time_stop_20d,72,2,1.0,4.22625,8.4525
bollinger_lower,time_stop_20d,73,2,1.0,8.90045,17.8009
bollinger_lower,time_stop_20d,74,2,1.0,7.253550000000001,14.507100000000001
bollinger_lower,time_stop_20d,75,1,1.0,5.8237,5.8237
bollinger_lower,time_stop_20d,76,4,0.25,-4.792224999999999,-19.168899999999997
bollinger_lower,time_stop_20d,77,1,0.0,-11.322,-11.322
bollinger_lower,time_stop_20d,78,3,1.0,12.932566666666666,38.7977
bollinger_lower,time_stop_20d,80,2,1.0,10.1222,20.2444
bollinger_lower,time_stop_20d,81,3,0.3333333333333333,-25.698866666666664,-77.0966
bollinger_lower,time_stop_20d,82,2,0.5,-0.66865,-1.3373
bollinger_lower,time_stop_20d,83,6,1.0,19.767833333333332,118.607
bollinger_lower,time_stop_20d,84,2,0.0,-2.52775,-5.0555
bollinger_lower,time_stop_20d,85,1,0.0,-5.815,-5.815
bollinger_lower,time_stop_20d,88,1,1.0,38.2574,38.2574
bollinger_lower,time_stop_20d,89,1,1.0,8.3159,8.3159
bollinger_lower,time_stop_20d,90,1,0.0,-7.8967,-7.8967
bollinger_lower,time_stop_20d,91,1,0.0,-8.1632,-8.1632
bollinger_lower,trailing_10pct,0,3,0.3333333333333333,-4.925133333333333,-14.7754
bollinger_lower,trailing_10pct,1,4,0.25,5.392475,21.5699
bollinger_lower,trailing_10pct,2,1,0.0,-10.0,-10.0
bollinger_lower,trailing_10pct,3,2,1.0,16.27275,32.5455
bollinger_lower,trailing_10pct,4,4,0.25,-2.928475,-11.7139
bollinger_lower,trailing_10pct,7,4,0.5,1.7882250000000002,7.152900000000001
bollinger_lower,trailing_10pct,8,4,0.75,10.312899999999999,41.251599999999996
bollinger_lower,trailing_10pct,9,1,1.0,11.9404,11.9404
bollinger_lower,trailing_10pct,11,1,0.0,-10.0,-10.0
bollinger_lower,trailing_10pct,12,3,0.6666666666666666,0.9285333333333333,2.7856
bollinger_lower,trailing_10pct,13,1,1.0,0.4277,0.4277
bollinger_lower,trailing_10pct,14,10,0.6,0.5930899999999999,5.930899999999999
bollinger_lower,trailing_10pct,16,3,0.0,-9.871166666666667,-29.613500000000002
bollinger_lower,trailing_10pct,17,7,0.7142857142857143,4.936042857142858,34.5523
bollinger_lower,trailing_10pct,18,2,0.0,-12.81455,-25.6291
bollinger_lower,trailing_10pct,19,2,1.0,15.80185,31.6037
bollinger_lower,trailing_10pct,21,3,0.0,-7.618433333333333,-22.8553
bollinger_lower,trailing_10pct,25,2,0.5,-0.6593,-1.3186
bollinger_lower,trailing_10pct,26,1,0.0,-3.6567,-3.6567
bollinger_lower,trailing_10pct,27,3,0.0,-6.3888,-19.1664
bollinger_lower,trailing_10pct,28,3,0.0,-9.127433333333334,-27.3823
bollinger_lower,trailing_10pct,29,3,0.0,-6.2458,-18.7374
bollinger_lower,trailing_10pct,30,4,0.0,-4.285625,-17.1425
bollinger_lower,trailing_10pct,31,1,0.0,-10.0,-10.0
bollinger_lower,trailing_10pct,32,4,0.5,-3.2397750000000007,-12.959100000000003
bollinger_lower,trailing_10pct,33,1,0.0,-7.9152,-7.9152
bollinger_lower,trailing_10pct,35,2,0.0,-9.357,-18.714
bollinger_lower,trailing_10pct,36,2,1.0,9.84215,19.6843
bollinger_lower,trailing_10pct,37,2,1.0,24.98735,49.9747
bollinger_lower,trailing_10pct,38,2,0.5,-0.7096499999999999,-1.4192999999999998
bollinger_lower,trailing_10pct,39,2,0.0,-0.95455,-1.9091
bollinger_lower,trailing_10pct,40,1,0.0,-5.7033,-5.7033
bollinger_lower,trailing_10pct,41,2,0.5,34.650999999999996,69.30199999999999
bollinger_lower,trailing_10pct,43,3,0.6666666666666666,6.793566666666667,20.3807
bollinger_lower,trailing_10pct,44,3,0.3333333333333333,-0.39060000000000034,-1.171800000000001
bollinger_lower,trailing_10pct,45,2,0.0,-8.3219,-16.6438
bollinger_lower,trailing_10pct,46,1,1.0,25.7264,25.7264
bollinger_lower,trailing_10pct,47,3,0.3333333333333333,4.4158,13.247399999999999
bollinger_lower,trailing_10pct,49,4,0.5,-2.6695249999999997,-10.678099999999999
bollinger_lower,trailing_10pct,50,1,0.0,-10.0,-10.0
bollinger_lower,trailing_10pct,51,1,0.0,-10.0,-10.0
bollinger_lower,trailing_10pct,52,1,0.0,-6.5275,-6.5275
