strategy_name,direction,category,n_fires,class,fired_regimes,regime_affinity,disabled_flag,exploratory_flag,producer_signals,root_cause_hypothesis,notes
donchian_breakdown_short,short,unknown,6,STARVED,"bear,bull,neutral","bear,crisis,neutral",False,False,"close_below_open,close_in_bottom_40pct_of_range,dc10_breakout_dn,macd_12_26_9_bearish,vol_spike_15x",REVIEW_NEEDED,
golden_cross_20_50,dual,unknown,6,STARVED,"bear,bull",,False,False,"below_ema_200,ema_20_50_death_cross,ema_20_50_golden_cross,price_above_ema_200",REVIEW_NEEDED,
pre_holiday_long,long,unknown,6,STARVED,"bear,bull","bear,bull,neutral",False,True,"dow,is_pre_holiday,price_above_ema_200",EXPLORATORY_INTENTIONAL,
prev_day_low_breakdown,dual,unknown,6,STARVED,"bear,bull","bear,crisis,neutral",False,False,"below_prev_low,below_vwap,vol_spike_15x",REVIEW_NEEDED,
stoch_oversold,dual,unknown,6,STARVED,"bear,bull",,False,False,"below_ema_20,price_above_ema_20,stoch_bearish_cross,stoch_bullish_cross,stoch_overbought,stoch_oversold",REVIEW_NEEDED,
supertrend_macd,dual,unknown,6,STARVED,"bear,bull",bull,False,False,"adx,macd_12_26_9_bearish,macd_12_26_9_bullish,supertrend_flip_recent_long_5d,supertrend_flip_recent_short_5d",REVIEW_NEEDED,
52w_high_breakout_with_smart_money_vol_below_long,long,unknown,5,STARVED,"bear,bull",,False,False,"close_above_open,close_in_top_40pct_of_range,near_52w_high_95pct,vol_below_avg",REVIEW_NEEDED,
hammer_at_support_long,long,unknown,5,STARVED,"bear,bull",,False,True,"bb_20_20_touch_lower,hammer,near_s1,near_s2,rsi_14",EXPLORATORY_INTENTIONAL,
ichimoku_cloud_breakout,dual,unknown,5,STARVED,bull,,False,False,"adx_trending,ichi_above_cloud_break_recent_5d,ichi_below_cloud_break_recent_5d,ichi_tk_bearish,ichi_tk_bullish,ichi_weekly_above_cloud,ichi_weekly_below_cloud",REVIEW_NEEDED,
macd_ichimoku,dual,unknown,5,STARVED,"bear,bull",,False,False,"ichi_above_cloud,ichi_below_cloud,macd_12_26_9_crossover_dn,macd_12_26_9_crossover_up",REVIEW_NEEDED,
news_sentiment_shift_long,long,unknown,5,STARVED,bull,"bull,neutral",False,False,"news_article_count,news_sentiment_shift,price_above_ema_200",REVIEW_NEEDED,
