strategy,exit_method,trades,win_rate,profit_factor,avg_pnl_pct,total_roi_pct,max_drawdown_pct,avg_hold_days,actual_fire_rate,composite_score,recommended
bollinger_lower,trailing_5pct,29,0.2069,0.1755,-2.7288,-79.1346,-74.3176,13.9,1.0,8.28,False
bollinger_lower,atr_trail_mae_conditional,29,0.1724,0.2517,-1.4708,-42.6532,-40.6532,4.8,1.0,6.9,False
bollinger_lower,mfe_lockin_trail,29,0.1724,0.2586,-1.4572,-42.2577,-40.2577,4.8,1.0,6.9,False
bollinger_lower,r_multiple_3r,29,0.1724,0.5458,-1.2933,-37.5047,-47.5047,8.1,1.0,6.9,False
bollinger_lower,atr_trail_1x,29,0.1724,0.2517,-1.4708,-42.6532,-40.6532,4.8,1.0,6.9,False
bollinger_lower,smart_money_reversal,29,0.1379,0.2462,-1.4755,-42.7894,-40.7894,4.4,1.0,5.52,False
bollinger_lower,break_even_at_1r,29,0.1034,0.2688,-1.3595,-39.4246,-37.4246,10.0,1.0,4.14,False
bollinger_tight,reverse_signal,7,0.8571,20.0154,11.764,82.348,-4.3306,48.0,1.0,87.79,True
bollinger_tight,multi_tier_partial,7,0.7143,3.841,1.3765,9.6357,-2.0,8.6,1.0,85.57,False
bollinger_tight,ma_exit_ema9,7,0.5714,2.6857,1.126,7.882,-2.2336,8.4,1.0,79.51,False
bollinger_tight,hybrid_50pct_target,7,0.8571,3.21,3.1571,22.0998,-10.0,72.1,1.0,79.28,False
bollinger_tight,time_stop_10d,7,0.7143,2.3997,2.0584,14.4088,-7.5398,14.6,1.0,77.26,False
bollinger_tight,time_stop_20d,7,0.7143,5.9519,6.8781,48.1467,-8.2926,29.1,1.0,76.13,False
bollinger_tight,regime_flip,7,0.7143,5.9519,6.8781,48.1467,-8.2926,29.1,1.0,76.13,False
bollinger_tight,smart_money_reversal,7,0.4286,2.4967,1.1713,8.199,-3.4781,8.6,1.0,71.93,False
bollinger_tight,atr_trail_vix_conditional,7,0.4286,2.0886,0.8519,5.9632,-3.4781,8.7,1.0,71.93,False
bollinger_tight,smc_mitigation_zone,7,0.4286,2.4967,1.1713,8.199,-3.4781,8.6,1.0,71.93,False
bollinger_tight,mfe_lockin_trail,7,0.4286,3.1205,1.6594,11.6161,-3.4781,7.6,1.0,71.93,False
bollinger_tight,atr_trail_1x,7,0.4286,2.4967,1.1713,8.199,-3.4781,8.6,1.0,71.93,False
bollinger_tight,atr_trail_mae_conditional,7,0.4286,2.4967,1.1713,8.199,-3.4781,8.6,1.0,71.93,False
bollinger_tight,fixed_4r_2r,7,0.5714,3.4822,4.2552,29.7865,-8.0,18.7,1.0,70.86,False
bollinger_tight,class_time_stop,7,0.7143,1.9201,1.8315,12.8205,-13.9338,11.1,1.0,65.27,False
bollinger_tight,chandelier_3x,7,0.1429,2.2004,0.4454,3.1175,-1.2785,4.4,1.0,63.8,False
bollinger_tight,breakeven_plus_trail,7,0.2857,2.2759,1.4582,10.2074,-8.0,47.7,1.0,59.43,False
bollinger_tight,r_multiple_3r,7,0.4286,1.6333,0.9493,6.6449,-4.492,8.6,1.0,59.4,False
bollinger_tight,next_pivot_target,7,0.5714,1.3516,0.6027,4.2187,-8.0,10.3,1.0,51.4,False
bollinger_tight,earnings_blackout,7,0.4286,2.3384,15.0923,105.6464,-19.5552,492.0,0.0,47.81,False
bollinger_tight,trailing_15pct,7,0.4286,3.1786,8.603,60.2213,-21.949,142.9,1.0,47.14,False
bollinger_tight,r_multiple_2r,7,0.4286,1.1521,0.228,1.596,-5.0674,6.9,1.0,44.11,False
bollinger_tight,trailing_5pct,7,0.5714,1.1869,0.2842,1.9893,-9.9363,19.4,1.0,43.56,False
bollinger_tight,atr_trail_2x,7,0.4286,1.2059,0.288,2.0162,-6.531,19.4,1.0,43.52,False
