strategy,exit_method,mae_bucket,n,win_rate,avg_pnl_pct,total_pnl_pct
pairs_mean_reversion_long,time_stop_10d,q4_ge_10pct,7,0.14285714285714285,-3.2014714285714283,-22.4103
pairs_mean_reversion_long,time_stop_20d,q4_ge_10pct,7,0.5714285714285714,-0.2753142857142857,-1.9271999999999998
pairs_mean_reversion_long,trailing_10pct,q4_ge_10pct,7,0.14285714285714285,-0.1547857142857139,-1.0834999999999972
pairs_mean_reversion_long,trailing_15pct,q4_ge_10pct,7,0.42857142857142855,3.848814285714286,26.9417
pairs_mean_reversion_long,trailing_5pct,q4_ge_10pct,7,0.2857142857142857,-2.0561142857142856,-14.3928
po3_bullish,atr_trail_1x,q3_5_10pct,1,1.0,2.8699,2.8699
po3_bullish,atr_trail_1x,q4_ge_10pct,23,0.30434782608695654,-1.1165565217391304,-25.6808
po3_bullish,atr_trail_2x,q3_5_10pct,1,1.0,3.1253,3.1253
po3_bullish,atr_trail_2x,q4_ge_10pct,23,0.30434782608695654,1.2614826086956523,29.014100000000003
po3_bullish,atr_trail_mae_conditional,q3_5_10pct,1,1.0,2.8699,2.8699
po3_bullish,atr_trail_mae_conditional,q4_ge_10pct,23,0.30434782608695654,-1.1165565217391304,-25.6808
po3_bullish,atr_trail_vix_conditional,q3_5_10pct,1,1.0,1.4633,1.4633
po3_bullish,atr_trail_vix_conditional,q4_ge_10pct,23,0.30434782608695654,-1.135104347826087,-26.1074
po3_bullish,break_even_at_1r,q3_5_10pct,1,1.0,3.1253,3.1253
po3_bullish,break_even_at_1r,q4_ge_10pct,23,0.08695652173913043,-1.5485826086956522,-35.6174
po3_bullish,breakeven_plus_trail,q3_5_10pct,1,1.0,3.1253,3.1253
po3_bullish,breakeven_plus_trail,q4_ge_10pct,23,0.17391304347826086,1.3124869565217394,30.187200000000008
po3_bullish,chandelier_3x,q3_5_10pct,1,0.0,-0.0957,-0.0957
po3_bullish,chandelier_3x,q4_ge_10pct,23,0.30434782608695654,4.1429217391304345,95.2872
po3_bullish,class_time_stop,q3_5_10pct,1,1.0,3.1253,3.1253
po3_bullish,class_time_stop,q4_ge_10pct,23,0.5652173913043478,4.028821739130435,92.6629
po3_bullish,earnings_blackout,q3_5_10pct,1,1.0,3.1253,3.1253
po3_bullish,earnings_blackout,q4_ge_10pct,23,0.5652173913043478,5.269439130434783,121.1971
po3_bullish,fixed_4r_2r,q3_5_10pct,1,1.0,3.1253,3.1253
po3_bullish,fixed_4r_2r,q4_ge_10pct,23,0.4782608695652174,3.541560869565217,81.4559
po3_bullish,hybrid_50pct_target,q3_5_10pct,1,1.0,3.1253,3.1253
po3_bullish,hybrid_50pct_target,q4_ge_10pct,23,0.6521739130434783,5.5314695652173915,127.2238
po3_bullish,ma_exit_ema9,q3_5_10pct,1,1.0,2.0517,2.0517
po3_bullish,ma_exit_ema9,q4_ge_10pct,23,0.2608695652173913,-0.4150913043478261,-9.5471
po3_bullish,mfe_lockin_trail,q3_5_10pct,1,1.0,3.0331,3.0331
po3_bullish,mfe_lockin_trail,q4_ge_10pct,23,0.30434782608695654,-1.0549434782608695,-24.2637
po3_bullish,multi_tier_partial,q3_5_10pct,1,1.0,2.8886,2.8886
po3_bullish,multi_tier_partial,q4_ge_10pct,23,0.34782608695652173,-0.9177913043478262,-21.1092
po3_bullish,next_pivot_target,q3_5_10pct,1,1.0,0.7972,0.7972
po3_bullish,next_pivot_target,q4_ge_10pct,23,0.6956521739130435,-0.3457478260869566,-7.952200000000001
po3_bullish,r_multiple_2r,q3_5_10pct,1,1.0,3.1253,3.1253
po3_bullish,r_multiple_2r,q4_ge_10pct,23,0.34782608695652173,-0.4956521739130434,-11.399999999999999
po3_bullish,r_multiple_3r,q3_5_10pct,1,1.0,3.1253,3.1253
po3_bullish,r_multiple_3r,q4_ge_10pct,23,0.21739130434782608,-1.2636652173913043,-29.0643
po3_bullish,regime_flip,q3_5_10pct,1,1.0,3.1253,3.1253
po3_bullish,regime_flip,q4_ge_10pct,23,0.43478260869565216,0.8401173913043479,19.3227
po3_bullish,reverse_signal,q3_5_10pct,1,1.0,2.8699,2.8699
