date,event,z_score,today_dispersion,level,dd_from_peak,rolling_peak_equity,current_equity,ticker,reason,exit_price
2022-09-22,halt_triggered,,,6.0,-1.5634,100000.0,-56342.51000000001,,,
2022-09-23,halt_resumed,,,6.0,-1.5727,100000.0,-57267.77000000002,,,
2022-09-26,halt_triggered,,,6.0,-1.5827,100000.0,-58274.95999999999,,,
2022-09-27,halt_resumed,,,6.0,-1.5928,100000.0,-59282.16,,,
2022-09-28,halt_triggered,,,6.0,-1.5928,100000.0,-59282.16,,,
2022-09-29,halt_resumed,,,6.0,-1.5928,100000.0,-59282.16,,,
2022-09-30,halt_triggered,,,6.0,-1.5928,100000.0,-59282.16,,,
2022-10-03,halt_resumed,,,6.0,-1.5928,100000.0,-59282.16,,,
2022-10-03,dispersion_cb_triggered_dec128,3.6854,0.02701,,,,,,,
2022-10-04,halt_triggered,,,6.0,-1.5928,100000.0,-59282.16,,,
2022-10-05,halt_resumed,,,6.0,-1.5928,100000.0,-59282.16,,,
2022-10-06,halt_triggered,,,6.0,-1.597,100000.0,-59696.42999999999,,,
2022-10-07,halt_resumed,,,6.0,-1.597,100000.0,-59696.42999999999,,,
2022-10-10,halt_triggered,,,6.0,-1.597,100000.0,-59696.42999999999,,,
2022-10-11,halt_resumed,,,6.0,-1.607,100000.0,-60703.630000000005,,,
2022-10-12,halt_triggered,,,6.0,-1.607,100000.0,-60703.630000000005,,,
2022-10-13,halt_resumed,,,6.0,-1.6076,100000.0,-60760.57000000001,,,
2022-10-14,halt_triggered,,,6.0,-1.6076,100000.0,-60760.57000000001,,,
2022-10-17,halt_resumed,,,6.0,-1.6076,100000.0,-60760.57000000001,,,
2022-10-18,halt_triggered,,,6.0,-1.6081,100000.0,-60806.399999999994,,,
2022-10-19,halt_resumed,,,6.0,-1.6081,100000.0,-60806.399999999994,,,
2022-10-20,halt_triggered,,,6.0,-1.6081,100000.0,-60806.399999999994,,,
2022-10-21,halt_resumed,,,6.0,-1.6081,100000.0,-60806.399999999994,,,
2022-10-24,halt_triggered,,,6.0,-1.6081,100000.0,-60806.399999999994,,,
2022-10-25,halt_resumed,,,6.0,-1.6029,100000.0,-60285.119999999995,,,
2022-10-26,halt_triggered,,,6.0,-1.6024,100000.0,-60235.03,,,
2022-10-27,halt_resumed,,,6.0,-1.6141,100000.0,-61408.77000000002,,,
2022-10-27,dispersion_cb_triggered_dec128,6.0043,0.055779,,,,,,,
2022-10-28,halt_triggered,,,6.0,-1.6141,100000.0,-61408.77000000002,,,
2022-10-31,halt_resumed,,,6.0,-1.6141,100000.0,-61408.77000000002,,,
2022-11-01,halt_triggered,,,6.0,-1.6145,100000.0,-61453.03,,,
2022-11-02,halt_resumed,,,6.0,-1.6145,100000.0,-61453.03,,,
2022-11-03,halt_triggered,,,6.0,-1.6246,100000.0,-62460.24000000002,,,
2022-11-04,halt_resumed,,,6.0,-1.6246,100000.0,-62460.24000000002,,,
2022-11-07,halt_triggered,,,6.0,-1.6246,100000.0,-62460.24000000002,,,
2022-11-08,halt_resumed,,,6.0,-1.6246,100000.0,-62460.24000000002,,,
2022-11-09,halt_triggered,,,6.0,-1.6246,100000.0,-62460.24000000002,,,
2022-11-10,halt_resumed,,,6.0,-1.617,100000.0,-61696.81,,,
2022-11-11,halt_triggered,,,6.0,-1.6196,100000.0,-61962.98000000001,,,
2022-11-14,halt_resumed,,,6.0,-1.6196,100000.0,-61962.98000000001,,,
2022-11-15,halt_triggered,,,6.0,-1.6196,100000.0,-61962.98000000001,,,
