strategy,ticker,entry_date,entry_price,exit_price,exit_date,exit_reason,pnl_pct,win,hold_days,hold_bars_actual,regime,strategy_count,tech_signals,agent_score,confidence_tier,phase
hull_ma_plus_rsi,GLD,2023-01-04,170.82000732421875,176.68680732421876,2023-01-12,take_profit,3.4345,True,15,6,rate_rising_2022_2023|strong_bull_2023,4,15,,,phase_1a
hull_ma_plus_rsi,GLD,2023-01-04,170.82000732421875,176.68680732421876,2023-01-12,take_profit,3.4345,True,20,6,rate_rising_2022_2023|strong_bull_2023,4,15,,,phase_1a
squeeze_breakout,TLT,2023-01-04,89.53395740262218,92.93531799316406,2023-01-09,max_hold,3.799,True,3,3,rate_rising_2022_2023|strong_bull_2023,3,10,,,phase_1a
squeeze_breakout,TLT,2023-01-04,89.53395740262218,92.88256072998047,2023-01-11,max_hold,3.74,True,5,5,rate_rising_2022_2023|strong_bull_2023,3,10,,,phase_1a
squeeze_breakout,TLT,2023-01-04,89.53395740262218,94.28025740262218,2023-01-12,take_profit,5.3011,True,10,6,rate_rising_2022_2023|strong_bull_2023,3,10,,,phase_1a
squeeze_breakout,TLT,2023-01-04,89.53395740262218,94.28025740262218,2023-01-12,take_profit,5.3011,True,15,6,rate_rising_2022_2023|strong_bull_2023,3,10,,,phase_1a
squeeze_breakout,TLT,2023-01-04,89.53395740262218,94.28025740262218,2023-01-12,take_profit,5.3011,True,20,6,rate_rising_2022_2023|strong_bull_2023,3,10,,,phase_1a
stoch_oversold_ema_cross,TLT,2023-01-04,89.53395740262218,92.93531799316406,2023-01-09,max_hold,3.799,True,3,3,rate_rising_2022_2023|strong_bull_2023,3,10,,,phase_1a
stoch_oversold_ema_cross,TLT,2023-01-04,89.53395740262218,92.88256072998047,2023-01-11,max_hold,3.74,True,5,5,rate_rising_2022_2023|strong_bull_2023,3,10,,,phase_1a
stoch_oversold_ema_cross,TLT,2023-01-04,89.53395740262218,94.28025740262218,2023-01-12,take_profit,5.3011,True,10,6,rate_rising_2022_2023|strong_bull_2023,3,10,,,phase_1a
stoch_oversold_ema_cross,TLT,2023-01-04,89.53395740262218,94.28025740262218,2023-01-12,take_profit,5.3011,True,15,6,rate_rising_2022_2023|strong_bull_2023,3,10,,,phase_1a
stoch_oversold_ema_cross,TLT,2023-01-04,89.53395740262218,94.28025740262218,2023-01-12,take_profit,5.3011,True,20,6,rate_rising_2022_2023|strong_bull_2023,3,10,,,phase_1a
supertrend_plus_macd,TLT,2023-01-04,89.53395740262218,92.93531799316406,2023-01-09,max_hold,3.799,True,3,3,rate_rising_2022_2023|strong_bull_2023,3,10,,,phase_1a
supertrend_plus_macd,TLT,2023-01-04,89.53395740262218,92.88256072998047,2023-01-11,max_hold,3.74,True,5,5,rate_rising_2022_2023|strong_bull_2023,3,10,,,phase_1a
supertrend_plus_macd,TLT,2023-01-04,89.53395740262218,94.28025740262218,2023-01-12,take_profit,5.3011,True,10,6,rate_rising_2022_2023|strong_bull_2023,3,10,,,phase_1a
supertrend_plus_macd,TLT,2023-01-04,89.53395740262218,94.28025740262218,2023-01-12,take_profit,5.3011,True,15,6,rate_rising_2022_2023|strong_bull_2023,3,10,,,phase_1a
supertrend_plus_macd,TLT,2023-01-04,89.53395740262218,94.28025740262218,2023-01-12,take_profit,5.3011,True,20,6,rate_rising_2022_2023|strong_bull_2023,3,10,,,phase_1a
bollinger_lower_bounce,MSFT,2023-01-04,221.3894202164649,221.31143188476562,2023-01-09,max_hold,-0.0352,False,3,3,rate_rising_2022_2023|strong_bull_2023,1,4,,,phase_1a
bollinger_lower_bounce,MSFT,2023-01-04,221.3894202164649,229.74024963378906,2023-01-11,max_hold,3.772,True,5,5,rate_rising_2022_2023|strong_bull_2023,1,4,,,phase_1a
bollinger_lower_bounce,MSFT,2023-01-04,221.3894202164649,225.99844360351562,2023-01-19,max_hold,2.0819,True,10,10,rate_rising_2022_2023|strong_bull_2023,1,4,,,phase_1a
bollinger_lower_bounce,MSFT,2023-01-04,221.3894202164649,241.657470703125,2023-01-26,max_hold,9.1549,True,15,15,rate_rising_2022_2023|strong_bull_2023,1,4,,,phase_1a
bollinger_lower_bounce,MSFT,2023-01-04,221.3894202164649,242.1206202164649,2023-01-27,take_profit,9.3641,True,20,16,rate_rising_2022_2023|strong_bull_2023,1,4,,,phase_1a
ichimoku_cloud_breakout,GLD,2023-01-05,171.75999450683594,174.74000549316406,2023-01-10,max_hold,1.735,True,3,3,rate_rising_2022_2023|strong_bull_2023,3,15,,,phase_1a
ichimoku_cloud_breakout,GLD,2023-01-05,171.75999450683594,176.63999938964844,2023-01-12,max_hold,2.8412,True,5,5,rate_rising_2022_2023|strong_bull_2023,3,15,,,phase_1a
ichimoku_cloud_breakout,GLD,2023-01-05,171.75999450683594,177.82479450683593,2023-01-13,take_profit,3.531,True,10,6,rate_rising_2022_2023|strong_bull_2023,3,15,,,phase_1a
