strategy,exit_method,8K_filed_during_hold,n,win_rate,avg_pnl_pct,total_pnl_pct
po3_bullish,ma_exit_ema9,yes,14,0.6428571428571429,0.5025071428571428,7.0351
po3_bullish,mfe_lockin_trail,no,6,0.3333333333333333,-0.32381666666666675,-1.9429000000000005
po3_bullish,mfe_lockin_trail,yes,14,0.42857142857142855,-0.4840357142857143,-6.7765
po3_bullish,multi_tier_partial,no,6,0.3333333333333333,-0.6091666666666667,-3.6550000000000007
po3_bullish,multi_tier_partial,yes,14,0.42857142857142855,-0.3744714285714286,-5.2426
po3_bullish,next_pivot_target,no,6,0.8333333333333334,-0.44733333333333336,-2.684
po3_bullish,next_pivot_target,yes,14,0.9285714285714286,1.720964285714286,24.093500000000002
po3_bullish,r_multiple_2r,no,6,0.5,0.4191166666666666,2.5146999999999995
po3_bullish,r_multiple_2r,yes,14,0.42857142857142855,0.5279214285714285,7.3909
po3_bullish,r_multiple_3r,no,6,0.3333333333333333,-0.7413500000000001,-4.4481
po3_bullish,r_multiple_3r,yes,14,0.21428571428571427,-0.6820857142857142,-9.549199999999999
po3_bullish,regime_flip,no,6,0.6666666666666666,-1.2706833333333336,-7.624100000000002
po3_bullish,regime_flip,yes,14,0.6428571428571429,0.6830357142857143,9.5625
po3_bullish,reverse_signal,no,6,0.3333333333333333,-0.5389166666666667,-3.2335000000000003
po3_bullish,reverse_signal,yes,14,0.42857142857142855,-0.6679071428571428,-9.3507
po3_bullish,smc_mitigation_zone,no,6,0.3333333333333333,-0.5389166666666667,-3.2335000000000003
po3_bullish,smc_mitigation_zone,yes,14,0.5714285714285714,-0.2273285714285714,-3.1826
po3_bullish,time_stop_10d,no,6,0.6666666666666666,0.009283333333333385,0.055700000000000305
po3_bullish,time_stop_10d,yes,14,0.5,-1.2057071428571426,-16.879899999999996
po3_bullish,time_stop_20d,no,6,0.6666666666666666,-1.2706833333333336,-7.624100000000002
po3_bullish,time_stop_20d,yes,14,0.6428571428571429,0.6830357142857143,9.5625
po3_bullish,trailing_10pct,no,6,0.16666666666666666,-4.737683333333334,-28.4261
po3_bullish,trailing_10pct,yes,14,0.35714285714285715,-0.4017357142857144,-5.624300000000002
po3_bullish,trailing_15pct,no,6,0.3333333333333333,-3.262333333333333,-19.573999999999998
po3_bullish,trailing_15pct,yes,14,0.42857142857142855,0.23288571428571384,3.2603999999999935
po3_bullish,trailing_5pct,no,6,0.6666666666666666,-0.6989166666666667,-4.1935
po3_bullish,trailing_5pct,yes,14,0.21428571428571427,-1.5522071428571427,-21.7309
smc_choch_reversal,atr_trail_1x,no,3,0.0,-1.3151,-3.9453
smc_choch_reversal,atr_trail_1x,yes,4,0.5,0.11599999999999999,0.46399999999999997
smc_choch_reversal,atr_trail_2x,no,3,0.0,-3.099466666666667,-9.2984
smc_choch_reversal,atr_trail_2x,yes,4,0.5,2.38185,9.5274
smc_choch_reversal,atr_trail_mae_conditional,no,3,0.0,-1.3151,-3.9453
smc_choch_reversal,atr_trail_mae_conditional,yes,4,0.5,0.11599999999999999,0.46399999999999997
smc_choch_reversal,atr_trail_vix_conditional,no,3,0.0,-2.2593666666666667,-6.7781
smc_choch_reversal,atr_trail_vix_conditional,yes,4,0.25,-0.796375,-3.1855
smc_choch_reversal,break_even_at_1r,no,3,0.0,-1.0530333333333333,-3.1591
smc_choch_reversal,break_even_at_1r,yes,4,0.0,-0.95365,-3.8146
smc_choch_reversal,breakeven_plus_trail,no,3,0.0,-3.8767,-11.6301
smc_choch_reversal,breakeven_plus_trail,yes,4,0.5,6.2204999999999995,24.881999999999998
smc_choch_reversal,chandelier_3x,no,3,0.0,-3.9065666666666665,-11.7197
smc_choch_reversal,chandelier_3x,yes,4,0.5,1.558975,6.2359
smc_choch_reversal,class_time_stop,no,3,0.0,-17.34026666666667,-52.0208
smc_choch_reversal,class_time_stop,yes,4,0.5,-2.9917999999999996,-11.967199999999998
smc_choch_reversal,earnings_blackout,no,3,0.3333333333333333,-18.765633333333334,-56.2969
smc_choch_reversal,earnings_blackout,yes,4,1.0,16.883375,67.5335
smc_choch_reversal,fixed_4r_2r,no,3,0.0,-3.969633333333334,-11.908900000000001
smc_choch_reversal,fixed_4r_2r,yes,4,0.25,-1.2912499999999998,-5.164999999999999
smc_choch_reversal,hybrid_50pct_target,no,3,0.3333333333333333,-20.9827,-62.948100000000004
smc_choch_reversal,hybrid_50pct_target,yes,4,0.75,3.3791,13.5164
smc_choch_reversal,ma_exit_ema9,no,3,0.0,-3.2371,-9.7113
smc_choch_reversal,ma_exit_ema9,yes,4,0.5,1.5342250000000002,6.136900000000001
smc_choch_reversal,mfe_lockin_trail,no,3,0.0,-1.3151,-3.9453
smc_choch_reversal,mfe_lockin_trail,yes,4,0.5,0.19047500000000006,0.7619000000000002
smc_choch_reversal,multi_tier_partial,no,3,0.3333333333333333,-0.7286,-2.1858
smc_choch_reversal,multi_tier_partial,yes,4,0.75,0.6386250000000001,2.5545000000000004
smc_choch_reversal,next_pivot_target,no,3,0.6666666666666666,-3.1032333333333333,-9.3097
smc_choch_reversal,next_pivot_target,yes,4,0.75,0.5155750000000001,2.0623000000000005
smc_choch_reversal,r_multiple_2r,no,3,0.0,-2.0263,-6.0789
smc_choch_reversal,r_multiple_2r,yes,4,0.25,-0.8257749999999999,-3.3030999999999997
smc_choch_reversal,r_multiple_3r,no,3,0.0,-2.0263,-6.0789
smc_choch_reversal,r_multiple_3r,yes,4,0.25,-0.13090000000000002,-0.5236000000000001
smc_choch_reversal,regime_flip,no,3,0.0,-12.589066666666668,-37.7672
smc_choch_reversal,regime_flip,yes,4,0.75,2.10845,8.4338
smc_choch_reversal,reverse_signal,no,3,0.0,-1.3151,-3.9453
smc_choch_reversal,reverse_signal,yes,4,0.5,0.11599999999999999,0.46399999999999997
smc_choch_reversal,smc_mitigation_zone,no,3,0.3333333333333333,-1.0962333333333334,-3.2887000000000004
smc_choch_reversal,smc_mitigation_zone,yes,4,0.5,0.11599999999999999,0.46399999999999997
smc_choch_reversal,time_stop_10d,no,3,0.0,-5.0418666666666665,-15.125599999999999
smc_choch_reversal,time_stop_10d,yes,4,0.75,2.45465,9.8186
smc_choch_reversal,time_stop_20d,no,3,0.0,-12.589066666666668,-37.7672
smc_choch_reversal,time_stop_20d,yes,4,0.75,2.10845,8.4338
smc_choch_reversal,trailing_10pct,no,3,0.0,-6.1329,-18.3987
smc_choch_reversal,trailing_10pct,yes,4,0.5,3.429325,13.7173
smc_choch_reversal,trailing_15pct,no,3,0.3333333333333333,-0.3448333333333333,-1.0345
smc_choch_reversal,trailing_15pct,yes,4,0.5,-1.692675,-6.7707
smc_choch_reversal,trailing_5pct,no,3,0.0,-2.8318,-8.4954
smc_choch_reversal,trailing_5pct,yes,4,0.5,2.29485,9.1794
stochrsi_oversold,atr_trail_1x,no,1,0.0,-1.038,-1.038
stochrsi_oversold,atr_trail_1x,yes,4,0.75,0.5800000000000001,2.3200000000000003
stochrsi_oversold,atr_trail_2x,no,1,0.0,-0.3476,-0.3476
stochrsi_oversold,atr_trail_2x,yes,4,0.0,-0.82115,-3.2846
stochrsi_oversold,atr_trail_mae_conditional,no,1,0.0,-1.038,-1.038
stochrsi_oversold,atr_trail_mae_conditional,yes,4,0.75,0.5800000000000001,2.3200000000000003
stochrsi_oversold,atr_trail_vix_conditional,no,1,1.0,0.3125,0.3125
stochrsi_oversold,atr_trail_vix_conditional,yes,4,0.75,0.11514999999999996,0.46059999999999984
stochrsi_oversold,break_even_at_1r,no,1,0.0,0.0,0.0
stochrsi_oversold,break_even_at_1r,yes,4,0.0,-0.395975,-1.5839
stochrsi_oversold,breakeven_plus_trail,no,1,0.0,0.0,0.0
stochrsi_oversold,breakeven_plus_trail,yes,4,0.0,0.0,0.0
stochrsi_oversold,chandelier_3x,no,1,0.0,-0.0917,-0.0917
stochrsi_oversold,chandelier_3x,yes,4,0.0,-0.20327499999999998,-0.8130999999999999
stochrsi_oversold,class_time_stop,no,1,1.0,4.9186,4.9186
stochrsi_oversold,class_time_stop,yes,4,0.75,-0.5622000000000003,-2.248800000000001
stochrsi_oversold,earnings_blackout,no,1,1.0,15.8129,15.8129
stochrsi_oversold,earnings_blackout,yes,4,0.75,28.41405,113.6562
stochrsi_oversold,fixed_4r_2r,no,1,1.0,8.0688,8.0688
stochrsi_oversold,fixed_4r_2r,yes,4,0.5,2.9972250000000003,11.988900000000001
stochrsi_oversold,hybrid_50pct_target,no,1,1.0,5.8755,5.8755
stochrsi_oversold,hybrid_50pct_target,yes,4,0.75,4.073525,16.2941
stochrsi_oversold,ma_exit_ema9,no,1,1.0,1.025,1.025
stochrsi_oversold,ma_exit_ema9,yes,4,1.0,1.462425,5.8497
stochrsi_oversold,mfe_lockin_trail,no,1,0.0,-1.038,-1.038
stochrsi_oversold,mfe_lockin_trail,yes,4,0.75,0.61075,2.443
stochrsi_oversold,multi_tier_partial,no,1,0.0,-1.038,-1.038
stochrsi_oversold,multi_tier_partial,yes,4,0.75,1.0696750000000002,4.278700000000001
stochrsi_oversold,next_pivot_target,no,1,1.0,1.358,1.358
stochrsi_oversold,next_pivot_target,yes,4,1.0,3.30805,13.2322
stochrsi_oversold,r_multiple_2r,no,1,1.0,4.0344,4.0344
stochrsi_oversold,r_multiple_2r,yes,4,0.5,1.561825,6.2473
stochrsi_oversold,r_multiple_3r,no,1,0.0,-2.0172,-2.0172
stochrsi_oversold,r_multiple_3r,yes,4,0.5,3.22375,12.895
stochrsi_oversold,regime_flip,no,1,1.0,0.1875,0.1875
stochrsi_oversold,regime_flip,yes,4,0.5,0.3546,1.4184
stochrsi_oversold,reverse_signal,no,1,0.0,-1.038,-1.038
stochrsi_oversold,reverse_signal,yes,4,0.75,0.5800000000000001,2.3200000000000003
stochrsi_oversold,smc_mitigation_zone,no,1,0.0,-1.038,-1.038
stochrsi_oversold,smc_mitigation_zone,yes,4,0.75,0.52345,2.0938
stochrsi_oversold,time_stop_10d,no,1,0.0,-0.0328,-0.0328
stochrsi_oversold,time_stop_10d,yes,4,1.0,5.86875,23.475
stochrsi_oversold,time_stop_20d,no,1,1.0,0.1875,0.1875
stochrsi_oversold,time_stop_20d,yes,4,0.5,0.3546,1.4184
stochrsi_oversold,trailing_10pct,no,1,1.0,0.2244,0.2244
stochrsi_oversold,trailing_10pct,yes,4,0.5,2.6150249999999997,10.460099999999999
stochrsi_oversold,trailing_15pct,no,1,0.0,-0.1728,-0.1728
stochrsi_oversold,trailing_15pct,yes,4,0.25,3.9010500000000006,15.604200000000002
stochrsi_oversold,trailing_5pct,no,1,0.0,-1.6045,-1.6045
stochrsi_oversold,trailing_5pct,yes,4,0.5,-0.3017,-1.2068
xs_momentum_top_decile,atr_trail_1x,no,3,0.0,-2.814033333333333,-8.4421
xs_momentum_top_decile,atr_trail_1x,yes,6,0.0,-2.3072666666666666,-13.8436
xs_momentum_top_decile,atr_trail_2x,no,3,0.3333333333333333,-2.8885,-8.6655
xs_momentum_top_decile,atr_trail_2x,yes,6,0.3333333333333333,-2.619266666666667,-15.7156
xs_momentum_top_decile,atr_trail_mae_conditional,no,3,0.0,-2.814033333333333,-8.4421
xs_momentum_top_decile,atr_trail_mae_conditional,yes,6,0.0,-2.3072666666666666,-13.8436
xs_momentum_top_decile,atr_trail_vix_conditional,no,3,0.0,-3.4941666666666666,-10.4825
xs_momentum_top_decile,atr_trail_vix_conditional,yes,6,0.0,-2.0122833333333334,-12.0737
xs_momentum_top_decile,break_even_at_1r,no,3,0.0,-2.927466666666666,-8.782399999999999
xs_momentum_top_decile,break_even_at_1r,yes,6,0.0,-2.2175833333333332,-13.3055
xs_momentum_top_decile,breakeven_plus_trail,no,3,0.0,-3.4157666666666664,-10.2473
xs_momentum_top_decile,breakeven_plus_trail,yes,6,0.16666666666666666,5.400666666666666,32.403999999999996
xs_momentum_top_decile,chandelier_3x,no,3,0.0,-4.596433333333333,-13.789299999999999
xs_momentum_top_decile,chandelier_3x,yes,6,0.16666666666666666,5.899866666666667,35.3992
xs_momentum_top_decile,class_time_stop,no,3,0.6666666666666666,1.2357,3.7071
xs_momentum_top_decile,class_time_stop,yes,6,0.8333333333333334,11.550616666666665,69.30369999999999
xs_momentum_top_decile,earnings_blackout,no,3,0.6666666666666666,31.9198,95.7594
xs_momentum_top_decile,earnings_blackout,yes,6,0.6666666666666666,23.565616666666667,141.3937
xs_momentum_top_decile,fixed_4r_2r,no,3,0.3333333333333333,0.5565000000000001,1.6695000000000002
xs_momentum_top_decile,fixed_4r_2r,yes,6,0.16666666666666666,1.3047666666666673,7.828600000000003
xs_momentum_top_decile,hybrid_50pct_target,no,3,0.3333333333333333,-5.177066666666667,-15.5312
xs_momentum_top_decile,hybrid_50pct_target,yes,6,0.8333333333333334,6.60115,39.606899999999996
xs_momentum_top_decile,ma_exit_ema9,no,3,0.0,-2.4903,-7.4709
xs_momentum_top_decile,ma_exit_ema9,yes,6,0.16666666666666666,-1.3355,-8.013
xs_momentum_top_decile,mfe_lockin_trail,no,3,0.0,-2.814033333333333,-8.4421
xs_momentum_top_decile,mfe_lockin_trail,yes,6,0.0,-2.3072666666666666,-13.8436
xs_momentum_top_decile,multi_tier_partial,no,3,0.0,-2.814033333333333,-8.4421
xs_momentum_top_decile,multi_tier_partial,yes,6,0.16666666666666666,-1.97515,-11.8509
xs_momentum_top_decile,next_pivot_target,no,3,0.6666666666666666,-0.1918333333333334,-0.5755000000000002
